gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
yfbK,1.39775,1.91831,1.73104,1.5414,1.48634,1.57003,1.75284,1.73278,1.64426,1.86709,1.84098,1.71943
yfbL,0.954067,0.630847,0,1.36012,1.34915,1.30714,1.31928,1.14422,1.64426,1.446,1.48935,1.37394
yfbM,1.11376,0.630847,1.37369,1.19341,1.48634,1.47603,1.19209,1.28136,1.10034,1.32299,1.42936,1.17441
yfbP,1.72408,1.99661,2.02802,1.97377,1.9596,1.98863,1.94634,1.85831,1.86869,2.02354,1.98769,1.98611
yfbR,1.81272,1.93514,2.31129,1.89044,2.27222,2.08465,1.9528,1.95558,1.79455,1.83649,1.79268,1.64046
yfbS,2.54263,2.39765,2.44756,2.39366,2.15979,2.21405,2.68504,2.48622,2.45637,2.43177,2.369,2.4161
yfbU,2.95065,3.01106,3.12117,2.94194,3.2575,3.15691,2.82148,2.82351,2.84423,2.93645,2.97914,3.01141
yfbV,3.74119,3.82201,3.75236,3.54386,3.59537,3.85731,3.03818,3.35611,3.21828,3.42392,3.57091,3.57258
yfcA,1.61259,1.80077,1.78803,2.16219,1.84369,1.88608,2.06513,1.92328,2.04929,1.80783,1.81087,1.69721
yfcC,1.23026,0.877846,1.20669,1.39343,0.909259,1.11568,2.17782,1.81752,2.0228,1.79494,1.55828,1.77999
yfcD,2.51169,2.5334,2.38475,2.63272,2.85992,2.64552,2.62803,2.68217,2.72121,2.66156,2.60251,2.57282
yfcE,2.58073,2.5655,2.77616,2.71342,2.94137,2.77814,2.69791,2.71695,2.70306,2.67498,2.61177,2.5667
yfcF,2.64028,2.63994,2.61126,2.9383,3.15564,2.95428,2.74691,2.84168,2.8432,2.78507,2.73802,2.79884
yfcG,3.00883,2.98976,3.01494,3.33144,3.60147,3.52757,2.7591,3.06312,2.88453,3.17683,3.15194,3.16762
yfcH,3.54151,3.50911,3.54817,3.56671,4.09418,3.94055,3.35681,3.45624,3.43247,3.47654,3.45696,3.46398
yfcJ,1.32203,1.23981,0.931839,1.00567,1.14747,1.15403,2.38845,1.87361,2.1998,1.65761,1.5337,1.58512
yfcL,1.23026,1.14911,1.66544,1.5414,1.67435,1.3322,1.81869,1.7531,1.69067,1.47427,1.37215,1.52168
yfcO,3.12071,3.11093,3.06003,2.98052,3.04519,3.09001,2.67055,2.80805,2.69003,2.87319,2.89463,2.95814
yfcP,1.32203,0.877846,0,1.28472,1.10915,1.15403,1.43898,0.942663,1.35297,1.34811,1.22849,1.19903
yfcS,0.698812,0.877846,0,0.811496,0.658701,0.532805,1.59542,1.3098,1.10034,1.32299,1.06505,1.17441
yfcV,0.954067,0.630847,1.73104,0.919344,1.21523,1.18928,1.74256,1.60006,1.31981,1.68091,1.68221,1.79237
yfcZ,3.16207,3.3098,3.26186,3.26569,3.25263,3.32405,2.4394,2.70714,2.35795,2.7218,2.88007,2.88328
yfdC,2.84054,2.85217,2.81798,3.16059,3.03581,3.17161,2.53642,2.63664,2.54893,2.67671,2.7586,2.77217
yfdE,2.60726,2.78764,2.5865,2.87121,2.91837,2.96406,2.42017,2.75215,2.57074,2.74344,2.87124,2.87123
yfdG,0.698812,0.630847,0,1.43903,1.27384,1.15403,1.79168,1.82599,1.78285,1.74411,1.5337,1.38965
yfdH,1.56801,0.877846,1.37369,1.81238,1.43275,1.47603,2.07972,1.98563,2.00182,2.15955,1.92736,1.74739
yfdK,1.32203,1.48383,0,1.57433,1.57701,1.50968,1.5652,1.52305,1.46492,1.75381,1.75888,1.53292
yfdQ,1.23026,1.48383,1.20669,1.79365,1.14747,1.15403,1.34601,0.688563,1.38378,1.32299,1.38421,1.22232
yfdV,1.96829,1.9008,1.58813,1.77408,1.9055,1.90603,2.27339,2.21492,2.27472,2.3656,2.24427,2.17611
yfdX,1.56801,0.877846,1.37369,1.37709,1.56315,1.6353,2.12079,2.31539,2.28974,2.43478,2.33037,2.21701
yfdY,2.69265,2.64319,2.61921,2.96918,3.14581,3.10094,2.60438,3.22475,2.88359,3.22265,3.25648,3.2765
yfeC,2.31156,2.36822,2.20275,2.19123,2.35467,2.40293,1.37118,1.53959,1.48892,1.61358,1.5964,1.68954
yfeD,2.54263,2.58069,2.64222,2.41247,2.49698,2.59803,1.58057,1.72226,1.66029,1.84435,1.9205,2.01992
yfeH,2.89467,2.88857,2.79757,2.42308,2.87666,2.7842,2.30868,2.55558,2.49487,2.41117,2.32358,2.35208
yfeK,1.32203,1.23981,1.37369,1.70946,1.7628,1.77855,1.7727,1.6274,1.62762,1.76329,1.80187,1.66569
yfeO,2.53762,2.49875,2.49199,3.00863,2.88813,2.92605,2.75406,2.82603,2.83696,2.94641,2.92955,2.94887
yfeR,2.05288,2.03761,2.05771,2.25741,2.22885,2.30072,2.45177,2.34684,2.25115,2.53277,2.5989,2.60593
yfeS,1.61259,1.69994,1.78803,2.08795,2.02748,1.90603,2.27032,1.87361,1.75844,2.14226,2.18827,2.235
yfeX,2.65205,2.76869,2.79757,2.4818,2.62647,2.39667,3.09115,2.93194,3.03264,2.85573,2.73591,2.70074
