group,names,scores,logfoldchanges,pvals,pvals_adj
2,CTD-3222D19.12,0.371273,1.4131355,0.7104341965734289,0.9999437191164053
2,IFNLR1,0.37108642,0.26381963,0.7105731623990703,0.9999437191164053
2,FAM162A,0.37105817,-0.012240667,0.7105942186667202,0.9999437191164053
2,C6orf58,0.37074038,0.427496,0.71083090630614,0.9999437191164053
2,RP11-1348G14.8,0.3707121,1.0710412,0.7108519652764288,0.9999437191164053
2,AC016735.2,0.37023264,0.44402033,0.7112091590147246,0.9999437191164053
2,RP11-798K3.3,0.36998612,3.0875456,0.7113928352006298,0.9999437191164053
2,TNKS2-AS1,0.36952475,1.7761188,0.711736641148396,0.9999437191164053
2,PAQR5,0.3693438,1.0326579,0.711871483015729,0.9999437191164053
2,RP11-629B11.5,0.36809534,0.9470689,0.7128021373011184,0.9999437191164053
2,APC,0.3680897,-0.03614617,0.7128063531949244,0.9999437191164053
2,SLC30A1,0.3680354,-0.14600597,0.7128468262218828,0.9999437191164053
2,RBAK-RBAKDN,0.36774594,-0.0683778,0.7130626960185106,0.9999437191164053
2,RP11-38C17.1,0.36747113,1.0984288,0.7132676249391234,0.9999437191164053
2,CA13,0.36739424,0.16990393,0.7133249750101216,0.9999437191164053
2,GRAMD1B,0.36738518,1.8422291,0.7133317221838252,0.9999437191164053
2,SMARCAD1,0.3670629,-0.061083432,0.7135721048732123,0.9999437191164053
2,ZNF775,0.36689666,0.13690093,0.7136961028526557,0.9999437191164053
2,OTUD3,0.3666015,0.11147873,0.7139162811634205,0.9999437191164053
2,FGFRL1,0.3660293,0.04545346,0.7143432081177974,0.9999437191164053
2,GOLGA7,0.36528295,-0.0520969,0.7149002037376574,0.9999437191164053
2,FLJ27354,0.3650104,1.5165665,0.7151036294001768,0.9999437191164053
2,RP11-342K6.1,0.3648634,0.4403628,0.7152133694886036,0.9999437191164053
2,SP6,0.3647865,-0.10268254,0.7152707743413454,0.9999437191164053
2,LYSMD1,0.36460218,0.018310105,0.7154083837058154,0.9999437191164053
2,TAF4B,0.36458182,0.63894856,0.7154235803990707,0.9999437191164053
2,MYLK-AS1,0.36453322,0.01140496,0.7154598840672283,0.9999437191164053
2,HNRNPU-AS1,0.364445,0.19632204,0.7155257388750542,0.9999437191164053
2,RP11-848P1.5,0.36403564,1.6099013,0.715831400431481,0.9999437191164053
2,HMGCS1,0.36397344,-0.122716516,0.7158778447106816,0.9999437191164053
