GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0035351,heme transmembrane transport,BP,0.00041488756242569685,0.021989040808561934,"P0AEF8,P29018,P23886,P0AEG1,P37313,P23847,P0AAG0",e,11,"(7, 999)","(8, 3938)","{'GO:0034755', 'GO:0015886'}"
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,0.00041488756242569685,0.021989040808561934,"P0A7E3,P0A6F1,P0A786,P08244,P0A7F3,P05020,P0A7E1",e,8,"(7, 999)","(8, 3938)",{'GO:0019856'}
GO:0007165,signal transduction,BP,0.0005493574479653238,0.028259593426216218,"P23865,P09835,P18392,P07017,P0AD14,P0AEC5,P0AEC8,P30855,P02942,P0AE67,P05704,P23837,P0A964,P77485,P07018,P07330,P50466,P0ADG4",e,4,"(18, 999)","(34, 3938)","{'GO:0050794', 'GO:0009987'}"
GO:0042938,dipeptide transport,BP,0.000879824832006275,0.04396610374797072,"P0AAG0,P77622,P77308,P77463,P0AEG1,P37313,P23847,P76128,P77268,P0AEF8",e,7,"(10, 999)","(15, 3938)",{'GO:0006857'}
GO:0009165,nucleotide biosynthetic process,BP,0.001042793459010081,0.04559614399521579,"P0A720,P0A717,P69441,P0A752,P0A884",e,7,"(5, 999)","(5, 3938)","{'GO:0009117', 'GO:1901293'}"
GO:0034775,glutathione transmembrane transport,BP,0.001042793459010081,0.04559614399521579,"P75798,P75799,P29018,P23886,P75796",e,9,"(5, 999)","(5, 3938)","{'GO:0034635', 'GO:0035443'}"
GO:0140205,oligopeptide import across plasma membrane,BP,0.001042793459010081,0.04559614399521579,"P76027,P77737,P23843,P0AFH6,P0AFH2",e,8,"(5, 999)","(5, 3938)","{'GO:0035672', 'GO:0098739'}"
GO:0015709,thiosulfate transport,BP,0.001042793459010081,0.04559614399521579,"P33015,P0AG78,P0AEB0,P16700,P16676",e,5,"(5, 999)","(5, 3938)","{'GO:0072348', 'GO:0015698'}"
GO:0042956,maltodextrin transmembrane transport,BP,0.001042793459010081,0.04559614399521579,"P0AEX9,P68183,P02916,P68187,P02943",e,7,"(5, 999)","(5, 3938)",{'GO:0042955'}
GO:0019645,anaerobic electron transport chain,BP,4.203069196649576e-06,0.0004629733951819765,,p,6,"(0, 999)","(43, 3938)",{'GO:0022904'}
GO:0006355,regulation of DNA-templated transcription,BP,1.1605953109857993e-05,0.0010149405994570816,"P0AF63,Q47083,P0ACS9,P0A6R3,P50456,P77626,P0ABY7,P0AEM6,P0A9F3,P0DMC9,P0ACZ4,P52108,P0AFT5,P52106,P32677,P0AEC8,P06846,P31463,P0AFU4,P0A8S9,Q47141,P0ACQ0,P0C093,P76034,P09546,P25748,P23836,P0ACK8,P0A6Z6,P77171,P77615,P0ACP7,P0A9G8,P0AAU7,P0A8A2,P0ACN7,P0A780,P06993,P0AD74,P24242,P63201,P0AED5,P0A8A0",p,8,"(43, 999)","(288, 3938)","{'GO:0010468', 'GO:2001141'}"
GO:0009061,anaerobic respiration,BP,2.7069185082024123e-05,0.001972666862852508,"P0AC41,P06149,P33937",p,6,"(3, 999)","(63, 3938)",{'GO:0045333'}
