arm,n_cells,repeat,mean_depth,mean_detected,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero
"simulated (calibrated, rho=0.7)",700,0,406.77142857142854,87.24571428571429,39.666822396484285,0.01918124874104656,26.697119773980432,7.507919480339623,17.0,2068,0.04218844984802431
"simulated (calibrated, rho=0.7)",700,1,421.4357142857143,87.08714285714285,41.096407618574816,0.01987253753315997,27.073780249321292,7.420068434870624,16.0,2068,0.042111771207515886
"simulated (calibrated, rho=0.7)",700,2,419.6542857142857,87.93,41.245400872024284,0.019915693323044076,26.79631914579005,7.471083013379728,16.0,2071,0.04245774987928537
"simulated (calibrated, rho=0.7)",700,3,423.85714285714283,87.53571428571429,38.575388975513604,0.01863545361135923,24.5894231520766,7.489459813303846,17.0,2070,0.04234828222512492
"simulated (calibrated, rho=0.7)",700,4,415.3828571428571,87.80428571428571,37.95891459613187,0.01833763990151298,25.478540067855228,7.459306257760865,17.0,2070,0.04241752933057281
"simulated (calibrated, rho=0.7)",800,0,404.9075,86.8925,42.44992449778939,0.02051712155523895,26.183774835560303,6.812299054567562,19.0,2069,0.041997341710971484
"simulated (calibrated, rho=0.7)",800,1,419.175,86.11875,41.23254335210882,0.01990948495997529,25.18585704414714,6.918840238890127,19.0,2071,0.041635216400993755
"simulated (calibrated, rho=0.7)",800,2,415.335,87.8175,41.43729995755188,0.02002769451790811,25.12550929906587,6.87040931981142,18.0,2069,0.042497539517436914
"simulated (calibrated, rho=0.7)",800,3,444.02125,88.67125,43.72455152280763,0.021122971750148614,25.7383392378373,6.838580172587761,19.0,2070,0.04288996511339658
"simulated (calibrated, rho=0.7)",800,4,415.86625,87.61125,43.320040397083176,0.0209376705640808,27.258961291330095,6.885590008482852,18.0,2069,0.04239772891561528
"simulated (calibrated, rho=0.7)",900,0,434.66555555555556,87.85555555555555,45.46973213579007,0.021955447675417704,25.363099667028493,6.339057505848478,21.0,2071,0.042468991513184076
"simulated (calibrated, rho=0.7)",900,1,435.71,87.39222222222222,43.23953923333005,0.020878580025750867,25.59282142106496,6.443381144811089,19.0,2071,0.042245018205216485
"simulated (calibrated, rho=0.7)",900,2,431.73777777777775,86.69555555555556,41.472935886308306,0.020025560543847565,23.81138617660538,6.457603327002202,19.0,2071,0.04190825258388391
"simulated (calibrated, rho=0.7)",900,3,422.1044444444444,87.61888888888889,43.423587779461016,0.020967449434795275,25.145170325675046,6.417416307522933,19.0,2071,0.04235458788105675
"simulated (calibrated, rho=0.7)",900,4,434.9422222222222,87.21444444444444,43.548842087222965,0.021027929544772075,25.300258398575078,6.400433387856902,20.0,2071,0.042159081204557455
"simulated (calibrated, rho=0.7)",1000,0,429.007,87.212,43.12124476647258,0.020821460534269715,24.620630687000922,6.0983588593472975,19.0,2071,0.04215321067083501
"simulated (calibrated, rho=0.7)",1000,1,420.745,87.451,45.618103362255766,0.022037731092877183,24.843129834675995,5.996239992169573,20.0,2070,0.042289149052434076
"simulated (calibrated, rho=0.7)",1000,2,430.116,87.315,45.89379971967342,0.0221602123223918,25.02913108338518,5.9890390047461945,20.0,2071,0.04220299488285968
"simulated (calibrated, rho=0.7)",1000,3,423.622,87.452,45.29374659078103,0.02187047155518157,24.55727902528422,5.96360976522689,21.0,2071,0.042269212718271144
"simulated (calibrated, rho=0.7)",1000,4,424.686,87.755,44.85024967603622,0.02165632529021546,24.847723529511253,6.039500123385075,19.0,2071,0.04241566530315927
"simulated (published, rho=0.9)",200,0,,,23.681974173684353,,,,,2000,
"simulated (published, rho=0.9)",200,1,,,41.079328442965,,,,,2000,
"simulated (published, rho=0.9)",200,2,,,19.984770964146946,,,,,2000,
"simulated (published, rho=0.9)",200,3,,,10.676016405106706,,,,,2000,
"simulated (published, rho=0.9)",200,4,,,27.50058783325293,,,,,2000,
"simulated (published, rho=0.9)",400,0,,,36.47561218352876,,,,,2000,
"simulated (published, rho=0.9)",400,1,,,28.390523022923905,,,,,2000,
"simulated (published, rho=0.9)",400,2,,,18.09773034507965,,,,,2000,
"simulated (published, rho=0.9)",400,3,,,19.2115845164778,,,,,2000,
"simulated (published, rho=0.9)",400,4,,,25.874646789214232,,,,,2000,
"simulated (published, rho=0.9)",600,0,,,41.37234034102763,,,,,2000,
"simulated (published, rho=0.9)",600,1,,,24.13559176737204,,,,,2000,
"simulated (published, rho=0.9)",600,2,,,29.7718179174677,,,,,2000,
"simulated (published, rho=0.9)",600,3,,,30.762709675762295,,,,,2000,
"simulated (published, rho=0.9)",600,4,,,32.12744509289358,,,,,2000,
"simulated (published, rho=0.9)",800,0,,,30.172489291335246,,,,,2000,
"simulated (published, rho=0.9)",800,1,,,41.774959509510154,,,,,2000,
"simulated (published, rho=0.9)",800,2,,,26.329346086902646,,,,,2000,
"simulated (published, rho=0.9)",800,3,,,38.329152271648965,,,,,2000,
"simulated (published, rho=0.9)",800,4,,,36.13753254093149,,,,,2000,
"simulated (published, rho=0.9)",1000,0,,,40.623889764482605,,,,,2000,
"simulated (published, rho=0.9)",1000,1,,,38.23764451059304,,,,,2000,
"simulated (published, rho=0.9)",1000,2,,,38.47883012889307,,,,,2000,
"simulated (published, rho=0.9)",1000,3,,,36.569414288196796,,,,,2000,
"simulated (published, rho=0.9)",1000,4,,,40.5965707146232,,,,,2000,
