GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0071555,cell wall organization,BP,8.481220796143957e-05,0.005297733990162779,"P0C066,P17443,P0AEB2,P0ABG4,P11880,P17952,P76190,P0AFV4,P46022,P22188,P75942,P0A6B4,P0AEZ7,P0AD65,P0A749,P02918,P60472,P0A6J8,P0A6W3,P0AA99,P0AF16,P0AE16,P75954,P24228,P14900,P31697,P63883,P0AD70,P75806",e,5,"(29, 799)","(72, 3938)","{'GO:0045229', 'GO:0071554'}"
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,9.133408905700514e-05,0.005508390405541448,"P0A786,P0A6F1,P0A7E3,P05020,P0A7F3,P0A7E1,P08244",e,8,"(7, 799)","(8, 3938)",{'GO:0019856'}
GO:0006260,DNA replication,BP,9.535358246932606e-05,0.0055591138579617096,"P0AAZ4,P0ABS5,P07013,P0A988,P22524,P28631,P10443,P60293,P0AEE8,P0A7H0,P0ACB0,P69931,P22523,P28632,P08337,P03004,P66817,P17888,P15043",e,6,"(19, 799)","(40, 3938)",{'GO:0006259'}
GO:0042938,dipeptide transport,BP,0.00012430168812534108,0.007013021049394243,"P37313,P0AEF8,P23847,P77268,P0AEG1,P77622,P77463,P76128,P77308,P0AAG0",e,7,"(10, 799)","(15, 3938)",{'GO:0006857'}
GO:1902600,proton transmembrane transport,BP,0.00030268989974636994,0.016522354610577772,"P0ABA4,P0AFD1,P0AFC3,P0ABC0,P31466,P0AA47,P33599,P33602,P0AF06,P0ABA0,P0AFE4,P09348,P0A6E6,P0ABA6,P0AB98,P33026,P0AFD4,P0AFE0,P0ABI8,P31979,P52612,P76007,P0ABB0,P68699,P0AA82,P0ABB4",e,7,"(26, 799)","(66, 3938)","{'GO:0098655', 'GO:0098662'}"
GO:0015833,peptide transport,BP,0.00031174253982222213,0.016522354610577772,"P33915,P0AEF8,P76027,P77308,P0AAG0,P23847,P77622,P33941,P0AFU0,P76128,P77737,P0AFH2,P0AFH6,P23843,P77268,P33916,P77463,P37313,P0AEG1,P28246",e,6,"(20, 799)","(46, 3938)",{'GO:0042886'}
GO:0042956,maltodextrin transmembrane transport,BP,0.00034041828529992756,0.016538655027488147,"P0AEX9,P68187,P02916,P68183,P02943",e,7,"(5, 799)","(5, 3938)",{'GO:0042955'}
GO:0140205,oligopeptide import across plasma membrane,BP,0.00034041828529992756,0.016538655027488147,"P77737,P0AFH6,P0AFH2,P23843,P76027",e,8,"(5, 799)","(5, 3938)","{'GO:0098739', 'GO:0035672'}"
GO:0015709,thiosulfate transport,BP,0.00034041828529992756,0.016538655027488147,"P16700,P16676,P0AG78,P0AEB0,P33015",e,5,"(5, 799)","(5, 3938)","{'GO:0015698', 'GO:0072348'}"
GO:0007165,signal transduction,BP,0.00038956363869588323,0.017844642867162305,"P77485,P0ADG4,P23865,P09835,P07018,P30855,P0AEC5,P0A964,P23837,P07330,P05704,P02942,P0AE67,P50466,P07017,P18392",e,4,"(16, 799)","(34, 3938)","{'GO:0050794', 'GO:0009987'}"
GO:0089718,amino acid import across plasma membrane,BP,0.00039790798846159515,0.017844642867162305,"P0AFM2,P14176,P07109,P52094,P14175,P0AEU3",e,6,"(6, 799)","(7, 3938)","{'GO:0003333', 'GO:0098739'}"
GO:0015803,branched-chain amino acid transport,BP,0.00039790798846159515,0.017844642867162305,"P0AEX7,P22731,P0A9S7,P0AD96,P04816,P22729",e,6,"(6, 799)","(7, 3938)","{'GO:0071705', 'GO:0046942'}"
GO:0046677,response to antibiotic,BP,0.0006555215425789443,0.02866267944926434,"P23865,P0AB24,P69367,P25397,P0A7N9,P0AG55,P56976,P31121,P60723,P31462,P0A959,P33941,P0AES4,P0A7W1,P0AD65,P02918,P76472,P31224,P02930,P37590,P24077,P0AG63,P20083,P61175,P24228,P0A7V8,P0A6D7,P75806,P0AE06,P27303,P00811,P17888,P28246",e,3,"(33, 799)","(94, 3938)",{'GO:0042221'}
GO:0006355,regulation of DNA-templated transcription,BP,1.2488334445060655e-05,0.0010921048472205543,"P0A6R3,P77171,P0ACQ0,P0C093,Q47083,P06993,P0AFT5,P0AD74,P0AF63,P76034,P0ACN7,P0A780,P0ACP7,P0DMC9,P77615,P0A8A2,P0ACS9,P0A9F3,P0AED5,P25748,P0A8S9,P0ACZ4,P52106,P31463,P0AAU7,P0AFU4,P0AEM6,P0ABY7,P52108,P09546,P0ACK8",p,8,"(31, 799)","(288, 3938)","{'GO:2001141', 'GO:0010468'}"
GO:0019645,anaerobic electron transport chain,BP,7.898542145184932e-05,0.005116500078492017,,p,6,"(0, 799)","(43, 3938)",{'GO:0022904'}
GO:0009061,anaerobic respiration,BP,0.00075761366823226,0.032318690383859094,"P0AC41,P06149,P33937",p,6,"(3, 799)","(63, 3938)",{'GO:0045333'}
