gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
hisC,hisC,-5.0837917559282394e-05,0.0001033286896055896,-9.364946293177332e-06,3249,-3.2798437156498535e-05,9.054395616415453e-06,5.10858142963968e-06,-1.5754872053298902e-06,-1.0615700427275491e-05,-1.9248797702983685e-05,5.594918272896852e-06,6.487490704201619e-06,-2.84773036369293e-06,-9.997150726655474e-06
ksgA,ksgA,-5.0867430597382206e-05,7.069205075320296e-05,1.7171072632433253e-05,3250,6.462332401781087e-06,-1.9314994082703657e-05,3.1953598941322854e-07,-6.16227532003112e-06,-9.232875730300338e-06,-8.724754805123e-06,-1.02188817488665e-05,-1.3961989408562572e-06,3.1304416867160617e-06,-5.729760047411713e-06
kdgK,kdgK,-5.087241745301467e-05,9.768112347760184e-05,3.411047693145414e-05,3251,-2.4408731945000266e-06,-7.311306468581365e-06,-1.2170302374480203e-05,-7.637288481592852e-06,-8.116736672931215e-06,-9.816425118236617e-06,-4.750694544993521e-06,-2.2033143609992456e-05,8.627993606834555e-06,1.4776359405459026e-05
yfgJ,yfgJ,-5.090323262852564e-05,0.00013939742597855894,6.406327418828056e-05,3252,2.0847538689365083e-05,1.3924997974456545e-05,-9.809273620535918e-06,-3.615488142469512e-06,9.474560011195017e-06,-4.535932563181789e-05,-8.173726024774793e-06,-2.784194319293361e-06,-2.2691039899281057e-05,-2.7172816653697584e-06
yffS,yffS,-5.091652092101965e-05,0.00017868530743460486,2.886257760255069e-05,3253,2.3612982700639762e-05,-2.463326691565468e-05,-1.6157795283038793e-05,-5.904199594299142e-06,-7.85285631478245e-06,-1.6057706339630583e-05,6.0830082699657915e-06,-1.5613915805826347e-05,-2.8581173924580256e-05,3.418840228618704e-05
proC,proC,-5.101307318697757e-05,0.00020441836772729403,5.953734595912663e-06,3254,3.9019426260752444e-05,-1.6917849682488025e-05,-1.9030074046423834e-05,-1.061681308447264e-05,2.6656524763188263e-05,5.8379182942967285e-06,-3.133095981803363e-05,-2.416221508597121e-05,-2.5657808739746465e-05,5.188777951920805e-06
zur,zur,-5.108859007774041e-05,0.0001265905068000828,1.7514403525069894e-05,3255,-2.7978828999266385e-05,1.1948815352359154e-06,-3.941605812458418e-07,-8.472376654495648e-06,-2.1905436136108763e-05,2.053811233367909e-05,-2.406763576323399e-05,-6.0211103045609695e-06,1.0909876775053234e-05,5.108087717202946e-06
yobF,yobF,-5.11143317592213e-05,0.00018727911373377543,-8.192503940041286e-07,3256,1.8011099340657862e-05,-6.8938138538827076e-06,1.9779979711596522e-05,-9.118736624076508e-06,-1.8659827588668126e-05,-3.1435665774907616e-05,1.4286709593447142e-05,1.6004602341575528e-05,-9.36760025096845e-06,-4.372107865399494e-05
thrA,thrA,-5.112400825020402e-05,0.0001907441042216962,1.009160642835687e-05,3257,1.4733294908471312e-05,-1.4810680148909164e-05,-1.0045417848035962e-05,-2.234535497246514e-05,2.8947071432247618e-05,-4.9000124660454145e-05,2.183601870942718e-05,1.1716709590810049e-06,-2.473247860608569e-05,3.121991976518962e-06
bacA,bacA,-5.1134451824241224e-05,0.0001178932007625802,3.251382755478631e-05,3258,3.758389628684402e-06,-1.7558728448065665e-05,-1.1198031463468038e-05,-2.8275808584776424e-06,-2.4889211414445566e-05,1.406195961347284e-05,-1.6971275566595354e-05,6.647064788775298e-06,-1.106899854235844e-05,8.911960438236955e-06
mdoD,mdoD,-5.1227665791321586e-05,0.0001257099174436454,7.79114012983717e-05,3259,7.586734275121191e-06,-4.285335325765119e-06,-1.78563332286331e-05,-1.9889918105213323e-05,6.437227058055087e-06,-8.473624818917437e-06,-2.478688445013787e-05,-1.3176695688816634e-05,2.164536543529945e-05,1.5717990576861784e-06
bioC,bioC,-5.127167612492492e-05,0.0001376792612776291,-4.8042153565009354e-05,3260,-2.3805573957945756e-05,4.5485020825966876e-06,5.989052378927786e-06,1.1536300969720747e-05,6.638672864347721e-06,-4.027005177371317e-05,1.4491264280759133e-05,-1.849630972759324e-05,-8.347570372117472e-06,-3.55596286990736e-06
ybiU,ybiU,-5.127558061290334e-05,0.00015837845667868034,2.128975404096999e-05,3261,2.972301420926751e-05,-1.9643277523797618e-05,-2.0259591117815368e-05,1.3674461552789195e-06,-1.1210720054431293e-05,-2.7237992001435166e-05,2.1058189691466237e-05,-1.647482726252467e-05,1.4027879768758295e-06,-1.0000610685787733e-05
rarD,rarD,-5.136805294728948e-05,0.00013976847553513343,1.4686225647071994e-05,3262,3.574544098022106e-06,-1.8273634047333123e-05,-2.7175499064302257e-05,-3.1106100689282037e-06,1.7762674071640255e-05,-6.288083652383552e-07,-1.987489587035218e-05,-2.4843329163745007e-05,-1.6614876613123312e-06,2.2862993124259607e-05
ybjO,ybjO,-5.140778830365e-05,0.00011165477364286148,-5.930099982858871e-05,3263,-2.6418326550768858e-05,6.664522598062147e-06,1.4704553378924298e-05,3.978267898868991e-06,4.776148793750316e-06,-1.2830668471848505e-05,-6.681695837225747e-06,-2.417949539224288e-06,-2.455642164135425e-05,-8.626218932834103e-06
ykgF,ykgF,-5.1416325949567694e-05,9.91165548954823e-05,-2.5621934267459648e-05,3264,-9.185713866768705e-06,-1.3905098628552521e-05,-8.550007245161098e-06,4.498076019089854e-06,-1.6656110702696275e-05,1.0066452158282456e-05,-2.255606070568957e-06,-8.244062986557094e-06,9.285586295584998e-06,-1.6469840922220347e-05
ydaG,ydaG,-5.143399372474453e-05,0.00013239612582383164,-7.743999877286994e-05,3265,-8.3761280454589e-06,1.188687391245663e-06,-9.40324651056376e-06,1.815731939967062e-05,5.379689862588488e-06,-1.6886129623671426e-05,1.5755369396038786e-05,-4.841721169606973e-06,-2.672237985258451e-05,-2.568545457240252e-05
ecnA,ecnA,-5.1498632154959585e-05,9.502005231921102e-05,6.571164671553918e-05,3266,-4.204462688224227e-06,5.316904332881992e-06,-4.466631375417361e-06,2.5755554029381075e-07,-1.2159874234289145e-05,-2.1480340123770014e-05,-2.0755849242066664e-05,-4.3436027844497365e-06,-5.848581788868151e-06,1.6186250208949917e-05
yeiM,yeiM,-5.15146726508143e-05,8.773476220423985e-05,-4.334774182750581e-05,3267,-2.902132441333559e-05,1.3347248286365283e-06,1.0218876072391483e-08,8.244790785441569e-06,-6.7670355579944394e-06,-1.0890125965313308e-05,5.318686450139543e-06,-2.646691212049245e-06,-2.0299540278834492e-05,3.2016238364227428e-06
nrdI,nrdI,-5.166810194653228e-05,8.543645397173287e-05,3.128400003290555e-05,3268,1.6884176012600297e-05,-2.060745744727202e-06,-4.857832563205771e-06,-9.722423678891805e-06,-3.3398669658332343e-06,-1.4574195242063625e-05,-8.98173253972448e-06,-4.0203381746878427e-08,-1.6299152624757858e-05,-8.676125218181728e-06
yfhD,yfhD,-5.169610554445076e-05,0.00018608417223231496,0.0001431163418577178,3269,4.1722768050765936e-05,-3.670507529513076e-06,-2.3797615581182443e-05,-2.7675469075466998e-05,-2.0651933816650483e-05,-1.204731187560759e-05,-1.3233893352176765e-05,-1.0007733103098647e-05,-7.805674554686838e-06,2.5471265293166155e-05
rbbA,rbbA,-5.1733760514280804e-05,0.0001040492334535888,4.370506367234507e-05,3270,1.935149436500339e-05,-2.3035000910083287e-05,-1.7218873853713183e-05,1.7134267019971706e-06,-9.95252328524186e-06,-1.2226458898819543e-06,-2.1038795766473113e-05,-5.423657278541405e-06,8.682277803009031e-07,4.224587622352537e-06
yqeK,yqeK,-5.173475068102774e-05,0.0001739933215520329,-9.06341179457329e-05,3271,2.26170417688562e-05,-1.8087621089771357e-05,1.7307723119646673e-05,4.000865877403423e-06,-2.3714018864253657e-06,-1.669115814786843e-05,1.720365466959629e-05,-1.4723568184317368e-05,-2.9565217372498665e-05,-3.142506943564914e-05
hisH,hisH,-5.1751184349189004e-05,0.0001237697636526745,-2.4308762412767913e-05,3272,7.374514004076839e-06,-8.855885803548339e-06,1.6683150296013847e-05,-2.180959745308641e-05,-2.1532122184276615e-06,-1.8393176944362386e-05,1.1951625351652067e-05,-8.731917828821432e-06,-1.891227958224263e-05,-8.904404170442899e-06
ybhD,ybhD,-5.176563567524908e-05,7.935781442102036e-05,-1.7208789476410178e-05,3273,6.141141059628018e-06,-1.1589199281225848e-05,3.4663756474265758e-06,-2.2805269519216938e-05,-2.1281018934601405e-06,3.6716359273456353e-06,5.169367384854149e-07,-1.1970239809176022e-05,-1.1622563584144898e-05,-5.446350960910879e-06
purN,purN,-5.178299357546042e-05,0.00011559269676777965,-6.565714307593922e-05,3274,7.004457320429459e-06,-1.971872232435507e-05,2.2544167364681788e-07,-5.891750552064556e-06,-1.207156897342619e-05,1.3939813918155868e-05,1.0735138683927469e-05,-1.6692837233935987e-05,-1.058259259086756e-06,-2.825470682875147e-05
yeeU,yeeU,-5.178665931568587e-05,7.660611886063331e-05,-2.5695097843480785e-05,3275,-1.3181852489402705e-05,-8.54719525990088e-06,-3.5661088752067694e-06,1.6511758986058945e-06,-3.5432827320170873e-06,-1.8096682895875767e-05,1.0509117868391182e-05,-5.049538182448538e-06,-1.2211728653307844e-05,2.494360054766339e-07
