gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
cho,cho,0.0011434482995474771,0.0011800290448377292,0.00032719512274087656,33,0.00024195586338847857,0.0004201153516793399,0.00029893508346966657,-1.829037264512606e-05,2.9215660353510555e-05,6.196317614628467e-05,3.336187033936807e-05,1.6385090508240364e-05,3.630304107896465e-05,2.350353522875012e-05
ubiD,ubiD,0.0011417787898008395,0.001175720634284032,0.0004859124641641312,34,0.00030374627464037373,0.00034017041332079896,0.00014200495735111905,8.893021161211874e-07,0.00011007655281125627,7.576206510955055e-05,-1.6171207671903472e-05,0.00011439201402761983,-7.997145696928351e-07,7.17081326655964e-05
rfaL,rfaL,0.0011410975975186892,0.0013090179682075853,0.00014239885868943777,35,0.0004937723152741664,0.00010074130016366579,0.0003240316623486432,0.0001395457578411195,5.967433795961733e-05,7.461762967904531e-08,-5.9983178980014686e-05,6.237313255927948e-05,-2.397700636443338e-05,4.48446590869664e-05
ydhZ,ydhZ,0.0011300446291125513,0.0021657777090268206,0.00030155107093908734,36,0.00028208323104283095,2.1241115327955338e-05,-9.640938749135213e-05,-0.00010391438316773958,0.0003110781233116256,-6.888971485423264e-05,0.0001453548070697792,0.0005157717510290642,0.0003723821412884306,-0.0002486530544438104
gabP,gabP,0.0011213444677918446,0.0022829755385770133,-0.0001473690974809765,37,0.0005085215194751651,-0.0001418890325044728,-0.0002298972036122759,0.00014025949374669173,-0.00015099928190911432,0.0007273486553396738,0.0001285418989451774,-5.8030017366721395e-05,0.00014764511907143518,4.984331660628574e-05
yhgA,yhgA,0.001117633473478234,0.001700397463685092,-8.839534822109013e-05,38,0.0006026300079666544,-0.00016089181808926048,0.0004227627417334013,0.00011087470545318188,6.20118153012311e-05,-1.129040339059463e-05,-0.00011919977362357393,7.251624655867853e-05,1.8655551752442468e-05,0.00011956439981607346
yggR,yggR,0.0011003226398313775,0.0012522939058617912,0.0005541947247237167,39,0.0003155060833344552,0.0004976539084500319,0.0003331446568133527,-1.601744648318179e-06,-6.605915269084014e-05,3.2834758862242837e-06,-8.324735676048524e-06,1.5313500653985928e-06,4.29672219341164e-06,2.0892076103709817e-05
cybB,cybB,0.0010617807477562237,0.0025646093492167096,-0.0008007442048910081,40,0.00033877234292427094,-0.0001310589350907996,-0.00012284864109630945,0.00021795968373053632,-0.00013450177940869745,0.0007496832706219063,0.00028580980873357283,-0.00024244011987870233,0.00022096994247618014,-0.00012056482525573405
ybbV,ybbV,0.0010498767784270044,0.0021610964074979247,-0.00038393426920684795,41,0.000696011200048986,-0.0003180504451871278,0.000707138007844037,8.529735592960632e-05,4.181412306282707e-05,-0.00014984098331731125,-1.979157806167594e-05,-6.7926807969345e-05,3.249702029776705e-05,4.2728885779240925e-05
rbn,rbn,0.0010461438781847136,0.0031856498231413923,-0.00030987111163176153,42,0.0007847962564005493,-3.690028578061583e-05,-0.0003919286348012567,8.471839281148155e-05,0.0012000053023433837,-0.00017453880285108267,4.6376899107638504e-05,-0.00025263638516387165,-4.024876259428838e-05,-0.00017350010128722434
dppF,dppF,0.0010261907509324071,0.0025285466334329537,-0.0007872108526919687,43,0.0002875883149063695,-0.0001229710914708812,-7.07113236637844e-05,0.0001045885447836218,-0.00014217080908364123,0.0007892746499509998,0.00037019744271669713,-0.0002942824966259672,0.000225719739824992,-0.00012104222040599909
ybjH,ybjH,0.001020693962650875,0.003750962694053519,0.0010864278589722523,44,0.000814628137224917,-1.413702377077804e-05,-0.0005258725445921763,0.0003138056990667442,-0.00011859015630794132,0.00043756039595480305,-0.0005667642987483081,0.0004866604111887204,-0.00013977034228211823,0.00033317368491701235
yhhY,yhhY,0.001020693962650875,0.003750962694053519,0.0010864278589722523,45,0.000814628137224917,-1.413702377077804e-05,-0.0005258725445921763,0.0003138056990667442,-0.00011859015630794132,0.00043756039595480305,-0.0005667642987483081,0.0004866604111887204,-0.00013977034228211823,0.00033317368491701235
otsA,otsA,0.0010172471854467881,0.0012301124089992047,0.0002494973141625615,46,0.00029591978721085034,0.00040896892823853053,0.0002465564257313571,9.182099332643535e-06,0.00013881066373016665,1.6098421421109693e-05,8.14347155833846e-06,-6.995748727963063e-05,-2.677267457316376e-05,-9.702449923413848e-06
yccS,yccS,0.0010065250663512508,0.0015442507097590884,-0.00014717773571014506,47,0.0002775082902754364,9.544097892293748e-05,3.483892219455802e-05,0.00023411178284799577,-0.00010662495520220733,0.00035464440113444737,0.00021896226262389047,-8.105552488235838e-05,5.9881250055904095e-05,-8.11823416193531e-05
gadC,gadC,0.0010009219665318553,0.0019691658166316973,0.0014457381832724064,48,0.0005828372310699895,0.0003888495928538745,1.2805597497457112e-05,0.00016845928536254344,-8.019437347199697e-05,-2.632272677274779e-06,0.0002314625112011258,0.00010062967359678594,-0.00032084634508100426,-8.044893381964478e-05
katE,katE,0.0009834623149055691,0.0015085658477400755,0.0002504696659973749,49,0.00031155528139814516,0.00039561122343142536,0.00030099535367927676,-1.7361723744124814e-05,0.00014890139643110707,9.499090098521564e-06,-4.915751077785482e-05,-0.00012049473988459017,-7.553779201068341e-05,7.945173628434661e-05
yceF,yceF,0.0009806662086324666,0.0029063664903670942,-0.0010865153615034892,50,0.0004819956612287682,-0.0004568294108572011,0.0002750885070069844,0.0001034058646697066,-0.00013392973577431926,0.0005767820797257504,0.00029400016742871536,-0.00026866611719734556,0.00021224406943985577,-0.00010342487703844811
hrpB,hrpB,0.0009805087894952116,0.0011360552146199208,0.0001808948260622799,51,0.00020712280199158562,0.00043283360308217636,0.00033612460611944536,-1.2848894962710139e-06,2.641435281623725e-05,5.578663804812156e-05,-3.969937766168048e-05,-1.4744316719577171e-05,-1.7233725771067454e-05,-4.81090291375868e-06
setA,setA,0.0009727776931669999,0.0026522725837421508,0.0003492000891842825,52,0.00012713771581498068,-2.8657201121405812e-05,-4.099891621310814e-05,-0.0002874268486879396,9.779067852031893e-05,-5.525257090388149e-05,0.00019408750441940968,0.000795832780423897,0.000597676459275969,-0.00042741190836124033
yadK,yadK,0.0009595839762125556,0.002318091417539228,0.0007819302856791504,53,0.00012717132794724516,7.991461958242762e-06,-9.897347547378749e-05,-0.00023175644997808315,3.908996538150068e-05,-0.00020107224403665674,0.0003236220745591468,0.0005594238176560272,0.0005815390493737294,-0.00014745155117480891
cydD,cydD,0.0009459143333316712,0.0015854639674755806,0.0008080866181759926,54,0.0005549656846426468,0.00010373939397304821,0.0002374409869554284,0.00011131843990165119,-0.00012535429819125448,-4.948459377328912e-05,0.00012733987080227103,0.00013088477412858047,-0.00010500667731469663,-3.99292477927145e-05
yedX,yedX,0.000944368975514306,0.0023616719741931733,0.0010086394513987252,55,0.00048100065469852937,2.8167041402909963e-05,-0.00032895404558249867,2.678320686781889e-05,0.0003430269631382321,-0.0002861546210624052,0.00024560449930596725,-9.354283269452984e-05,0.00021316325869664323,0.0003152748507436388
yjbJ,yjbJ,0.000937633397398104,0.0010555709073950142,0.0005284947112374062,56,0.00024759515576904196,0.00039040742703524864,0.0002287541885561988,-9.680506718896245e-07,-1.9281331162701683e-05,-3.8719373163863714e-05,1.2232141364394057e-05,2.7916611266945787e-05,3.47839095226051e-05,5.491271888212462e-05
dctA,dctA,0.0009334743684710404,0.001012618568276048,0.0003269711880515354,57,0.00020017686777015314,0.0003509091081722628,0.00022125824209198733,-2.361649489577174e-05,6.351282671800973e-06,3.9846983541467445e-05,-1.5955605006732e-05,2.959324516478603e-05,5.9411576800268577e-05,6.549916216081798e-05
yghB,yghB,0.0009085564935863685,0.0010909203410938244,0.0005543373973697389,58,0.0001927178981784015,0.0003361917250697569,0.00014776788545042802,7.518460067152144e-05,-3.899173727027496e-05,-5.2190186483453035e-05,0.00010048691040227229,3.853892709149731e-06,4.533898574009337e-05,9.819651911847331e-05
ycjN,ycjN,0.000907673030763797,0.0010562428881110441,-5.874750733139282e-05,59,0.00033644602481921267,5.8828250132812297e-05,0.0004966467209552993,2.9495065142052862e-05,-4.502093940361357e-05,-2.2112777042994698e-05,5.293860599286225e-06,-7.151212227015216e-06,2.4202199396851132e-05,3.104583839190622e-05
yiiR,yiiR,0.000905746761967068,0.001766608391414227,-0.00043760642889123736,60,0.00024369390094552355,-0.00010991866971685222,-6.401240586283613e-05,9.586118531540745e-05,-7.643862754483877e-05,0.0005561726895923307,0.00026349573733147673,-0.00018006111159905226,0.00016009375392908956,1.6860309576819577e-05
ycjZ,ycjZ,0.0009012131785597657,0.0009635057765830232,7.351470947642508e-05,61,0.00023986028829213232,0.000237095031501917,0.00013702619828949493,3.3352157797345385e-06,0.0002390872021273476,1.1695794611493924e-06,4.1554923235674856e-05,-1.4707009856904648e-05,3.3231038883943924e-05,-1.6439289154724104e-05
creD,creD,0.0008990092624248946,0.001503236925675947,-0.00014864741658675656,62,0.0005504463013325238,-0.00014463854494382798,0.0005489084676618191,4.3917862002402915e-05,-4.0075643196381754e-05,-3.737532000472109e-05,-8.002432348059529e-05,3.2866706536009745e-05,8.452973042706484e-06,1.6530783474958798e-05
hscB,hscB,0.0008525649160221413,0.001031700748642589,0.00010395285462589003,63,0.00014387421043100587,0.0003616726457457386,0.00026360356931526014,6.258628096436924e-05,-3.067594410430842e-05,3.7304145195751615e-05,-5.254263120914893e-06,3.160400135318668e-05,4.148797932705307e-05,-5.3637709085000584e-05
aaeB,aaeB,0.0008394758028929886,0.0017234741883292225,-6.284146697024663e-05,64,0.00028708515813705723,-9.74622938713362e-05,-8.468273348369812e-05,2.124341385456996e-05,-0.00011011945384836024,0.0004158552448484054,0.0003279045471161726,-0.00014973471151472222,0.00020886216356070066,2.052446809419964e-05
yieH,yieH,0.0008278571420795588,0.001520691529390532,0.0003498828065140985,65,0.00023842094924023203,0.00018121671837748122,0.00011520088662263978,-8.809546524380524e-05,-2.248871535455223e-05,-4.4587644398016953e-05,7.06964879112216e-05,0.00028978118742700607,0.00027895810615646485,-0.00019124536865911215
yhiD,yhiD,0.0008270158763702022,0.001513327735822788,0.0011195772816225361,66,0.000370818566236173,0.00026965168296208634,4.202506907436439e-05,-6.722681863905988e-05,-9.607585188511615e-05,-0.00017985325920211683,0.0001447223011383551,1.082037001655338e-05,0.00015485015802576145,0.0001772836586432014
csrb,csrb,0.0008240771806247081,0.0015873372376853435,0.0008426682865308926,67,0.0009758476381153155,-0.00011173388903346372,-4.940081778389227e-05,-0.0001238544016164897,7.149808804805497e-05,8.640086636488763e-06,-4.63338556437651e-05,6.589990459242056e-05,8.382149176274601e-05,-5.030706445270682e-05
yicI,yicI,0.0008231701130613185,0.0014197442581908764,-0.0004518654459342242,68,0.00038404811936053085,-0.00025811950595423057,0.0001520684536901139,0.00013527641980817445,-1.814893556791067e-05,0.0002408560736027602,5.568967366862431e-05,-2.2018631042637546e-05,0.0001274657679646335,2.605267753126013e-05
ycfK,ycfK,0.0008201685112485994,0.002127034161527162,-0.0003084324532338106,69,0.0005209554947217333,-6.500315146976789e-06,-0.0002355821041616313,6.491854934627564e-05,0.0008392062513221459,-8.895224213513422e-05,4.8521040997725836e-05,-0.0001915751160851876,-1.5289972130451068e-05,-0.00011553307547990036
