gene,uniprot,GO_ID,GO_name,namespace,is_motility
fliJ,P52613,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliJ,P52613,GO:0015031,protein transport,biological_process,False
fliJ,P52613,GO:0006935,chemotaxis,biological_process,True
fliJ,P52613,GO:0044781,bacterial-type flagellum organization,biological_process,True
fliJ,P52613,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliL,P0ABX8,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliL,P0ABX8,GO:0006935,chemotaxis,biological_process,True
fliL,P0ABX8,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
fliL,P0ABX8,GO:0071978,bacterial-type flagellum-dependent swarming motility,biological_process,True
fliM,P06974,GO:0071977,bacterial-type flagellum-dependent swimming motility,biological_process,True
fliM,P06974,GO:0071978,bacterial-type flagellum-dependent swarming motility,biological_process,True
fliM,P06974,GO:0006935,chemotaxis,biological_process,True
fliM,P06974,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliM,P06974,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
fliM,P06974,GO:0050918,positive chemotaxis,biological_process,True
fliN,P15070,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliN,P15070,GO:0006935,chemotaxis,biological_process,True
fliN,P15070,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
fliN,P15070,GO:0071977,bacterial-type flagellum-dependent swimming motility,biological_process,True
fliO,P22586,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliO,P22586,GO:0006935,chemotaxis,biological_process,True
fliO,P22586,GO:0044781,bacterial-type flagellum organization,biological_process,True
fliO,P22586,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliO,P22586,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
fliP,P0AC05,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliP,P0AC05,GO:0009306,protein secretion,biological_process,False
fliP,P0AC05,GO:0015031,protein transport,biological_process,False
fliP,P0AC05,GO:0006935,chemotaxis,biological_process,True
fliP,P0AC05,GO:0044781,bacterial-type flagellum organization,biological_process,True
fliP,P0AC05,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliQ,P0AC07,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliQ,P0AC07,GO:0009306,protein secretion,biological_process,False
fliQ,P0AC07,GO:0006935,chemotaxis,biological_process,True
fliQ,P0AC07,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliQ,P0AC07,GO:0044780,bacterial-type flagellum assembly,biological_process,True
fliR,P33135,GO:0006605,protein targeting,biological_process,False
fliR,P33135,GO:0030254,protein secretion by the type III secretion system,biological_process,False
fliR,P33135,GO:0006935,chemotaxis,biological_process,True
fliR,P33135,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliR,P33135,GO:0044780,bacterial-type flagellum assembly,biological_process,True
malE,P0AEX9,GO:0055085,transmembrane transport,biological_process,False
malE,P0AEX9,GO:0006974,DNA damage response,biological_process,False
malE,P0AEX9,GO:0034219,carbohydrate transmembrane transport,biological_process,False
malE,P0AEX9,GO:0060326,cell chemotaxis,biological_process,True
