"",bulk,single-cell
glar,0.004576,0.013
glcb,0.002093,0.028
glda,0.000406,0.029
glf,0.001092,0.138
glga,0.007854,0.056
glgb,0.002531,0.050
glgc,0.007211,0.061
glgp,0.005064,0.046
glgx,0.003601,0.037
glk,0.007428,0.056
glms,0.017486,0.094
glna,0.001469,0.012
glnb,0.001421,0.022
glnd,0.001492,0.032
glne,0.001324,0.025
glnh,0.005976,0.071
glnl,0.002323,0.049
glnp,0.001733,0.019
glns,0.002275,0.037
glob,0.000417,0.059
glpd,0.009135,0.043
glpf,0.002381,0.032
glpk,0.002321,0.042
glpq,0.006022,0.122
glpt,0.000335,0.110
glrk,0.000796,0.071
glrr,0.000400,0.084
glsb,0.000102,0.045
glta,0.057237,0.185
gltb,0.000729,0.021
gltf,0.000038,0.032
glti,0.003116,0.072
gltj,0.000177,0.024
gltk,0.000200,0.030
gltx,0.003439,0.041
glya,0.001590,0.033
glyu,0.012321,0.063
gmd,0.000044,0.034
gmk,0.006829,0.016
gmm,0.000028,0.039
gnsb,0.000138,0.010
gntp,0.001789,0.059
gor,0.004444,0.031
gpma,0.084730,0.051
gpr,0.007764,0.036
gpt,0.000702,0.019
grca,0.003223,0.014
grol,0.007100,0.026
grxa,0.000143,0.043
grxb,0.010905,0.079
gsha,0.007894,0.171
gshb,0.002849,0.010
gsib,0.000661,0.021
gspa,0.000048,0.029
gspb,0.000173,0.015
gspf,0.000027,0.015
gspk,0.000004,0.013
gspo,0.000336,0.011
gsta,0.014224,0.007
guaa,0.003289,0.045
guab,0.002296,0.073
guac,0.001495,0.027
gudp,0.000133,0.072
gudx,0.000235,0.084
gyra,0.003227,0.138
gyrb,0.005958,0.086
hcaf,0.000349,0.005
hcar,0.001261,0.099
hcat,0.000268,0.059
hcha,0.025679,0.044
hcp,0.000044,0.030
hcxa,0.000836,0.024
hdfr,0.001149,0.062
hdha,0.011761,0.140
hemb,0.002624,0.027
hemc,0.004709,0.017
hemh,0.001618,0.023
heml,0.008554,0.034
hemx,0.001617,0.066
hflx,0.009307,0.042
hfq,0.023455,0.025
hha,0.004733,0.010
hicb,0.001284,0.030
hipa,0.000422,0.107
hipb,0.000321,0.017
hisj,0.004062,0.129
hism,0.000686,0.057
hlye,0.000084,0.087
hns,0.127995,0.103
hofq,0.000060,0.015
hokd,0.065039,0.039
hole,0.001603,0.006
hprr,0.000760,0.128
hprs,0.000580,0.135
hrpa,0.001719,0.024
hsca,0.001405,0.065
hscb,0.001975,0.037
hscc,0.000163,0.077
hsdm,0.000165,0.032
hsdr,0.000239,0.064
hsds,0.000059,0.057
hslj,0.001310,0.072
hslr,0.008012,0.017
hslu,0.016662,0.029
hslv,0.013878,0.033
hspq,0.154793,0.038
htre,0.000095,0.046
htrl,0.000511,0.057
hybb,0.000336,0.010
hybo,0.000876,0.020
hyca,0.000032,0.024
hycb,0.000026,0.044
hycc,0.000059,0.066
hyce,0.000035,0.034
hycg,0.000252,0.044
hych,0.001012,0.074
hyci,0.006366,0.108
hydn,0.000148,0.013
hyfr,0.000034,0.015
hyi,0.000087,0.040
hypb,0.000340,0.007
idnd,0.000252,0.046
idnk,0.000187,0.025
idno,0.000247,0.069
idnr,0.000184,0.051
idnt,0.000228,0.050
igaa,0.000619,0.020
ihfa,0.346641,0.238
ilvb,0.004912,0.033
ilvi,0.000286,0.024
inaa,0.001373,0.062
infb,0.010210,0.075
insg,0.000164,0.061
insq,0.001515,0.018
intd,0.000520,0.059
intf,0.000324,0.070
intr,0.000404,0.111
isca,0.052661,0.048
iscr,0.024998,0.047
iscu,0.029253,0.053
iscx,0.001239,0.018
ispe,0.001178,0.031
ispf,0.000297,0.029
ispu,0.001484,0.022
ivbl,0.024416,0.033
ivy,0.000988,0.018
kate,0.003922,0.033
katg,0.004397,0.026
kbp,0.054756,0.115
kch,0.000614,0.071
kdgr,0.001847,0.048
kdpa,0.000253,0.020
kdpc,0.000420,0.009
kdpd,0.001437,0.063
kdsa,0.005369,0.018
kdui,0.000264,0.110
kefb,0.001285,0.046
kefg,0.001895,0.013
kgtp,0.153302,0.223
kpta,0.000275,0.015
laca,0.000065,0.054
lacy,0.000083,0.098
lacz,0.031454,0.099
ldca,0.000307,0.035
ldcc,0.003252,0.016
ldha,0.003275,0.101
ldrc,0.000591,0.023
ldta,0.010543,0.115
ldtb,0.008307,0.062
ldtc,0.000283,0.036
ldtd,0.008069,0.021
ldte,0.057243,0.202
lepa,0.003317,0.097
lepb,0.006163,0.054
letb,0.001025,0.032
leua,0.000513,0.055
leuc,0.000942,0.037
leue,0.000845,0.089
leus,0.008703,0.096
lexa,0.035911,0.048
lgod,0.000112,0.035
lgor,0.000224,0.056
lgot,0.001613,0.042
lgt,0.000964,0.036
lhgd,0.023648,0.004
liga,0.006263,0.127
ligb,0.000107,0.018
lipb,0.000705,0.031
livg,0.000189,0.013
livh,0.000287,0.019
livj,0.000347,0.041
livk,0.000127,0.030
lola,0.002866,0.027
lolb,0.001104,0.026
lon,0.007230,0.026
lplt,0.004071,0.070
lpoa,0.001819,0.006
lpp,0.391442,0.091
lptc,0.010483,0.049
lptd,0.010369,0.131
lpte,0.010853,0.017
lptf,0.010072,0.017
lptg,0.012989,0.033
lpxc,0.284162,0.097
lpxl,0.003817,0.028
lpxm,0.002133,0.067
lrha,0.003372,0.134
lrp,0.013092,0.100
lsrb,0.000471,0.014
lsrd,0.000559,0.026
lsrf,0.000330,0.031
lsrk,0.000774,0.116
ltae,0.003058,0.016
luxs,0.016245,0.036
lysa,0.000736,0.070
lyso,0.000116,0.055
lysp,0.010037,0.042
lyss,0.003567,0.036
maa,0.000900,0.014
maca,0.000846,0.007
maea,0.002825,0.098
maeb,0.004808,0.125
mak,0.002385,0.014
male,0.000102,0.082
malf,0.000086,0.027
malg,0.000464,0.019
malp,0.001407,0.035
malq,0.001536,0.012
malt,0.001476,0.022
malx,0.000328,0.009
maly,0.000694,0.026
malz,0.000731,0.023
manx,0.033493,0.010
many,0.036619,0.031
manz,0.038685,0.034
mata,0.000000,0.064
matp,0.001721,0.014
maze,0.001452,0.042
mazg,0.001787,0.029
mcbr,0.001453,0.036
mcrb,0.000110,0.057
mcrc,0.000015,0.056
mdh,0.022337,0.020
mdtg,0.000837,0.031
mdti,0.000265,0.034
mdtm,0.000845,0.020
mdtn,0.000032,0.005
mdto,0.000031,0.037
mdtp,0.000006,0.072
melb,0.000478,0.028
melr,0.002318,0.029
mena,0.000870,0.038
menb,0.003058,0.022
menh,0.000464,0.034
meni,0.001010,0.063
mepm,0.007544,0.147
metf,0.000146,0.012
meth,0.000881,0.017
meti,0.001070,0.034
metq,0.001595,0.041
mfd,0.001371,0.082
mgla,0.000586,0.132
mglb,0.003812,0.080
mglc,0.000783,0.040
