"",bulk,single-cell
degp,0.299082,0.075453
degq,0.036980,0.052314
degs,0.007247,0.015091
deoa,0.100690,0.028169
deob,0.349259,0.080483
deoc,0.055911,0.020121
deod,0.175792,0.032193
deor,0.021313,0.001006
der,0.252922,0.057344
dfp,0.008816,0.005030
dgcc,0.009357,0.001006
dgce,0.011305,0.005030
dgci,0.003230,0.003018
dgcj,0.013856,0.020121
dgcm,0.018449,0.017103
dgcn,0.004691,0.004024
dgcp,0.011537,0.012072
dgcq,0.120442,0.047284
dgct,0.004727,0.006036
dgcz,0.058131,0.042254
dgka,0.054373,0.001006
dgoa,0.006502,0.000000
dgod,0.006594,0.020121
dgok,0.013458,0.012072
dgor,0.033932,0.001006
dgot,0.005323,0.001006
dgt,0.012908,0.014085
dhak,0.005597,0.000000
dhal,0.008327,0.003018
dham,0.005176,0.011066
dhar,0.099216,0.068410
diaa,0.022974,0.017103
dica,0.008456,0.001006
dicb,0.000297,0.000000
dicc,0.007674,0.018109
digh,0.006065,0.011066
dinb,0.115138,0.001006
dind,0.006821,0.017103
dinf,0.067499,0.027163
ding,0.015026,0.029175
dini,0.085999,0.009054
dinj,0.079573,0.015091
djlb,0.001277,0.012072
djlc,0.005922,0.013078
dkga,0.055659,0.081489
dkgb,0.001976,0.010060
dksa,0.962503,0.073441
dld,0.036011,0.018109
dmla,0.004360,0.000000
dmlr,0.057904,0.030181
dmsa,0.004425,0.008048
dmsb,0.004517,0.017103
dmsc,0.013018,0.001006
dmsd,0.010383,0.013078
dnaa,0.066494,0.068410
dnab,0.030159,0.006036
dnac,0.023124,0.017103
dnae,0.032219,0.032193
dnag,0.054298,0.062374
dnaj,0.237729,0.118712
dnak,0.657612,0.765594
dnan,0.064947,0.026157
dnaq,0.075321,0.023139
dnat,0.024710,0.007042
dnax,0.011053,0.017103
dolp,0.048763,0.021127
dosc,0.086111,0.106640
dosp,0.008885,0.021127
dpaa,0.063095,0.028169
dpia,0.007752,0.010060
dpib,0.007971,0.011066
dppa,0.040177,0.066398
dppb,0.008001,0.002012
dppc,0.008515,0.002012
dppd,0.005536,0.005030
dppf,0.005843,0.001006
dps,0.538159,0.149899
drpb,0.348751,0.083501
dsba,0.079387,0.017103
dsbb,0.031404,0.016097
dsbc,0.034915,0.033199
dsbd,0.005580,0.008048
dsbg,0.022815,0.054326
dsda,0.008276,0.028169
dsdx,0.010666,0.024145
dsrb,0.049044,0.001006
dtd,0.028966,0.009054
dtpa,0.037246,0.033199
dtpb,0.042005,0.032193
dtpc,0.002883,0.012072
dtpd,0.012867,0.027163
dusa,0.027594,0.020121
dusb,0.133920,0.014085
dusc,0.009179,0.007042
dut,0.015383,0.001006
dxr,0.036769,0.011066
dxs,0.021928,0.005030
eama,0.024142,0.029175
eamb,0.022609,0.006036
ebga,0.003407,0.015091
ebgc,0.002697,0.007042
ebgr,0.007383,0.016097
ecna,0.043298,0.005030
ecnb,0.053178,0.039235
eco,0.016131,0.003018
ecpa,0.013375,0.006036
ecpb,0.003112,0.003018
ecpc,0.003814,0.017103
ecpe,0.003774,0.017103
eda,0.068316,0.002012
edd,0.006767,0.018109
efeb,0.004584,0.000000
efeo,0.008225,0.003018
efp,0.088233,0.019115
elaa,0.015990,0.034205
elab,1.670348,0.090543
elad,0.000458,0.013078
elbb,0.013600,0.015091
elfa,0.002239,0.021127
elfc,0.002786,0.008048
elfd,0.001152,0.010060
elfg,0.005029,0.009054
elyc,0.007076,0.010060
emra,0.010668,0.005030
emrb,0.014809,0.001006
emrd,0.040364,0.005030
emre,0.014553,0.009054
emrk,0.011674,0.020121
emry,0.006153,0.015091
emta,0.057220,0.031187
enda,0.006419,0.004024
eno,0.409785,0.327968
enta,0.010398,0.004024
entb,0.007076,0.004024
entc,0.029078,0.000000
entd,0.008544,0.014085
ente,0.006395,0.003018
entf,0.006585,0.008048
enth,0.004078,0.000000
ents,0.037207,0.005030
envr,0.000527,0.015091
envy,0.000897,0.012072
envz,0.036244,0.019115
epd,0.072877,0.040241
epma,0.017034,0.011066
epmb,0.019243,0.015091
epmc,0.009753,0.000000
epta,0.005958,0.003018
eptb,0.006512,0.013078
eptc,0.008959,0.012072
era,0.129120,0.077465
erpa,0.182654,0.041247
essd,0.004565,0.006036
etk,0.011670,0.009054
etp,0.004799,0.001006
etta,0.201275,0.142857
euta,0.005733,0.003018
eutb,0.008155,0.005030
eutc,0.011420,0.002012
eute,0.001261,0.009054
eutg,0.003067,0.010060
euth,0.010475,0.010060
eutj,0.002107,0.000000
eutk,0.015210,0.008048
eutm,0.002870,0.000000
eutn,0.000544,0.005030
eutp,0.001724,0.002012
eutr,0.004532,0.000000
euts,0.001415,0.006036
eutt,0.001568,0.000000
evga,0.028453,0.035211
evgs,0.004289,0.008048
exbb,0.111340,0.062374
exbd,0.121625,0.050302
exox,0.032300,0.016097
exur,0.125222,0.040241
exut,0.075223,0.019115
faba,0.181239,0.036217
fabb,0.361558,0.095573
fabd,0.142526,0.017103
fabf,0.667346,0.226358
fabh,0.114763,0.016097
fabi,0.240720,0.013078
fabr,0.027980,0.008048
faby,0.030744,0.028169
fabz,0.063856,0.037223
fada,0.044862,0.016097
fadb,0.049060,0.015091
fadd,0.082827,0.089537
fade,0.335329,0.159960
fadh,0.019182,0.020121
fadj,0.061743,0.076459
fadk,0.001327,0.015091
fadl,0.159408,0.170020
fadm,0.160344,0.069416
fadr,0.027181,0.017103
fau,0.046850,0.000000
fbaa,0.235319,0.105634
fbab,0.587199,0.378270
fbp,0.041142,0.021127
fcl,0.002860,0.000000
fdhd,0.042652,0.019115
fdhe,0.028745,0.008048
fdhf,0.021059,0.021127
fdng,0.094886,0.014085
fdnh,0.010874,0.002012
fdni,0.009560,0.013078
fdoh,0.085666,0.025151
fdoi,0.048354,0.038229
fdra,0.002828,0.009054
fdx,0.053142,0.006036
feab,0.025048,0.003018
fear,0.007782,0.023139
feca,0.005317,0.004024
fecb,0.003691,0.005030
fecc,0.002302,0.001006
fecd,0.001832,0.001006
fece,0.001603,0.003018
feci,0.041000,0.005030
fecr,0.023855,0.000000
feoa,0.035533,0.001006
feob,0.035048,0.026157
feoc,0.033158,0.001006
fepa,0.055609,0.032193
fepb,0.037689,0.007042
fepc,0.004570,0.008048
fepd,0.016534,0.001006
fes,0.017425,0.004024
feta,0.003252,0.013078
fetb,0.004649,0.007042
ffh,0.075915,0.059356
ffs,0.335167,0.000000
fhua,0.050300,0.038229
fhub,0.009918,0.006036
fhuc,0.018485,0.001006
fhud,0.006732,0.006036
fhue,0.021913,0.026157
fhuf,0.341409,0.008048
fic,0.206148,0.026157
fief,0.060341,0.016097
fima,0.026987,0.035211
fimb,0.006348,0.009054
fimc,0.004149,0.018109
fime,0.003996,0.009054
fimf,0.008234,0.002012
fimh,0.008776,0.020121
fimi,0.005676,0.010060
fimz,0.001126,0.002012
fis,0.180068,0.040241
fiu,0.010427,0.010060
fixa,0.001130,0.005030
fixb,0.001750,0.000000
fixc,0.001953,0.005030
fixx,0.001159,0.006036
fklb,0.029577,0.003018
