"",bulk,single-cell
dtpd,0.002602,0.085
dusc,0.000436,0.026
eama,0.001635,0.100
ecpb,0.000038,0.021
ecpc,0.000082,0.069
ecpe,0.000181,0.040
edd,0.000383,0.103
elaa,0.000777,0.049
elab,0.123495,0.035
elbb,0.001759,0.014
elfa,0.000103,0.012
elfg,0.000258,0.010
elyc,0.000364,0.030
emrk,0.000386,0.078
emry,0.000149,0.061
emta,0.002471,0.007
enda,0.000237,0.006
eno,0.091014,0.127
entd,0.000228,0.026
envr,0.000022,0.031
envy,0.000024,0.051
epd,0.005626,0.012
epmb,0.000499,0.032
epmc,0.000152,0.027
epta,0.000263,0.049
eptb,0.000462,0.038
eptc,0.000326,0.046
era,0.016784,0.062
etk,0.000962,0.059
etp,0.000136,0.024
etta,0.005905,0.054
euta,0.000212,0.027
eute,0.000032,0.030
eutg,0.000070,0.041
euth,0.000546,0.034
eutn,0.000040,0.012
evga,0.000013,0.006
exbb,0.011192,0.011
exbd,0.009315,0.009
exur,0.006273,0.009
exut,0.007092,0.010
faba,0.027137,0.022
faby,0.002615,0.006
fadd,0.038475,0.081
fade,0.075598,0.047
fadj,0.004889,0.075
fadk,0.000159,0.007
fadl,0.009887,0.015
fadr,0.004259,0.006
fbaa,0.041131,0.023
fbab,0.043175,0.148
fbp,0.004915,0.022
fdhd,0.006091,0.008
fdhe,0.002101,0.015
fdhf,0.001099,0.044
fdng,0.009463,0.006
fdoi,0.007583,0.019
fear,0.002257,0.107
feca,0.000289,0.030
fecb,0.000127,0.023
fece,0.000103,0.014
fepa,0.000597,0.072
fepb,0.001304,0.015
fepc,0.000015,0.024
feta,0.000117,0.014
fetb,0.000227,0.005
ffh,0.007146,0.053
fhua,0.007305,0.012
fhue,0.000622,0.052
fic,0.014480,0.007
fief,0.003620,0.006
fimi,0.000164,0.007
fimz,0.000058,0.022
fiu,0.000354,0.063
fkpa,0.013040,0.051
flda,0.005011,0.023
flga,0.000178,0.019
flgf,0.000027,0.006
flgj,0.000060,0.004
flgk,0.000737,0.010
flgm,0.002487,0.017
flha,0.000506,0.033
flhc,0.002114,0.071
flia,0.001053,0.059
flic,0.004927,0.102
flid,0.000299,0.017
flil,0.000009,0.003
flip,0.000007,0.002
fliz,0.000365,0.044
folc,0.001587,0.047
fole,0.002412,0.054
folk,0.000028,0.043
frc,0.000101,0.108
frdb,0.003134,0.016
frlb,0.000321,0.003
frr,0.037180,0.023
frua,0.024741,0.048
fruk,0.010598,0.015
frvr,0.000053,0.044
frvx,0.000124,0.016
fryb,0.000000,0.050
fryc,0.000029,0.021
fsr,0.000947,0.068
ftna,0.002812,0.003
ftnb,0.001997,0.015
ftp,0.000056,0.039
ftsa,0.006292,0.018
ftsh,0.074048,0.126
ftsx,0.006231,0.017
ftsy,0.002451,0.012
fuca,0.000117,0.021
fuco,0.000902,0.010
fucr,0.000455,0.005
fucu,0.001550,0.005
fumb,0.005587,0.021
fumc,0.015720,0.051
fumd,0.000656,0.033
fume,0.000772,0.014
fur,0.019250,0.035
fusa,0.083594,0.118
gada,0.002411,0.020
gadb,0.002366,0.068
gadc,0.002452,0.076
gadw,0.000682,0.033
gadx,0.001434,0.039
galf,0.021325,0.053
galk,0.001292,0.037
galr,0.001925,0.011
gals,0.000332,0.113
galt,0.001000,0.041
galu,0.042997,0.018
gapa,0.052310,0.077
gard,0.003444,0.015
gark,0.002083,0.006
garl,0.000579,0.006
garp,0.000380,0.021
gatb,0.013505,0.055
gatd,0.003691,0.111
gaty,0.386902,0.027
gatz,0.213301,0.174
gcd,0.030620,0.047
gcva,0.002005,0.055
gfcd,0.000037,0.059
gfce,0.000090,0.058
ggt,0.002397,0.016
ghxq,0.000273,0.010
glah,0.052027,0.036
glar,0.004576,0.014
glcb,0.002093,0.022
glda,0.000406,0.033
glf,0.001092,0.128
glga,0.007854,0.046
glgb,0.002531,0.041
glgc,0.007211,0.025
glgp,0.005064,0.045
glgx,0.003601,0.027
glk,0.007428,0.025
glms,0.017486,0.079
glna,0.001469,0.009
glnb,0.001421,0.010
glnd,0.001492,0.039
glne,0.001324,0.014
glnh,0.005976,0.057
glnl,0.002323,0.041
glnp,0.001733,0.011
glns,0.002275,0.017
glob,0.000417,0.056
glpd,0.009135,0.025
glpf,0.002381,0.034
glpk,0.002321,0.052
glpq,0.006022,0.075
glpt,0.000335,0.071
glrk,0.000796,0.047
glrr,0.000400,0.043
glsb,0.000102,0.047
glta,0.057237,0.148
gltb,0.000729,0.005
