"",bulk,single-cell
kbp,0.412019,0.052
kch,0.013563,0.010
kdgr,0.016855,0.003
kdpd,0.024694,0.014
kdsa,0.100814,0.015
kdsd,0.036522,0.010
kdud,0.009262,0.002
kefb,0.014648,0.008
kgtp,0.769077,0.173
kilr,0.000688,0.001
laca,0.005319,0.015
lacy,0.003273,0.033
lacz,0.205628,0.027
lamb,0.006284,0.006
lapb,0.048004,0.015
ldcc,0.038621,0.013
ldha,0.038634,0.019
ldta,0.192917,0.046
ldtb,0.080400,0.026
ldtc,0.075261,0.020
ldtd,0.129936,0.018
ldte,0.345957,0.114
lepa,0.112646,0.017
lepb,0.073599,0.007
leta,0.027628,0.013
letb,0.016440,0.010
leua,0.012717,0.004
leuc,0.018208,0.003
leue,0.021641,0.008
leuo,0.007939,0.003
leus,0.111812,0.040
lexa,0.731716,0.112
lgod,0.012095,0.006
lgor,0.001133,0.004
liga,0.137898,0.034
ligb,0.002808,0.004
lipb,0.043710,0.005
livj,0.038172,0.009
lldd,0.009526,0.003
lldr,0.004463,0.000
lola,0.034012,0.009
lolb,0.090872,0.015
lole,0.019606,0.004
lon,0.415942,0.119
lpd,0.096674,0.009
lplt,0.057741,0.014
lpob,0.363820,0.036
lpp,4.511681,0.057
lpta,0.165500,0.013
lptc,0.109352,0.050
lptd,0.121885,0.063
lpte,0.140170,0.007
lptf,0.119197,0.023
lptg,0.130298,0.016
lpxa,0.108640,0.009
lpxb,0.017389,0.002
lpxc,0.710599,0.062
lpxd,0.135620,0.007
lpxk,0.055652,0.004
lpxl,0.035938,0.005
lpxm,0.112776,0.007
lrha,0.073459,0.056
lrp,0.173917,0.063
lspa,0.077251,0.006
lsrf,0.004643,0.006
lsrk,0.015650,0.014
ltae,0.032391,0.001
luxs,0.324634,0.020
lysa,0.113628,0.015
lysp,0.217022,0.014
lysr,0.015055,0.002
lyss,0.037216,0.015
maa,0.065432,0.005
maca,0.015681,0.003
maea,0.037998,0.022
maeb,0.056886,0.008
mak,0.076158,0.015
male,0.001784,0.028
malm,0.006592,0.001
malp,0.058366,0.007
malt,0.022957,0.015
malx,0.006307,0.004
maly,0.010491,0.009
malz,0.005313,0.007
manx,0.137027,0.011
many,0.152612,0.020
manz,0.175412,0.019
marr,0.009801,0.003
mata,0.004003,0.006
maze,0.130252,0.011
mazg,0.096814,0.010
mcbr,0.174888,0.080
mcrb,0.003480,0.005
mdh,0.309259,0.014
mdtb,0.006913,0.001
mdtf,0.003518,0.004
mdtk,0.300154,0.023
mdtp,0.000621,0.010
mela,0.008648,0.001
melb,0.005764,0.003
meni,0.005072,0.008
mepk,0.107878,0.043
mepm,0.055588,0.018
meta,0.004201,0.004
metc,0.010251,0.007
mete,0.009517,0.002
metf,0.005275,0.004
meti,0.016416,0.006
metk,0.111525,0.011
metq,0.035821,0.007
mfd,0.012216,0.009
mgla,0.004523,0.009
mglb,0.018590,0.007
mglc,0.012143,0.003
mgta,0.011191,0.008
mgts,0.009572,0.027
mhpf,0.002395,0.004
miab,0.072774,0.010
mind,0.039955,0.030
mipa,0.066130,0.005
mlab,0.170810,0.004
mlc,0.024469,0.016
mltb,0.052868,0.015
mltc,0.008635,0.009
mltd,0.035472,0.010
mltf,0.003373,0.004
mltg,0.034838,0.015
mmup,0.010745,0.003
mngb,0.003518,0.004
mnmg,0.041680,0.014
mnth,0.812399,0.096
moaa,0.092319,0.015
moab,0.109126,0.002
mobb,0.013354,0.003
moca,0.033829,0.021
moda,0.127268,0.031
modb,0.094335,0.007
mota,1.169066,0.025
motb,0.909866,0.025
mpaa,0.103054,0.083
mppa,0.075930,0.017
mqsa,0.711828,0.052
mrca,0.012201,0.003
mrcb,0.033606,0.018
mrda,0.011211,0.005
mrdb,0.021796,0.009
msba,0.038657,0.014
mscl,0.222362,0.019
mscm,0.005846,0.004
mscs,1.518726,0.222
msra,0.101162,0.002
msrc,0.145005,0.015
msrq,0.040674,0.009
mtla,0.235288,0.041
mtld,0.164936,0.014
mtlr,0.075061,0.006
mtr,0.027772,0.006
mug,0.148658,0.023
mukb,0.013618,0.003
muke,0.011835,0.000
mukf,0.014016,0.007
murb,0.012641,0.003
murr,0.018992,0.012
muth,0.015655,0.012
mutl,0.035253,0.001
muts,0.006956,0.012
mutt,0.001827,0.003
muty,0.020642,0.007
mzra,0.052616,0.001
nac,0.015431,0.030
nada,0.230945,0.032
nadc,0.007940,0.001
nade,0.066278,0.016
nadk,0.064338,0.014
nadr,0.027772,0.010
naga,0.044089,0.012
nagb,0.050362,0.006
nagc,0.018552,0.009
nage,0.085152,0.028
nagk,0.041498,0.009
nagz,0.040753,0.006
nana,0.102008,0.012
nanc,0.012685,0.003
nanm,0.124417,0.029
nanq,0.062278,0.010
nans,0.015851,0.011
nant,0.076756,0.009
napb,0.001355,0.004
naph,0.002656,0.001
narq,0.009683,0.005
naru,0.037111,0.011
narx,0.027257,0.025
narz,0.005033,0.004
ndh,0.018843,0.006
ndk,0.032389,0.003
nfi,0.050806,0.001
nfo,0.029880,0.002
nfra,0.005804,0.004
nfsa,0.036090,0.001
nhaa,0.308078,0.045
nhab,0.025530,0.014
nhar,0.056204,0.034
nika,0.000592,0.007
nimr,0.028199,0.008
nirb,0.002034,0.003
nlpa,0.059284,0.009
nlpd,0.257602,0.075
nlpe,0.114733,0.006
nlpi,0.315681,0.154
nnr,0.250896,0.006
norv,0.018947,0.005
nrda,0.025083,0.007
nrdb,0.109306,0.007
nrdd,0.378606,0.044
nrde,0.200807,0.078
nrdf,0.015730,0.005
nrdg,0.057529,0.014
nrdi,0.688223,0.020
nrdr,0.030049,0.011
nrfb,0.008607,0.005
nsrr,0.033781,0.016
nudb,0.050355,0.014
nudc,0.088258,0.020
nudi,0.002481,0.005
nudk,0.008483,0.003
nudl,0.038546,0.001
nuob,0.398552,0.048
nuoc,0.172549,0.028
nuof,0.096516,0.004
nuom,0.454329,0.019
nupc,0.046096,0.013
nusa,0.496675,0.108
nusg,0.234310,0.040
obge,0.261217,0.027
ompa,4.333871,0.215
ompc,0.430282,0.108
ompf,0.110503,0.024
ompg,0.007464,0.006
ompn,0.003918,0.007
ompt,0.161303,0.070
opgd,0.043736,0.007
opge,0.025506,0.013
opgg,0.031943,0.021
opgh,0.022632,0.009
oppa,0.193140,0.026
oppd,0.023186,0.004
osmb,0.216033,0.001
osmc,0.752866,0.048
osmf,0.349667,0.081
osmy,3.056087,0.240
otsa,0.196666,0.047
otsb,0.277000,0.081
oxc,0.005483,0.011
oxyr,0.082220,0.015
paai,0.002843,0.001
paaj,0.006615,0.004
paak,0.001550,0.006
paax,0.100692,0.017
paea,0.024698,0.028
pal,0.380471,0.004
panc,0.043358,0.008
pane,0.049057,0.010
paob,0.016439,0.000
parc,0.041265,0.002
pare,0.058855,0.001
pata,0.120483,0.039
pbpg,0.036410,0.017
pck,0.027007,0.011
pcnb,0.078539,0.034
pded,0.018004,0.013
pdef,0.002936,0.003
pdeg,0.047095,0.013
pdei,0.001207,0.006
pden,0.003511,0.009
pder,0.167863,0.035
pdxa,0.021766,0.002
pdxh,0.012816,0.006
pdxi,0.078625,0.022
pepa,0.292385,0.003
pepd,0.049762,0.016
pepn,0.077503,0.022
pepp,0.043676,0.010
pept,0.198464,0.052
perr,0.002002,0.010
pfka,0.335546,0.007
pfkb,0.264922,0.039
pflb,0.269937,0.082
pfld,0.001740,0.005
pgaa,0.003187,0.003
pgad,0.008227,0.011
pgi,0.141276,0.032
pgk,0.359989,0.101
pgl,0.246583,0.043
pgm,0.172075,0.042
pgpb,0.045149,0.015
pgrr,0.026311,0.010
phea,0.008760,0.005
phes,0.122568,0.047
phet,0.390758,0.120
phnj,0.000261,0.002
phoe,0.002207,0.002
phoh,0.088799,0.018
phop,0.072274,0.060
phoq,0.036531,0.008
phou,0.017726,0.002
phr,0.040026,0.016
pinq,0.016605,0.010
pita,0.154535,0.014
plsb,0.018701,0.007
plsx,0.054753,0.010
pmrd,0.012192,0.006
pncb,0.073983,0.007
pnp,0.320477,0.040
pnta,0.122960,0.014
pntb,0.123482,0.052
pnuc,0.265335,0.061
pota,0.018930,0.003
potc,0.023115,0.001
potd,0.046810,0.036
pote,0.011217,0.016
potf,0.116017,0.011
poth,0.007153,0.001
poxb,0.052860,0.007
ppc,0.009685,0.004
ppha,0.184877,0.064
pphb,0.250005,0.041
ppic,0.029263,0.005
ppid,0.056922,0.017
ppnn,0.027326,0.007
ppsr,0.048730,0.013
