"",bulk,single-cell
hism,0.411835,0.059558
hisq,0.937035,0.040346
hiss,1.868671,0.031700
hlde,0.620488,0.009606
hlye,0.014650,0.120077
hmp,0.125853,0.011527
hns,11.238942,0.213256
hofc,0.012383,0.010567
hofm,0.025122,0.005764
hofq,0.010688,0.005764
hokd,0.602991,0.038425
holc,0.392870,0.005764
hprr,0.071092,0.137368
hprs,0.071311,0.163305
hrpa,0.206881,0.027858
hrpb,0.120308,0.007685
hsca,0.887989,0.080692
hscb,0.666321,0.035543
hscc,0.027908,0.094140
hsdm,0.296850,0.041306
hsdr,0.295810,0.102786
hsds,0.147891,0.063401
hslj,0.102479,0.117195
hslo,0.405833,0.019212
hslr,0.382556,0.007685
hslu,0.416615,0.019212
hslv,0.343798,0.033622
hspq,1.050098,0.042267
htre,0.002911,0.067243
htrl,0.116562,0.039385
hupb,15.132863,0.046110
hyaf,0.009793,0.011527
hybb,0.051227,0.005764
hybc,0.138367,0.010567
hybo,0.078414,0.007685
hyca,0.003300,0.031700
hycb,0.006392,0.038425
hycc,0.004240,0.076849
hyce,0.011274,0.073007
hycg,0.011241,0.038425
hych,0.031508,0.055716
hyci,0.111768,0.138329
hyfa,0.007148,0.005764
hyff,0.011422,0.005764
hyfr,0.010836,0.024015
hyi,0.005898,0.033622
hypb,0.055090,0.005764
hypd,0.093635,0.012488
hype,0.128653,0.004803
iap,0.085143,0.021134
icd,8.335698,0.019212
idi,0.113432,0.013449
idno,0.034117,0.052834
idnr,0.053751,0.059558
igaa,0.215296,0.012488
ihfa,8.740989,0.350624
ilvb,0.313183,0.035543
ilvc,0.242017,0.005764
ilvi,0.165973,0.021134
ilvn,0.197253,0.012488
inaa,0.178734,0.060519
infb,2.746141,0.058598
insg,0.057316,0.056676
insq,0.223880,0.013449
inta,0.134974,0.021134
intd,0.128169,0.100865
intf,0.049208,0.075889
intr,0.021804,0.111431
ipra,0.001535,0.016330
isca,2.039196,0.048031
iscr,1.415918,0.042267
iscu,1.820044,0.053794
iscx,1.170091,0.024976
ispd,0.549345,0.043228
ispe,0.879984,0.038425
ispf,0.444436,0.020173
ispg,1.321903,0.017291
isph,0.674624,0.009606
ispu,1.582647,0.031700
kate,1.053282,0.035543
kbp,0.786779,0.181556
kch,0.049858,0.105668
kdgr,0.171333,0.030740
kdpa,0.002634,0.040346
kdpd,0.056211,0.061479
kdsa,0.793220,0.015370
kdud,0.142543,0.017291
kilr,0.002474,0.016330
kup,0.177362,0.014409
laca,0.010914,0.026897
