"",bulk,single-cell
cpxr,0.513237,0.039920
cra,0.735058,0.008982
crcb,0.029922,0.044910
crea,0.196677,0.001996
creb,0.205977,0.000000
crec,0.096598,0.038922
cred,0.720250,0.035928
crl,0.832918,0.015968
crp,2.951958,0.014970
crr,6.412144,0.202595
csde,0.186662,0.001996
csga,0.046046,0.004990
csgb,0.011029,0.006986
csgc,0.176186,0.014970
csgd,0.331056,0.153693
csge,0.404800,0.061876
csgf,0.271715,0.108782
csgg,0.391105,0.062874
csie,0.097575,0.236527
cspa,38.419286,0.015968
cspb,5.002194,0.010978
cspd,7.106724,0.050898
cspe,29.565935,0.089820
cspf,0.376890,0.000998
cspg,2.035341,0.011976
cspi,0.484914,0.056886
csqr,0.137298,0.006986
csra,5.663851,0.037924
csrd,0.224241,0.040918
csta,3.567797,0.096806
cueo,0.145011,0.012974
cura,0.252362,0.042914
cusa,0.015537,0.016966
cusb,0.003940,0.002994
cusc,0.000519,0.021956
cusf,0.002600,0.009980
cusr,0.111711,0.060878
cuss,0.068834,0.042914
cuta,0.131950,0.004990
cutc,0.308882,0.086826
cvpa,2.259409,0.053892
cvra,0.140439,0.110778
cyaa,0.591150,0.031936
cyay,0.191388,0.001996
cybb,0.242228,0.005988
cybc,0.401077,0.011976
cyca,2.511538,0.040918
cyda,1.129521,0.008982
cydb,1.217026,0.008982
cydc,0.196882,0.055888
cydd,0.184864,0.137725
cydh,0.498054,0.121756
cydx,0.620976,0.001996
cynr,0.044450,0.044910
cyns,0.014458,0.021956
cynt,0.014273,0.004990
cynx,0.021106,0.010978
cyoa,4.291639,0.069860
cyob,3.633521,0.080838
cyoc,2.491546,0.032934
cyod,3.096007,0.002994
cyoe,4.537212,0.004990
cysa,0.665163,0.011976
cysb,1.538020,0.029940
cysc,0.273165,0.039920
cysd,1.547574,0.086826
cyse,1.048141,0.000998
cysg,0.215787,0.005988
cysh,0.106354,0.122754
cysi,0.643179,0.062874
cysj,1.871276,0.056886
cysk,9.096451,0.035928
cysm,0.212710,0.008982
cysn,1.119234,0.080838
cysp,2.274939,0.003992
cysq,0.297848,0.004990
cyss,0.298214,0.009980
cysu,3.289736,0.021956
cysw,1.323647,0.006986
cysz,0.177733,0.008982
cytr,0.356570,0.048902
cyua,0.184721,0.006986
cyup,0.098003,0.022954
daca,0.688904,0.071856
dacb,0.171641,0.010978
dacc,0.578710,0.073852
dacd,0.036344,0.120758
dada,3.684667,0.005988
dadx,2.507318,0.003992
dam,0.500865,0.008982
damx,1.491912,0.031936
dapa,2.832734,0.185629
dapb,0.320277,0.010978
dapd,1.211237,0.018962
dape,0.396607,0.024950
dapf,0.895797,0.000998
daua,0.118390,0.001996
dbpa,0.249809,0.016966
dcd,1.004134,0.042914
dcm,0.225079,0.017964
dcp,0.345596,0.118762
dcrb,0.634564,0.012974
dcta,4.449412,0.082834
dctr,0.020737,0.016966
dcua,0.571246,0.016966
dcub,0.011352,0.017964
dcuc,0.008603,0.071856
dcur,0.121430,0.023952
dcus,0.053501,0.043912
dcyd,0.614596,0.112774
ddla,0.493315,0.066866
ddlb,0.649191,0.013972
ddpa,0.647837,0.119760
ddpb,0.327321,0.008982
ddpc,0.341679,0.027944
ddpd,0.359074,0.015968
ddpf,0.290857,0.029940
ddpx,0.476847,0.091816
dead,2.276168,0.027944
decr,0.086999,0.000000
deda,0.946472,0.129741
dedd,0.755961,0.041916
def,0.894925,0.042914
degp,0.502651,0.046906
degq,0.403540,0.025948
degs,0.229552,0.013972
deoa,0.435201,0.034930
deob,1.492759,0.028942
deoc,0.213718,0.009980
deod,2.467226,0.012974
deor,0.284045,0.013972
der,1.100440,0.057884
