"",bulk,single-cell
cyup,0.002624,0.029
daca,0.025692,0.059
dacb,0.010334,0.092
dacc,0.373397,0.531
dacd,0.008620,0.039
dada,0.129596,0.005
dadx,0.067782,0.003
dam,0.029262,0.012
damx,0.186098,0.198
dapa,0.115778,0.204
dapb,0.037744,0.018
dapd,0.076305,0.026
dape,0.044517,0.066
dapf,0.039471,0.003
daua,0.032815,0.001
dbpa,0.044008,0.070
dcd,0.103389,0.032
dcm,0.046850,0.008
dcp,0.027026,0.051
dcrb,0.073021,0.046
dcta,0.024955,0.063
dctr,0.001291,0.036
dcua,0.084848,0.045
dcub,0.001711,0.009
dcuc,0.002759,0.018
dcur,0.002241,0.020
dcus,0.001833,0.025
dcyd,0.152216,0.208
ddla,0.021610,0.046
ddlb,0.038959,0.042
ddpa,0.003712,0.019
ddpb,0.002522,0.006
ddpc,0.003971,0.003
ddpd,0.002599,0.006
ddpf,0.002342,0.014
ddpx,0.010246,0.045
dead,0.595413,0.533
decr,0.018006,0.002
deda,0.079838,0.082
dedd,0.087018,0.052
def,0.203630,0.168
degp,0.299082,0.150
degq,0.036980,0.128
degs,0.007247,0.036
deoa,0.100690,0.060
deob,0.349259,0.125
deoc,0.055911,0.020
deod,0.175792,0.065
deor,0.021313,0.010
der,0.252922,0.102
dfp,0.008816,0.023
dgcc,0.009357,0.012
dgce,0.011305,0.028
dgci,0.003230,0.029
dgcj,0.013856,0.048
dgcm,0.018449,0.033
dgcn,0.004691,0.017
dgcp,0.011537,0.031
dgcq,0.120442,0.111
dgct,0.004727,0.025
dgcz,0.058131,0.113
dgka,0.054373,0.000
dgoa,0.006502,0.001
dgod,0.006594,0.047
dgok,0.013458,0.016
dgot,0.005323,0.005
dgt,0.012908,0.032
dhak,0.005597,0.024
dhal,0.008327,0.020
dham,0.005176,0.028
dhar,0.099216,0.122
diaa,0.022974,0.045
dica,0.008456,0.002
dicb,0.000297,0.001
dicc,0.007674,0.034
digh,0.006065,0.030
dinb,0.115138,0.001
dind,0.006821,0.059
dinf,0.067499,0.101
ding,0.015026,0.066
dini,0.085999,0.012
dinj,0.079573,0.015
djla,0.013429,0.001
djlb,0.001277,0.032
djlc,0.005922,0.028
dkga,0.055659,0.146
dkgb,0.001976,0.041
dksa,0.962503,0.035
dld,0.036011,0.043
dmla,0.004360,0.000
dmlr,0.057904,0.050
dmsa,0.004425,0.024
dmsb,0.004517,0.065
