"",bulk,single-cell
eptc,0.008959,0.009
era,0.129120,0.047
erpa,0.182654,0.034
essd,0.004565,0.005
etk,0.011670,0.008
etta,0.201275,0.102
euta,0.005733,0.005
eute,0.001261,0.004
eutg,0.003067,0.004
euth,0.010475,0.006
evga,0.028453,0.028
exbb,0.111340,0.046
exbd,0.121625,0.030
exur,0.125222,0.028
exut,0.075223,0.011
fabb,0.361558,0.068
fabd,0.142526,0.016
fabf,0.667346,0.158
fabi,0.240720,0.009
faby,0.030744,0.016
fabz,0.063856,0.032
fadb,0.049060,0.009
fadd,0.082827,0.062
fade,0.335329,0.110
fadj,0.061743,0.051
fadl,0.159408,0.100
fadm,0.160344,0.047
fadr,0.027181,0.012
fbaa,0.235319,0.072
fbab,0.587199,0.243
fdhd,0.042652,0.020
fdhf,0.021059,0.017
fdni,0.009560,0.012
fdoi,0.048354,0.022
fdra,0.002828,0.004
fear,0.007782,0.021
feob,0.035048,0.017
fepa,0.055609,0.023
fepc,0.004570,0.005
fetb,0.004649,0.003
ffh,0.075915,0.035
fhua,0.050300,0.024
fhue,0.021913,0.018
fic,0.206148,0.024
fief,0.060341,0.012
fima,0.026987,0.012
fimb,0.006348,0.010
fimc,0.004149,0.013
fimh,0.008776,0.013
fimi,0.005676,0.009
fis,0.180068,0.036
fiu,0.010427,0.007
fixa,0.001130,0.004
fixx,0.001159,0.002
fkpa,0.112767,0.047
fkpb,0.042074,0.005
flgf,0.002309,0.005
flgj,0.002548,0.012
flgk,0.296926,0.051
flgl,0.279754,0.017
flgm,0.215698,0.018
flgn,0.234844,0.021
flhc,0.014044,0.008
flia,0.233256,0.037
flic,0.727058,0.085
flid,0.043240,0.016
fliz,0.126846,0.017
flxa,0.051835,0.025
foca,0.089595,0.020
folc,0.025696,0.008
folm,0.031154,0.020
folx,0.133223,0.024
frc,0.005774,0.016
frdb,0.054212,0.021
frlb,0.004197,0.004
frma,0.156269,0.054
frr,0.773498,0.132
frsa,0.018906,0.008
frua,0.215114,0.072
frvr,0.001369,0.004
fryb,0.001924,0.011
ftna,0.066820,0.016
ftnb,0.095762,0.052
ftsa,0.109906,0.081
ftsh,1.524611,0.689
ftsk,0.077206,0.059
ftsp,0.042494,0.002
ftsw,0.009788,0.007
ftsx,0.081451,0.026
fuci,0.004550,0.001
fuck,0.003676,0.009
fucr,0.008830,0.016
fucu,0.046670,0.011
fumc,0.050540,0.021
fumd,0.033513,0.022
fume,0.021912,0.012
fur,0.180550,0.035
fusa,1.792229,0.637
fxsa,0.132136,0.039
gadb,0.027773,0.036
gadw,0.005370,0.009
gadx,0.016129,0.011
gale,0.009265,0.008
galf,0.375810,0.088
galk,0.066183,0.038
galp,0.300098,0.079
galr,0.043843,0.023
gals,0.001797,0.012
galt,0.005519,0.019
galu,0.161008,0.043
gapa,0.612978,0.437
gard,0.010170,0.025
gatb,0.008328,0.009
gatd,0.021893,0.029
gatz,0.091811,0.082
gcl,0.013158,0.014
gcva,0.035878,0.030
gcvh,0.019553,0.005
gcvr,0.056800,0.022
gcvt,0.022326,0.005
gfce,0.003218,0.017
ggt,0.033375,0.012
ghos,0.072275,0.005
ghra,0.049008,0.024
ghrb,0.013078,0.010
ghxq,0.007595,0.002
glah,0.174690,0.193
glcb,0.056151,0.024
glcc,0.042014,0.017
glda,0.006086,0.013
glf,0.010324,0.019
glga,0.179265,0.124
glgb,0.051965,0.052
glgc,0.126136,0.063
glgp,0.057391,0.043
glgs,0.067325,0.006
glgx,0.038503,0.037
glk,0.076907,0.023
glmm,0.085801,0.035
glms,0.178502,0.129
glmu,0.095333,0.032
glnd,0.009375,0.005
glne,0.014090,0.013
glnh,0.078687,0.053
glnl,0.072995,0.042
glnp,0.029459,0.004
glns,0.032697,0.036
glob,0.011803,0.015
glpd,0.107408,0.092
glpf,0.022921,0.020
glpk,0.019029,0.012
glpq,0.041136,0.027
glpt,0.005020,0.015
glrr,0.024737,0.026
glsa,0.004395,0.008
glta,0.350185,0.268
gltf,0.003364,0.006
glti,0.017020,0.013
gltx,0.127140,0.038
glyu,0.075070,0.028
gmha,0.044756,0.005
gmk,0.118509,0.023
gntk,0.011461,0.006
gntp,0.011705,0.010
gor,0.036026,0.055
gpma,0.239826,0.046
gpmm,0.053851,0.005
gpr,0.018060,0.024
gpsa,0.064575,0.008
gpt,0.019428,0.026
grca,0.012015,0.005
grea,0.062488,0.009
grol,0.397359,0.242
gros,0.252465,0.034
grxa,0.001629,0.004
grxb,0.071074,0.036
grxd,0.180977,0.007
gsha,0.189974,0.093
gshb,0.056632,0.009
gsia,0.079902,0.035
gsib,0.026607,0.018
gsk,0.011537,0.012
gspb,0.005771,0.003
gspd,0.005155,0.010
gspi,0.000328,0.011
gspk,0.000275,0.009
gspl,0.000430,0.012
gss,0.016783,0.015
gsta,0.177537,0.019
gstb,0.042226,0.011
guaa,0.056539,0.028
guab,0.091485,0.023
guac,0.015738,0.016
gyra,0.049252,0.045
gyrb,0.166193,0.059
hcar,0.012372,0.016
hcat,0.016827,0.009
hcha,0.332080,0.149
hdfr,0.032087,0.017
hdha,0.356971,0.108
held,0.026934,0.037
hemh,0.115790,0.052
heml,0.068789,0.009
hemw,0.016684,0.020
hemx,0.127790,0.093
hflc,0.405739,0.070
hflx,0.486984,0.232
hfq,0.829248,0.215
hha,0.244579,0.010
hica,0.086148,0.007
hicb,0.077818,0.074
higb,0.006538,0.009
hint,0.234602,0.053
hipa,0.060710,0.044
hipb,0.039478,0.015
hisg,0.069676,0.003
hisj,0.052498,0.035
hisl,0.020484,0.010
hiss,0.101645,0.008
hlde,0.102736,0.022
hlye,0.004121,0.014
hmp,0.122522,0.025
hns,1.817633,0.241
hofc,0.002216,0.001
hokd,1.191877,0.077
holb,0.034240,0.011
holc,0.069215,0.014
hpf,0.043107,0.011
hprr,0.013055,0.025
hprs,0.013039,0.022
hrpa,0.027614,0.022
hsca,0.061926,0.015
hsdm,0.010044,0.010
hsdr,0.006829,0.028
hsds,0.000862,0.004
hslj,0.025617,0.015
hslo,0.152114,0.093
hslr,0.152306,0.038
hslu,0.212461,0.075
hslv,0.223062,0.113
hspq,0.864870,0.059
htpg,0.116671,0.055
hupb,0.224833,0.063
hyaa,0.016633,0.007
hybb,0.004356,0.003
hybc,0.021474,0.011
hybo,0.014776,0.005
hycc,0.019310,0.008
hyce,0.011034,0.007
hycg,0.007174,0.007
hyci,0.027736,0.011
hyfc,0.000445,0.002
hyfr,0.001609,0.005
hyi,0.004508,0.014
iap,0.010260,0.006
ibpa,0.135550,0.020
icd,0.169115,0.050
idi,0.064911,0.018
idnk,0.005124,0.010
idno,0.003215,0.009
idnr,0.002913,0.007
idnt,0.005332,0.011
ihfa,5.232587,0.685
ihfb,0.690990,0.071
iles,0.089583,0.010
ilva,0.029390,0.006
ilvc,0.011152,0.013
ilvd,0.073187,0.011
ilvi,0.004493,0.008
ilvn,0.010843,0.008
inaa,0.025298,0.020
infb,0.552775,0.259
infc,1.638107,0.072
insg,0.004768,0.016
insq,0.025985,0.013
inta,0.021879,0.018
intd,0.011996,0.012
intf,0.042212,0.027
intr,0.011722,0.017
intz,0.016976,0.002
ipra,0.000581,0.005
irap,0.014697,0.006
isca,0.535234,0.061
iscr,0.521651,0.080
iscu,0.488178,0.061
ispb,0.083111,0.026
ispe,0.112974,0.033
ispf,0.029338,0.003
ispg,0.256706,0.019
isph,0.035166,0.009
ispu,0.049080,0.031
ivy,0.076890,0.013
kate,0.024714,0.023
katg,0.038139,0.024
kbp,0.412019,0.151
kch,0.013563,0.012
kdgr,0.016855,0.004
kdpd,0.024694,0.016
kdsa,0.100814,0.023
kdsd,0.036522,0.015
kdud,0.009262,0.000
kefb,0.014648,0.011
kgtp,0.769077,0.331
kilr,0.000688,0.004
laca,0.005319,0.012
lacy,0.003273,0.029
lacz,0.205628,0.034
lamb,0.006284,0.006
lapb,0.048004,0.043
ldcc,0.038621,0.025
ldha,0.038634,0.030
ldta,0.192917,0.097
ldtb,0.080400,0.037
ldtc,0.075261,0.030
ldtd,0.129936,0.034
ldte,0.345957,0.345
lepa,0.112646,0.052
lepb,0.073599,0.014
leta,0.027628,0.021
letb,0.016440,0.022
leua,0.012717,0.010
leuc,0.018208,0.009
leue,0.021641,0.020
leuo,0.007939,0.006
leus,0.111812,0.090
lexa,0.731716,0.168
lgod,0.012095,0.015
lgor,0.001133,0.017
liga,0.137898,0.098
ligb,0.002808,0.008
lipb,0.043710,0.005
livj,0.038172,0.023
lldd,0.009526,0.011
lldr,0.004463,0.002
lola,0.034012,0.025
lolb,0.090872,0.034
lole,0.019606,0.012
lon,0.415942,0.260
lpd,0.096674,0.015
lplt,0.057741,0.022
lpob,0.363820,0.053
lpp,4.511681,0.098
lpta,0.165500,0.036
lptc,0.109352,0.102
lptd,0.121885,0.113
lpte,0.140170,0.013
lptf,0.119197,0.055
lptg,0.130298,0.040
lpxa,0.108640,0.024
lpxb,0.017389,0.002
lpxc,0.710599,0.098
lpxd,0.135620,0.022
lpxk,0.055652,0.012
lpxl,0.035938,0.015
lpxm,0.112776,0.026
lrha,0.073459,0.067
lrp,0.173917,0.094
lspa,0.077251,0.018
lsrf,0.004643,0.006
lsrk,0.015650,0.027
ltae,0.032391,0.005
luxs,0.324634,0.031
lysa,0.113628,0.023
lysp,0.217022,0.033
lysr,0.015055,0.012
lyss,0.037216,0.021
maa,0.065432,0.010
maca,0.015681,0.003
maea,0.037998,0.037
maeb,0.056886,0.051
mak,0.076158,0.031
male,0.001784,0.023
malm,0.006592,0.002
malp,0.058366,0.024
malt,0.022957,0.022
malx,0.006307,0.010
maly,0.010491,0.013
malz,0.005313,0.012
manx,0.137027,0.025
many,0.152612,0.045
manz,0.175412,0.059
marr,0.009801,0.012
mata,0.004003,0.008
maze,0.130252,0.021
mazg,0.096814,0.016
mcbr,0.174888,0.106
mcrb,0.003480,0.005
mdh,0.309259,0.045
mdtb,0.006913,0.011
mdtf,0.003518,0.008
mdtk,0.300154,0.049
mdtp,0.000621,0.025
mela,0.008648,0.007
melb,0.005764,0.010
meni,0.005072,0.007
mepk,0.107878,0.047
mepm,0.055588,0.018
meta,0.004201,0.009
metc,0.010251,0.009
mete,0.009517,0.009
metf,0.005275,0.004
meti,0.016416,0.017
metk,0.111525,0.025
metq,0.035821,0.009
mfd,0.012216,0.016
mgla,0.004523,0.013
mglb,0.018590,0.026
mglc,0.012143,0.005
mgta,0.011191,0.018
mgts,0.009572,0.050
mhpf,0.002395,0.008
miab,0.072774,0.026
mind,0.039955,0.039
mipa,0.066130,0.021
mlab,0.170810,0.006
mlc,0.024469,0.026
mltb,0.052868,0.033
mltc,0.008635,0.008
mltd,0.035472,0.015
mltf,0.003373,0.012
mltg,0.034838,0.040
mmup,0.010745,0.006
mngb,0.003518,0.009
mnmg,0.041680,0.020
mnth,0.812399,0.180
moaa,0.092319,0.035
moab,0.109126,0.004
mobb,0.013354,0.006
moca,0.033829,0.037
moda,0.127268,0.065
modb,0.094335,0.016
mota,1.169066,0.042
motb,0.909866,0.040
mpaa,0.103054,0.115
mppa,0.075930,0.032
mqsa,0.711828,0.089
mrca,0.012201,0.002
mrcb,0.033606,0.015
mrda,0.011211,0.009
mrdb,0.021796,0.019
msba,0.038657,0.030
mscl,0.222362,0.059
mscm,0.005846,0.012
mscs,1.518726,0.396
msra,0.101162,0.014
msrc,0.145005,0.017
msrq,0.040674,0.004
mtla,0.235288,0.090
mtld,0.164936,0.048
mtlr,0.075061,0.010
mtr,0.027772,0.008
mug,0.148658,0.051
mukb,0.013618,0.009
muke,0.011835,0.003
mukf,0.014016,0.011
murb,0.012641,0.014
murr,0.018992,0.020
muth,0.015655,0.007
mutl,0.035253,0.007
muts,0.006956,0.009
mutt,0.001827,0.011
muty,0.020642,0.006
mzra,0.052616,0.006
nac,0.015431,0.031
