"",bulk,single-cell
asps,0.004331,0.089
asr,0.000745,0.006
asta,0.009038,0.021
astb,0.005798,0.126
astc,0.010497,0.047
astd,0.006959,0.013
aste,0.004821,0.020
atoa,0.000039,0.004
atob,0.000364,0.009
atoc,0.000322,0.023
atod,0.000069,0.000
atoe,0.000063,0.008
atos,0.000420,0.043
atpa,0.003514,0.044
atpb,0.004311,0.002
atpc,0.007312,0.004
atpd,0.005704,0.023
atpe,0.006486,0.005
atpf,0.004597,0.002
atpg,0.003126,0.020
atph,0.003755,0.047
avta,0.001569,0.013
azor,0.000470,0.027
baca,0.000817,0.001
baer,0.002364,0.000
baes,0.000275,0.023
bama,0.003735,0.018
bamb,0.023012,0.047
bamc,0.009618,0.082
bamd,0.003370,0.013
bame,0.018334,0.012
bara,0.000309,0.029
basr,0.002368,0.042
bass,0.001395,0.026
bax,0.007621,0.077
bcp,0.004476,0.018
bcr,0.000876,0.040
bcsa,0.000087,0.004
bcsb,0.000058,0.030
bcse,0.002565,0.023
bcsf,0.000734,0.001
bcsg,0.001014,0.028
bcsq,0.000559,0.027
bcsz,0.001199,0.017
bdca,0.000183,0.024
bdcr,0.000300,0.010
bdm,0.000136,0.096
bepa,0.002146,0.011
beta,0.000467,0.045
betb,0.003060,0.001
beti,0.004686,0.003
bett,0.002964,0.027
bfd,0.015141,0.002
bfr,0.010657,0.068
bgla,0.001577,0.027
bglb,0.000018,0.048
bglf,0.000023,0.056
bglg,0.000019,0.047
bglh,0.000039,0.056
bglj,0.000268,0.021
bglx,0.000645,0.127
bioa,0.001847,0.022
bioc,0.000245,0.007
biod,0.002088,0.022
biof,0.000696,0.004
bioh,0.002440,0.011
biop,0.000519,0.000
bipa,0.013100,0.056
bira,0.000909,0.029
bisc,0.001169,0.015
blc,0.014266,0.030
blr,0.000231,0.002
bluf,0.000375,0.080
blur,0.001838,0.090
bola,0.046241,0.128
brnq,0.045620,0.005
bsma,0.050011,0.044
bssr,0.711991,0.277
bsss,0.342082,0.091
btsr,0.000341,0.158
btss,0.000628,0.101
btst,0.000373,0.018
btub,0.000272,0.026
btuc,0.000518,0.022
btud,0.002527,0.025
btue,0.002763,0.046
btuf,0.000412,0.018
cada,0.000087,0.042
cadb,0.000128,0.052
cadc,0.000840,0.071
caia,0.000152,0.019
caib,0.000185,0.064
caic,0.000090,0.083
caid,0.000031,0.033
caie,0.000126,0.016
caif,0.000900,0.035
cait,0.000014,0.051
can,0.002134,0.013
cara,0.000881,0.004
carb,0.001074,0.015
cas3,0.000235,0.128
casa,0.000104,0.150
casb,0.000120,0.105
casd,0.000251,0.119
case,0.000484,0.141
cbl,0.000216,0.133
cbpa,0.007667,0.038
cbpm,0.006585,0.020
cbra,0.000036,0.015
cbrb,0.000011,0.014
cbrc,0.000444,0.024
cbta,0.000000,0.007
cca,0.005233,0.009
ccda,0.003059,0.022
ccma,0.001356,0.033
ccmb,0.000230,0.008
ccmc,0.000239,0.005
ccmd,0.000047,0.003
ccme,0.000280,0.049
ccmf,0.000253,0.006
ccmg,0.000254,0.133
ccmh,0.000383,0.033
ccp,0.000800,0.075
cdar,0.000199,0.002
cdd,0.012573,0.015
cdgi,0.000169,0.031
cdh,0.000043,0.045
cdsa,0.004293,0.009
cecr,0.001231,0.003
ceda,0.000290,0.008
cfa,0.068885,0.091
chaa,0.000442,0.064
chab,0.005558,0.011
chac,0.005837,0.012
chba,0.001384,0.014
chbb,0.004864,0.037
chbc,0.002095,0.180
chbf,0.000515,0.128
chbg,0.002018,0.017
chbr,0.000795,0.151
chea,0.000572,0.115
cheb,0.000077,0.115
cher,0.000352,0.004
chew,0.000507,0.032
chey,0.000117,0.008
chez,0.000317,0.052
chia,0.001011,0.054
chip,0.000229,0.012
chiq,0.000645,0.005
cho,0.000555,0.028
chpb,0.002367,0.000
chps,0.000226,0.005
cira,0.000383,0.145
citc,0.000004,0.082
citd,0.000000,0.000
cite,0.000018,0.010
citf,0.000003,0.013
citg,0.000005,0.003
citt,0.000136,0.032
citx,0.000000,0.007
clca,0.003246,0.022
clcb,0.000120,0.006
clpa,0.050798,0.104
clpb,0.010457,0.174
clpp,0.012067,0.007
clps,0.002883,0.004
clpx,0.131129,0.248
clsa,0.004458,0.107
clsb,0.001333,0.037
clsc,0.001936,0.016
cmk,0.013904,0.011
cmoa,0.000771,0.007
cmob,0.000517,0.008
cmom,0.001511,0.014
cmta,0.000043,0.025
cmtb,0.000009,0.013
cnox,0.003498,0.006
cnu,0.000346,0.003
coaa,0.000803,0.062
coad,0.002889,0.009
coae,0.004059,0.034
cobb,0.000844,0.019
cobc,0.000206,0.025
cobs,0.000670,0.020
cobt,0.000540,0.025
cobu,0.000685,0.085
codb,0.000114,0.011
cof,0.004875,0.027
comr,0.001621,0.026
copa,0.002953,0.023
cora,0.002724,0.015
cpda,0.004537,0.001
cpdb,0.000249,0.051
cpob,0.005655,0.028
cpsb,0.000046,0.019
cpsg,0.000077,0.093
cpxa,0.001870,0.054
cpxp,0.036020,0.020
cpxr,0.003264,0.033
cra,0.003512,0.007
crcb,0.002439,0.038
crea,0.000643,0.006
creb,0.000698,0.003
crec,0.000306,0.027
cred,0.000324,0.032
crl,0.005403,0.005
crp,0.012346,0.025
crr,0.267115,0.249
csde,0.004276,0.004
csga,0.000584,0.002
csgb,0.000110,0.012
csgc,0.000069,0.013
csgd,0.000337,0.098
csge,0.000397,0.033
csgf,0.000120,0.058
csgg,0.000694,0.038
csie,0.047591,0.149
cspa,0.051664,0.036
cspb,0.006167,0.011
cspd,0.167594,0.047
cspe,0.482431,0.273
cspf,0.000072,0.001
cspg,0.000383,0.018
cspi,0.000509,0.060
csqr,0.001254,0.010
csra,0.429062,0.057
csrd,0.000719,0.051
csta,0.013685,0.029
cueo,0.000437,0.023
cura,0.005819,0.031
cusa,0.000199,0.011
cusb,0.000120,0.007
cusc,0.000011,0.028
cusf,0.000125,0.011
cusr,0.000560,0.038
cuss,0.000107,0.038
cuta,0.000748,0.009
cutc,0.024762,0.068
cvpa,0.000966,0.032
cvra,0.000266,0.078
cyaa,0.014725,0.020
cyay,0.000615,0.005
cybb,0.001382,0.008
cybc,0.008972,0.009
cyca,0.023596,0.018
cyda,0.028807,0.008
cydb,0.035104,0.018
cydc,0.000570,0.054
cydd,0.000532,0.098
cydh,0.002748,0.218
cydx,0.025806,0.004
cynr,0.000480,0.040
cyns,0.000096,0.019
cynt,0.000051,0.002
cynx,0.000142,0.009
cyoa,0.005043,0.054
cyob,0.004019,0.059
cyoc,0.003690,0.026
cyod,0.005436,0.013
cyoe,0.008457,0.009
cysa,0.000630,0.024
cysb,0.002676,0.028
cysc,0.000153,0.021
cysd,0.000232,0.074
cyse,0.005292,0.003
cysg,0.001882,0.006
cysh,0.000515,0.093
cysi,0.000155,0.056
cysj,0.000086,0.033
cysk,0.004383,0.041
cysm,0.000315,0.013
cysn,0.000523,0.068
cysp,0.000379,0.008
cysq,0.045082,0.012
cyss,0.000445,0.005
cysu,0.005552,0.025
cysw,0.000538,0.009
cysz,0.004231,0.013
cytr,0.000515,0.066
cyua,0.000174,0.014
cyup,0.000432,0.047
daca,0.000984,0.065
dacb,0.000198,0.028
dacc,0.007017,0.041
dacd,0.000517,0.149
dada,0.038081,0.009
dadx,0.015874,0.005
dam,0.000524,0.016
damx,0.006320,0.027
dapa,0.008757,0.131
dapb,0.002306,0.012
dapd,0.009800,0.023
dape,0.001880,0.018
dapf,0.002065,0.002
daua,0.000470,0.007
dbpa,0.001164,0.016
dcd,0.002395,0.025
dcm,0.000571,0.030
dcp,0.001698,0.075
dcrb,0.011756,0.013
dcta,0.025612,0.109
dctr,0.000048,0.016
dcua,0.005903,0.037
dcub,0.000155,0.020
dcuc,0.000109,0.050
dcur,0.000333,0.032
dcus,0.000149,0.047
dcyd,0.006144,0.080
ddla,0.001045,0.075
ddlb,0.002670,0.008
ddpa,0.000899,0.117
ddpb,0.000181,0.020
ddpc,0.000348,0.017
ddpd,0.000167,0.018
ddpf,0.000136,0.034
ddpx,0.001028,0.055
dead,0.019879,0.054
decr,0.002381,0.001
deda,0.003117,0.123
dedd,0.007085,0.037
def,0.063230,0.058
degp,0.004280,0.038
degq,0.002601,0.029
degs,0.000756,0.023
deoa,0.017376,0.022
deob,0.048848,0.040
deoc,0.020519,0.012
deod,0.046277,0.018
deor,0.001131,0.020
der,0.010061,0.048
dfp,0.000719,0.021
dgcc,0.002035,0.005
dgce,0.003070,0.033
dgci,0.000107,0.028
dgcj,0.000750,0.022
dgcm,0.001359,0.052
dgcn,0.000320,0.013
dgcp,0.001169,0.016
dgcq,0.002695,0.099
dgct,0.000041,0.025
dgcz,0.003694,0.113
dgka,0.003058,0.003
dgoa,0.000266,0.006
dgod,0.000258,0.063
dgok,0.000414,0.020
dgor,0.000920,0.000
dgot,0.000152,0.012
dgt,0.000349,0.022
dhak,0.000981,0.044
dhal,0.000645,0.019
dham,0.000659,0.104
