gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
csgD	GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:1900190 - regulation of single-species biofilm formation; GO:2000144 - positive regulation of DNA-templated transcription initiation	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0032993 - protein-DNA complex	GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0042802 - identical protein binding
rhaS	GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
rhaR	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
tpiA	GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process; GO:0019563 - glycerol catabolic process; GO:0046166 - glyceraldehyde-3-phosphate biosynthetic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane	GO:0004807 - triose-phosphate isomerase activity; GO:0005515 - protein binding; GO:0016853 - isomerase activity; GO:0042802 - identical protein binding
phoU	GO:0001558 - regulation of cell growth; GO:0006817 - phosphate ion transport; GO:0009267 - cellular response to starvation; GO:0010629 - negative regulation of gene expression; GO:0016036 - cellular response to phosphate starvation; GO:0030643 - intracellular phosphate ion homeostasis; GO:0034605 - cellular response to heat; GO:0045936 - negative regulation of phosphate metabolic process; GO:0071236 - cellular response to antibiotic; GO:0071467 - cellular response to pH; GO:2000186 - negative regulation of phosphate transmembrane transport	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000287 - magnesium ion binding; GO:0005515 - protein binding; GO:0030145 - manganese ion binding; GO:0042803 - protein homodimerization activity
pstB	GO:0006817 - phosphate ion transport; GO:0035435 - phosphate ion transmembrane transport; GO:0098656 - monoatomic anion transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005315 - phosphate transmembrane transporter activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity
pstA	GO:0006817 - phosphate ion transport; GO:0006974 - DNA damage response; GO:0035435 - phosphate ion transmembrane transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0005315 - phosphate transmembrane transporter activity; GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity
pstC	GO:0006817 - phosphate ion transport; GO:0009314 - response to radiation; GO:0035435 - phosphate ion transmembrane transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0005315 - phosphate transmembrane transporter activity; GO:0015415 - ATPase-coupled phosphate ion transmembrane transporter activity
poxB	GO:0006090 - pyruvate metabolic process; GO:0019752 - carboxylic acid metabolic process; GO:0042867 - pyruvate catabolic process	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0032991 - protein-containing complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0008289 - lipid binding; GO:0016491 - oxidoreductase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0048039 - ubiquinone binding; GO:0050660 - flavin adenine dinucleotide binding; GO:0052737 - pyruvate dehydrogenase (quinone) activity
gyrB	GO:0006261 - DNA-templated DNA replication; GO:0006265 - DNA topological change; GO:0006351 - DNA-templated transcription; GO:0009410 - response to xenobiotic stimulus; GO:0046677 - response to antibiotic; GO:0051276 - chromosome organization	GO:0005694 - chromosome; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex	GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003916 - DNA topoisomerase activity; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008094 - ATP-dependent activity, acting on DNA; GO:0016853 - isomerase activity; GO:0034335 - DNA negative supercoiling activity; GO:0046872 - metal ion binding
proX	GO:0006865 - amino acid transport; GO:0006972 - hyperosmotic response; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport; GO:0071470 - cellular response to osmotic stress; GO:0089718 - amino acid import across plasma membrane; GO:1903804 - glycine import across plasma membrane	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:1990222 - ProVWX complex	GO:0005515 - protein binding; GO:0022857 - transmembrane transporter activity; GO:0050997 - quaternary ammonium group binding
proW	GO:0006865 - amino acid transport; GO:0006972 - hyperosmotic response; GO:0015837 - amine transport; GO:0015871 - choline transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport; GO:0071470 - cellular response to osmotic stress; GO:0089718 - amino acid import across plasma membrane; GO:1902603 - carnitine transmembrane transport; GO:1903804 - glycine import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:1990222 - ProVWX complex	GO:0005275 - amine transmembrane transporter activity; GO:0005515 - protein binding; GO:0015226 - carnitine transmembrane transporter activity
proV	GO:0006865 - amino acid transport; GO:0006972 - hyperosmotic response; GO:0015837 - amine transport; GO:0031460 - glycine betaine transport; GO:0071470 - cellular response to osmotic stress; GO:0089718 - amino acid import across plasma membrane; GO:1903804 - glycine import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:1990222 - ProVWX complex	GO:0000166 - nucleotide binding; GO:0005034 - osmosensor activity; GO:0005275 - amine transmembrane transporter activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity
gor	GO:0006749 - glutathione metabolic process; GO:0034599 - cellular response to oxidative stress; GO:0045454 - cell redox homeostasis; GO:0098869 - cellular oxidant detoxification	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane	GO:0004362 - glutathione-disulfide reductase (NADPH) activity; GO:0016491 - oxidoreductase activity; GO:0016668 - oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor; GO:0042803 - protein homodimerization activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0050661 - NADP binding; GO:0071949 - FAD binding
murP	GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0034219 - carbohydrate transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090588 - protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity
murQ	GO:0006040 - amino sugar metabolic process; GO:0009254 - peptidoglycan turnover; GO:0046348 - amino sugar catabolic process; GO:0097173 - N-acetylmuramic acid catabolic process; GO:0097175 - 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process; GO:1901135 - carbohydrate derivative metabolic process	GO:0005829 - cytosol	GO:0005515 - protein binding; GO:0016803 - ether hydrolase activity; GO:0016829 - lyase activity; GO:0016835 - carbon-oxygen lyase activity; GO:0097367 - carbohydrate derivative binding
mpl	GO:0008360 - regulation of cell shape; GO:0009252 - peptidoglycan biosynthetic process; GO:0009254 - peptidoglycan turnover; GO:0051301 - cell division; GO:0071555 - cell wall organization	GO:0005576 - extracellular region; GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0016881 - acid-amino acid ligase activity; GO:0042802 - identical protein binding; GO:0097216 - guanosine tetraphosphate binding; GO:0106418 - UDP-N-acetylmuramate-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase activity
pstS	GO:0006817 - phosphate ion transport; GO:0006974 - DNA damage response; GO:0009314 - response to radiation; GO:0035435 - phosphate ion transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0042301 - phosphate ion binding
yafP	GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0009432 - SOS response	GO:0005829 - cytosol	GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups
yafO	GO:0006281 - DNA repair; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0009432 - SOS response; GO:0017148 - negative regulation of translation; GO:0040008 - regulation of growth	GO:0005829 - cytosol; GO:0110001 - toxin-antitoxin complex	GO:0003723 - RNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004521 - RNA endonuclease activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity; GO:0043023 - ribosomal large subunit binding
yafN	GO:0006281 - DNA repair; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0009432 - SOS response; GO:0040008 - regulation of growth	GO:0005829 - cytosol; GO:0110001 - toxin-antitoxin complex	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0043565 - sequence-specific DNA binding
dinB	GO:0000731 - DNA synthesis involved in DNA repair; GO:0006259 - DNA metabolic process; GO:0006260 - DNA replication; GO:0006261 - DNA-templated DNA replication; GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0009432 - SOS response; GO:0042276 - error-prone translesion synthesis; GO:0070987 - error-free translesion synthesis	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000287 - magnesium ion binding; GO:0003677 - DNA binding; GO:0003684 - damaged DNA binding; GO:0003887 - DNA-directed DNA polymerase activity; GO:0005515 - protein binding; GO:0008296 - 3'-5'-DNA exonuclease activity; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0034061 - DNA polymerase activity; GO:0046872 - metal ion binding
rpoH	GO:0006310 - DNA recombination; GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0009408 - response to heat; GO:0010468 - regulation of gene expression; GO:0015074 - DNA integration; GO:0045893 - positive regulation of DNA-templated transcription; GO:2000142 - regulation of DNA-templated transcription initiation	GO:0000345 - cytosolic DNA-directed RNA polymerase complex; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0031421 - invertasome	GO:0001000 - bacterial-type RNA polymerase core enzyme binding; GO:0001046 - core promoter sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0009009 - site-specific recombinase activity; GO:0016987 - sigma factor activity
pdhR	GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
aceE	GO:0042867 - pyruvate catabolic process	GO:0005829 - cytosol; GO:0016020 - membrane; GO:0045254 - pyruvate dehydrogenase complex	GO:0000287 - magnesium ion binding; GO:0004739 - pyruvate dehydrogenase (acetyl-transferring) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0036094 - small molecule binding; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding; GO:0060090 - molecular adaptor activity
aceF	GO:0006086 - pyruvate decarboxylation to acetyl-CoA; GO:0042867 - pyruvate catabolic process; GO:0097532 - stress response to acid chemical	GO:0005737 - cytoplasm; GO:0045254 - pyruvate dehydrogenase complex	GO:0004742 - dihydrolipoyllysine-residue acetyltransferase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0031405 - lipoic acid binding
lpd	GO:0006099 - tricarboxylic acid cycle; GO:0006103 - 2-oxoglutarate metabolic process; GO:0006730 - one-carbon metabolic process; GO:0006979 - response to oxidative stress; GO:0019464 - glycine decarboxylation via glycine cleavage system; GO:0042867 - pyruvate catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0005960 - glycine cleavage complex; GO:0016020 - membrane; GO:0045252 - oxoglutarate dehydrogenase complex; GO:0045254 - pyruvate dehydrogenase complex	GO:0004148 - dihydrolipoyl dehydrogenase (NADH) activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0015036 - disulfide oxidoreductase activity; GO:0016491 - oxidoreductase activity; GO:0016668 - oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor; GO:0042802 - identical protein binding; GO:0050660 - flavin adenine dinucleotide binding
topA	GO:0006265 - DNA topological change; GO:0007059 - chromosome segregation	GO:0005694 - chromosome; GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003916 - DNA topoisomerase activity; GO:0003917 - DNA topoisomerase type I (single strand cut, ATP-independent) activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016853 - isomerase activity; GO:0046872 - metal ion binding; GO:0140226 - RNA topoisomerase activity
csgC		GO:0042597 - periplasmic space	
csgB	GO:0007155 - cell adhesion; GO:0044010 - single-species biofilm formation; GO:0098775 - curli assembly; GO:1905906 - regulation of amyloid fibril formation; GO:1990000 - amyloid fibril formation	GO:0009279 - cell outer membrane; GO:0009289 - pilus	GO:0005515 - protein binding; GO:0042802 - identical protein binding
csgA	GO:0007155 - cell adhesion; GO:0044010 - single-species biofilm formation; GO:1905906 - regulation of amyloid fibril formation; GO:1990000 - amyloid fibril formation	GO:0005576 - extracellular region; GO:0009289 - pilus	GO:0005515 - protein binding; GO:0042802 - identical protein binding
frdD	GO:0006106 - fumarate metabolic process; GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0019645 - anaerobic electron transport chain; GO:0044780 - bacterial-type flagellum assembly	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045283 - fumarate reductase complex	GO:0000104 - succinate dehydrogenase activity
frdC	GO:0001539 - cilium or flagellum-dependent cell motility; GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0019645 - anaerobic electron transport chain; GO:0044780 - bacterial-type flagellum assembly	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045283 - fumarate reductase complex	GO:0000104 - succinate dehydrogenase activity
frdB	GO:0001539 - cilium or flagellum-dependent cell motility; GO:0006099 - tricarboxylic acid cycle; GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0019645 - anaerobic electron transport chain; GO:0044780 - bacterial-type flagellum assembly	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045283 - fumarate reductase complex	GO:0005515 - protein binding; GO:0008177 - succinate dehydrogenase (quinone) activity; GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding; GO:0051538 - 3 iron, 4 sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
frdA	GO:0001539 - cilium or flagellum-dependent cell motility; GO:0006113 - fermentation; GO:0006974 - DNA damage response; GO:0009061 - anaerobic respiration; GO:0019645 - anaerobic electron transport chain; GO:0022900 - electron transport chain; GO:0044780 - bacterial-type flagellum assembly	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045283 - fumarate reductase complex	GO:0000104 - succinate dehydrogenase activity; GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0008177 - succinate dehydrogenase (quinone) activity; GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors; GO:0050660 - flavin adenine dinucleotide binding; GO:0071949 - FAD binding
xapB	GO:0015858 - nucleoside transport; GO:0015861 - cytidine transport; GO:0015862 - uridine transmembrane transport; GO:0015863 - xanthosine transport; GO:0055085 - transmembrane transport; GO:0055086 - nucleobase-containing small molecule metabolic process; GO:1901642 - nucleoside transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005337 - nucleoside transmembrane transporter activity; GO:0015212 - cytidine transmembrane transporter activity; GO:0015213 - uridine transmembrane transporter activity; GO:0015293 - symporter activity; GO:0015553 - xanthosine transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
xapA	GO:0006139 - nucleobase-containing compound metabolic process; GO:0006148 - inosine catabolic process; GO:0006149 - deoxyinosine catabolic process; GO:0006152 - purine nucleoside catabolic process; GO:0006161 - deoxyguanosine catabolic process; GO:0009116 - nucleoside metabolic process; GO:0015949 - nucleobase-containing small molecule interconversion; GO:0034214 - protein hexamerization; GO:0034355 - NAD+ biosynthetic process via the salvage pathway; GO:0046115 - guanosine catabolic process; GO:0055086 - nucleobase-containing small molecule metabolic process; GO:1903228 - xanthosine catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004731 - purine-nucleoside phosphorylase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016763 - pentosyltransferase activity; GO:0042802 - identical protein binding; GO:0047724 - inosine nucleosidase activity; GO:0047975 - guanosine phosphorylase activity
ompF	GO:0006811 - monoatomic ion transport; GO:0015031 - protein transport; GO:0034220 - monoatomic ion transmembrane transport; GO:0043213 - bacteriocin transport; GO:0070207 - protein homotrimerization	GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0034702 - monoatomic ion channel complex; GO:0046930 - pore complex	GO:0001530 - lipopolysaccharide binding; GO:0005216 - monoatomic ion channel activity; GO:0005515 - protein binding; GO:0008289 - lipid binding; GO:0015288 - porin activity; GO:0042802 - identical protein binding; GO:0042912 - colicin transmembrane transporter activity; GO:0097718 - disordered domain specific binding
osmB	GO:0006970 - response to osmotic stress	GO:0005886 - plasma membrane; GO:0019867 - outer membrane; GO:0030288 - outer membrane-bounded periplasmic space	
gadC	GO:0006865 - amino acid transport; GO:0051454 - intracellular pH elevation; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015297 - antiporter activity; GO:0022857 - transmembrane transporter activity
gadB	GO:0006536 - glutamate metabolic process; GO:0006538 - L-glutamate catabolic process; GO:0019752 - carboxylic acid metabolic process; GO:0051454 - intracellular pH elevation	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane	GO:0004351 - glutamate decarboxylase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0016830 - carbon-carbon lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding
gpmA	GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process; GO:0061621 - canonical glycolysis	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0004619 - phosphoglycerate mutase activity; GO:0005524 - ATP binding; GO:0016853 - isomerase activity; GO:0016868 - intramolecular phosphotransferase activity; GO:0042803 - protein homodimerization activity; GO:0097216 - guanosine tetraphosphate binding
osmY	GO:0006972 - hyperosmotic response	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0005515 - protein binding
ilvY	GO:0006355 - regulation of DNA-templated transcription; GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
pfkA	GO:0006002 - fructose 6-phosphate metabolic process; GO:0006007 - glucose catabolic process; GO:0006096 - glycolytic process; GO:0030388 - fructose 1,6-bisphosphate metabolic process; GO:0046835 - carbohydrate phosphorylation; GO:0051289 - protein homotetramerization; GO:0061621 - canonical glycolysis	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005945 - 6-phosphofructokinase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0003872 - 6-phosphofructokinase activity; GO:0003951 - NAD+ kinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008443 - phosphofructokinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0019003 - GDP binding; GO:0032553 - ribonucleotide binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0070095 - fructose-6-phosphate binding
actP	GO:0006811 - monoatomic ion transport; GO:0006814 - sodium ion transport; GO:0006847 - plasma membrane acetate transport; GO:0015710 - tellurite transport; GO:0046942 - carboxylic acid transport; GO:0055085 - transmembrane transport; GO:0097339 - glycolate transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015123 - acetate transmembrane transporter activity; GO:0015293 - symporter activity; GO:0015654 - tellurite transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0043879 - glycolate transmembrane transporter activity
yjcH		GO:0005886 - plasma membrane	
acs	GO:0006085 - acetyl-CoA biosynthetic process; GO:0006935 - chemotaxis; GO:0018394 - peptidyl-lysine acetylation; GO:0019427 - acetyl-CoA biosynthetic process from acetate; GO:0034421 - post-translational protein acetylation; GO:0045733 - acetate catabolic process	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0003987 - acetate-CoA ligase activity; GO:0005524 - ATP binding; GO:0016208 - AMP binding; GO:0016874 - ligase activity; GO:0033558 - protein lysine deacetylase activity; GO:0046872 - metal ion binding; GO:0050218 - propionate-CoA ligase activity
yhiD		GO:0005886 - plasma membrane; GO:0016020 - membrane	
hdeB	GO:0009268 - response to pH; GO:0010447 - response to acidic pH; GO:1990451 - cellular stress response to acidic pH	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0051082 - unfolded protein binding
hdeA	GO:0006457 - protein folding; GO:0071468 - cellular response to acidic pH; GO:1990451 - cellular stress response to acidic pH	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0044183 - protein folding chaperone; GO:0051082 - unfolded protein binding
alkA	GO:0006281 - DNA repair; GO:0006284 - base-excision repair; GO:0006285 - base-excision repair, AP site formation; GO:0006307 - DNA alkylation repair; GO:0006974 - DNA damage response	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0003905 - alkylbase DNA N-glycosylase activity; GO:0005515 - protein binding; GO:0008725 - DNA-3-methyladenine glycosylase activity; GO:0016787 - hydrolase activity; GO:0032131 - alkylated DNA binding; GO:0043916 - DNA-7-methylguanine glycosylase activity
dmsD	GO:0051604 - protein maturation	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane	GO:0005048 - signal sequence binding; GO:0005515 - protein binding
ynfH	GO:0009061 - anaerobic respiration; GO:0019645 - anaerobic electron transport chain	GO:0005886 - plasma membrane; GO:0009390 - dimethyl sulfoxide reductase complex; GO:0016020 - membrane; GO:1990204 - oxidoreductase complex	GO:0009389 - dimethyl sulfoxide reductase activity; GO:0016491 - oxidoreductase activity
ynfG	GO:0009061 - anaerobic respiration; GO:0018907 - dimethyl sulfoxide metabolic process; GO:0019645 - anaerobic electron transport chain	GO:1990204 - oxidoreductase complex	GO:0009389 - dimethyl sulfoxide reductase activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
ynfF	GO:0009061 - anaerobic respiration	GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:1990204 - oxidoreductase complex	GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0009389 - dimethyl sulfoxide reductase activity; GO:0016491 - oxidoreductase activity; GO:0030151 - molybdenum ion binding; GO:0033797 - selenate reductase activity; GO:0043546 - molybdopterin cofactor binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
ynfE	GO:0009061 - anaerobic respiration	GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space	GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0009389 - dimethyl sulfoxide reductase activity; GO:0016491 - oxidoreductase activity; GO:0030151 - molybdenum ion binding; GO:0033797 - selenate reductase activity; GO:0043546 - molybdopterin cofactor binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
alkB	GO:0006281 - DNA repair; GO:0006307 - DNA alkylation repair; GO:0006974 - DNA damage response; GO:0035513 - oxidative RNA demethylation; GO:0042245 - RNA repair; GO:0070989 - oxidative demethylation; GO:0072702 - response to methyl methanesulfonate	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0005515 - protein binding; GO:0008198 - ferrous iron binding; GO:0016491 - oxidoreductase activity; GO:0035515 - oxidative RNA demethylase activity; GO:0035516 - broad specificity oxidative DNA demethylase activity; GO:0046872 - metal ion binding; GO:0051213 - dioxygenase activity
ada	GO:0006281 - DNA repair; GO:0006307 - DNA alkylation repair; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0032259 - methylation; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0003824 - catalytic activity; GO:0003908 - methylated-DNA-[protein]-cysteine S-methyltransferase activity; GO:0005515 - protein binding; GO:0008168 - methyltransferase activity; GO:0008270 - zinc ion binding; GO:0016740 - transferase activity; GO:0043565 - sequence-specific DNA binding; GO:0046872 - metal ion binding
mlrA	GO:0006355 - regulation of DNA-templated transcription	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
cfa	GO:0006629 - lipid metabolic process; GO:0006633 - fatty acid biosynthetic process; GO:0008610 - lipid biosynthetic process; GO:0030258 - lipid modification; GO:0032259 - methylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0031234 - extrinsic component of cytoplasmic side of plasma membrane	GO:0008168 - methyltransferase activity; GO:0008825 - cyclopropane-fatty-acyl-phospholipid synthase activity; GO:0016740 - transferase activity; GO:0042803 - protein homodimerization activity; GO:0071890 - bicarbonate binding
