gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
puuA	GO:0006542 - glutamine biosynthetic process; GO:0006598 - polyamine catabolic process; GO:0009447 - putrescine catabolic process	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004356 - glutamine synthetase activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0016879 - ligase activity, forming carbon-nitrogen bonds; GO:0034024 - glutamate-putrescine ligase activity
hofM	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization		
hofN	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization	GO:0005886 - plasma membrane	
hofO	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization	GO:0005886 - plasma membrane	
hofP	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization		
yddG	GO:0006865 - amino acid transport; GO:0015801 - aromatic amino acid transport; GO:0032973 - amino acid export across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015171 - amino acid transmembrane transporter activity; GO:0015173 - aromatic amino acid transmembrane transporter activity
blr	GO:0033554 - cellular response to stress; GO:0036460 - cellular response to cell envelope stress; GO:0046677 - response to antibiotic; GO:0051301 - cell division	GO:0000935 - division septum; GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005515 - protein binding
pdeC	GO:1900190 - regulation of single-species biofilm formation	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space	GO:0016787 - hydrolase activity; GO:0071111 - cyclic-guanylate-specific phosphodiesterase activity
dkgB	GO:0051596 - methylglyoxal catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0008106 - alcohol dehydrogenase (NADP+) activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0047681 - aryl-alcohol dehydrogenase (NADP+) activity; GO:1990002 - methylglyoxal reductase (NADPH) (acetol producing) activity
astE	GO:0006525 - arginine metabolic process; GO:0019544 - L-arginine catabolic process to L-glutamate; GO:0019545 - L-arginine catabolic process to succinate	GO:0005829 - cytosol	GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0009017 - succinylglutamate desuccinylase activity; GO:0016787 - hydrolase activity; GO:0016788 - hydrolase activity, acting on ester bonds; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0046872 - metal ion binding
