cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
125,A,0,4.37938928604126,8.99321460723877,6.1628088964883,-1.9053085517785648,6.006850525807183
126,A,0,3.9212238788604736,6.4978203773498535,5.077270956354925,-2.277922152321044,5.065426950646906
127,A,0,3.7489514350891113,6.118584156036377,6.900485129062181,-0.8908565211969619,6.691693038607752
128,A,0,4.545834064483643,8.463111877441406,4.003625276835997,-1.5347269042981078,4.086007346139898
129,A,0,3.181929588317871,8.537153244018555,4.9827284206929585,-2.5133401013220364,4.906787798669118
130,A,0,4.519595146179199,5.636576175689697,5.125691477606055,1.449693361440103,5.247875327960027
131,A,0,5.023437023162842,5.805613040924072,4.9067486447650035,-1.7710035404485367,5.023619754226057
132,A,0,3.766378879547119,7.527837753295898,5.286859778836852,-2.154125806192271,5.2293083600152706
133,A,0,4.320843696594238,8.624415397644043,6.260513025348849,-2.4422806037892166,6.209196045164199
134,A,0,4.147062301635742,6.461069107055664,5.655798257506965,-2.5063569300196242,5.595928549562224
135,A,0,4.40789270401001,6.493600845336914,5.500516564636524,-2.688631969931511,5.443440929610971
136,A,0,5.128750801086426,8.068382263183594,6.0014043054058455,-2.227208748738618,6.023197652635622
137,A,0,4.493661403656006,8.301785469055176,5.683486647587586,-0.8969078274812684,5.667550249036235
138,A,0,5.293280601501465,8.039258003234863,6.227595300531899,-3.3441723771759175,6.196777917673671
139,A,0,1.1558001041412354,6.940488815307617,6.15947709373704,12.005870774259904,6.301948533958358
140,A,0,5.6889729499816895,5.853381633758545,2.65799125364746,-2.0582788204621587,3.101329571871518
141,A,0,3.592822313308716,7.61226224899292,6.370264536979325,0.17874005695606346,6.231558142882442
142,A,0,1.7786394357681274,6.861576080322266,7.247451904481653,8.477320889220064,7.324087911579897
143,A,0,1.8381010293960571,7.047385215759277,6.440499514892123,7.435378763422157,6.4993052947338406
144,A,0,5.419939041137695,8.31142807006836,5.132697782282021,-2.9519090922901503,5.138475039935015
145,A,0,5.68250846862793,8.55045223236084,5.767170202639937,-2.6827435175731638,5.787294073440701
146,A,0,4.622853755950928,8.172977447509766,7.704811756548144,0.6599441751457856,7.392729990341821
147,A,0,2.103419065475464,6.752578258514404,5.395202557286955,3.7591308051793666,5.5403167038762575
148,A,0,4.591240882873535,5.346079349517822,5.533206988329018,-2.3131683173094957,5.470491561870015
149,A,0,3.9019994735717773,6.702588081359863,6.940167245849331,-2.3388559512151725,6.726919904850165
150,A,0,4.785455226898193,6.0586838722229,5.276475182844934,-2.292545518865138,5.3050842028371505
151,A,0,2.0625386238098145,6.563913822174072,6.787832019815629,5.226382867039487,6.8357774259832755
152,A,0,1.043298602104187,7.043557167053223,4.597498416023482,16.44099530394806,5.191585112879374
153,A,0,4.406348705291748,8.988664627075195,4.729294095681205,-0.7727593952332853,4.766696106890074
154,A,0,0.850290834903717,6.981159687042236,5.407421980355386,23.34399253537735,6.0032385650516575
155,A,0,3.996912717819214,7.351357460021973,7.152161679819222,-1.6502149368553491,6.931565190275522
