sigma_mode,repeat,ratio_a,n_cells_a,n_cells_b,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero,gmp_cor_group_centered,gmp_cor_group_centered_per_gene,d_gmp,auc_group_axis,cohens_d,silhouette,best_pc_auc,best_pc_index,group_mode_index,group_mode_alignment,group_mode_eigenvalue,bimodality_coef,gmm_bic_gain,n_genes_dz_gt_0.5
shared,2,1.0,1000.0,0.0,40.29051855528044,0.020145259277640222,23.02584688975046,5.874741996982618,22,2000,0.0405876753507014,39.749751725034045,0.019874875862517023,0.013421689510013102,,,,,,,,,,,
shared,2,dysregulated_reference,,,4.1548854991371345,0.002077442749568567,8.52163001611693,5.942829347158741,7,2000,0.04102309236947791,,,,,,,,,,,,,,
shared,3,0.0,0.0,1000.0,44.892382235485556,0.022446191117742778,26.345064456267885,5.947213094707404,19,2000,0.041894076305220886,46.10881383143356,0.02305440691571678,-0.02709661495723581,,,,,,,,,,,
shared,3,0.5,500.0,500.0,72.98450428414412,0.03649225214207206,32.296971482933884,5.871950895302609,21,2000,0.04227710843373494,48.563189324092505,0.02428159466204625,0.33460958870083257,1.0,9.176191676722404,0.6167440894900056,1.0,0.0,0.0,0.9945938780072623,32.29113422746219,0.8809558015462551,1710.5523938399474,67.0
shared,3,1.0,1000.0,0.0,48.501897278978696,0.024250948639489348,27.051787794378267,5.847833131869651,23,2000,0.0421585,46.95734195396464,0.023478670976982318,0.03184525578720998,,,,,,,,,,,
shared,3,dysregulated_reference,,,3.7507568738892214,0.0018753784369446107,7.30222574253342,5.873037293310743,9,2000,0.04268668668668669,,,,,,,,,,,,,,
shared,4,0.0,0.0,1000.0,43.040388835927814,0.021520194417963906,23.11253112730274,5.853759526207865,19,2000,0.04222567703109328,42.87659245646887,0.021438296228234434,0.003805643580111373,,,,,,,,,,,
shared,4,0.5,500.0,500.0,65.221324370706,0.032610662185353,32.42532999844481,5.863884273912082,22,2000,0.04128965863453815,42.658955102899654,0.021329477551449826,0.3459354664368052,0.999992,10.255261480583924,0.647801780310994,0.999992,0.0,0.0,0.9971512199034949,32.419189772394134,0.8953363453819932,1910.9019587078164,70.0
shared,4,1.0,1000.0,0.0,40.98808860207267,0.020504296449260967,21.561803658673703,5.896322607875739,23,1999,0.04100395232721677,42.121779504114286,0.021071425464789538,-0.027659033165656988,,,,,,,,,,,
shared,4,dysregulated_reference,,,3.588657518401562,0.0017952263723869746,7.896136206451364,5.871939397758164,8,1999,0.04133980818064343,,,,,,,,,,,,,,
distinct,0,0.0,0.0,1000.0,41.01558022130527,0.02052831842908172,12.923490151843978,5.843695957823198,24,1998,0.0420139859579299,40.690975806380706,0.0203658537569473,0.007914173423199555,,,,,,,,,,,
distinct,0,0.5,500.0,500.0,55.0265184005765,0.02751325920028825,32.30923920010143,5.930339838047394,21,2000,0.04154509018036072,32.19242692444126,0.016096213462220628,0.41496522294777816,0.999998,10.708021501248966,0.6936314960462673,0.999998,0.0,0.0,0.9980162800849601,32.30636333006262,0.9008407022828804,1997.9232638939775,75.0
distinct,0,1.0,1000.0,0.0,41.9149448053742,0.0209574724026871,22.06862909290429,5.958949565441468,20,2000,0.041148797595190384,41.25313988491494,0.020626569942457467,0.015789235164981208,,,,,,,,,,,
distinct,0,dysregulated_reference,,,3.4825073206894075,0.0017412536603447037,8.348386737159666,5.931931380014125,7,2000,0.040927354709418835,,,,,,,,,,,,,,
distinct,1,0.0,0.0,1000.0,36.24124645145338,0.01812968806976157,13.718251343163256,5.948236367198556,24,1999,0.04182060909973059,38.1389641159093,0.019079021568739023,-0.05236347670872732,,,,,,,,,,,
distinct,1,0.5,500.0,500.0,54.31746484734971,0.027158732423674857,32.62927356136688,5.8857026606234335,23,2000,0.04162286860581745,31.336833789976918,0.01566841689498846,0.4230799637272482,0.999996,10.110347713463192,0.7009292042173397,0.999996,0.0,0.0,0.9981735877465376,32.62487187649728,0.8978756621924003,1885.6063755119112,71.0
distinct,1,1.0,1000.0,0.0,44.66862875762742,0.022334314378813707,24.34200078863934,5.925846517724955,19,2000,0.04118637274549098,44.66724859816687,0.022333624299083435,3.089773514275418e-05,,,,,,,,,,,
distinct,1,dysregulated_reference,,,4.621603323462789,0.0023119576405516706,7.800945826403987,5.931432694729892,9,1999,0.04133272666483996,,,,,,,,,,,,,,
distinct,2,0.0,0.0,1000.0,47.2332384490471,0.023640259484007557,14.998724719163704,5.870375823207,25,1998,0.042786029272515756,46.91874051786707,0.023482853112045583,0.006658402885486914,,,,,,,,,,,
distinct,2,0.5,500.0,500.0,59.721811555589106,0.029860905777794555,31.771361916386315,5.862422965409278,22,2000,0.04204954954954955,35.696860904872544,0.01784843045243627,0.4022810096501196,1.0,10.565163600641633,0.6855198712455376,1.0,0.0,0.0,0.9974773103297639,31.76991829061705,0.8949181816583477,1961.4544120956116,67.0
distinct,2,1.0,1000.0,0.0,40.23919461541934,0.020119597307709673,23.02584688975046,5.87707490333994,22,2000,0.0405876753507014,39.44213329822577,0.019721066649112884,0.01980808325840966,,,,,,,,,,,
distinct,2,dysregulated_reference,,,4.724384797815788,0.002362192398907894,8.52163001611693,5.869857947397921,8,2000,0.04102309236947791,,,,,,,,,,,,,,
distinct,3,0.0,0.0,1000.0,45.175875505027214,0.022599237371199208,13.545228030727534,5.855579507220994,23,1999,0.04157038439059209,44.15097532003136,0.022086530925478416,0.022686891477771254,,,,,,,,,,,
distinct,3,0.5,500.0,500.0,55.96715348574043,0.027983576742870216,31.7407098466409,5.8884526171146145,25,2000,0.041732232232232234,30.933188912598766,0.015466594456299382,0.4472974416953318,1.0,9.823267716765288,0.6895749960470119,1.0,0.0,0.0,0.9973545123981302,31.73927510629118,0.8922096960159751,1822.3218779996314,59.0
distinct,3,1.0,1000.0,0.0,47.919182681362095,0.023959591340681048,27.051787794378267,5.873168549157329,23,2000,0.0421585,47.50899749661095,0.023754498748305476,0.008559936998063233,,,,,,,,,,,
distinct,3,dysregulated_reference,,,3.5362775462443787,0.0017681387731221894,7.30222574253342,5.896868329715725,9,2000,0.04268668668668669,,,,,,,,,,,,,,
distinct,4,0.0,0.0,1000.0,41.858823866577026,0.020929411933288514,13.731624759812636,5.9109416077272785,25,2000,0.042579979879275656,42.787620072194585,0.02139381003609729,-0.022188779325908792,,,,,,,,,,,
distinct,4,0.5,500.0,500.0,55.75812040409763,0.027879060202048816,32.93878200203611,5.8457282533869,25,2000,0.041625,31.45308543016271,0.015726542715081355,0.4359012606197672,0.999992,10.643072766583828,0.6981497205068162,0.999992,0.0,0.0,0.9980400456056663,32.9325531116631,0.9009477129379816,1986.2722616019364,74.0
distinct,4,1.0,1000.0,0.0,40.679799502081615,0.020350074788435025,21.561803658673703,5.90986446906709,22,1999,0.04100395232721677,41.072772693225076,0.020546659676450762,-0.009660155555175631,,,,,,,,,,,
distinct,4,dysregulated_reference,,,3.744795074713525,0.001873334204458992,7.896136206451364,5.8540844154609575,9,1999,0.04133980818064343,,,,,,,,,,,,,,
