cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
171,A,0,6.3286356925964355,2.406580686569214,4.093662682434012,-7.491278228923884,4.318492171374313
172,A,0,1.9787920713424683,1.8273011445999146,4.394205499967781,2.405681295578664,4.512787393055579
173,A,0,4.307475566864014,2.896578550338745,5.321776746922219,-1.7811855200566569,5.35402544638621
174,A,0,3.942758083343506,2.871586561203003,6.740759261752137,-5.737941092851834,6.69720877019258
175,A,0,3.672626495361328,3.239030599594116,6.030263614243563,0.70242460140128,6.000489728988943
176,A,0,2.1717822551727295,2.4980084896087646,5.689817829880294,1.034336933158837,5.672873538907799
177,A,0,4.5325517654418945,1.9508758783340454,6.37752797975033,-1.766498865224792,6.35054945183467
178,A,0,2.377492904663086,2.560521364212036,3.515492141290057,0.3868907710135829,3.6035491445806445
179,A,0,3.4376795291900635,3.263455629348755,5.642220324384539,-0.4405363748840585,5.622653912761329
180,A,0,4.146986484527588,2.8741087913513184,5.001468625817836,-1.6479435053955171,5.064431893022284
181,A,0,2.715214490890503,1.5319961309432983,5.226540625062178,1.0042715945620364,5.248520817762859
182,A,0,2.751608371734619,2.0511393547058105,4.605918711686481,2.350334223973436,4.717542055411968
183,A,0,3.229691743850708,2.1644208431243896,6.360964225733248,3.692195350940588,6.22682630368237
184,A,0,2.5014631748199463,2.2402446269989014,6.239462221556689,3.8198251364031797,6.093596820751469
185,A,0,2.8800716400146484,3.099158525466919,5.4884967947208905,0.13782049367040256,5.4603710525224916
186,A,0,3.953488349914551,1.5476213693618774,5.632492031545308,-1.1630099786113401,5.628921824621271
187,A,0,4.648565769195557,2.2635281085968018,6.153149261393598,2.0246534226303856,6.154614124424134
188,A,0,4.031827449798584,2.5949769020080566,3.534053745079364,-0.8522053592164576,3.6804693640752943
189,A,0,4.455461502075195,2.1858103275299072,5.743206837118967,-1.1874025781758346,5.776916051974399
190,A,0,3.1886041164398193,2.531848430633545,4.735680223414622,3.092943625485863,4.886134776289461
191,A,0,2.4757158756256104,1.3198612928390503,6.487010611458727,1.9144990068005028,6.423042478985652
192,A,0,2.3239171504974365,3.073087692260742,6.5261756813294065,4.421901632601914,6.424590061915911
193,A,0,5.484750747680664,2.275970458984375,7.006215481622876,-9.226543001930926,6.919994886539451
194,A,0,2.898184299468994,2.004350423812866,5.521998369716712,-0.1982526504370794,5.537287624062673
195,A,0,3.885533094406128,1.6767598390579224,6.953014461167947,0.04109877073223183,6.834227331862617
196,A,0,2.244624376296997,1.3363044261932373,6.149771709683544,1.8787581714170989,6.11190700227492
197,A,0,4.249943256378174,2.340391159057617,6.210353552712982,0.0917290156671999,6.133477408096715
198,A,0,4.45249080657959,2.5677261352539062,5.58849970420767,0.0010158988184577064,5.553036439943812
199,A,0,3.4573090076446533,1.4654194116592407,7.283013793460645,2.0830874225692,7.142826920548172
200,A,0,4.010361194610596,2.0111045837402344,4.828237036936019,0.7988378524213081,4.958689386625167
201,A,0,3.2245476245880127,1.7034721374511719,5.756171202227777,0.797334562099667,5.813262556382268
202,A,0,2.8221287727355957,2.8145105838775635,6.719549594175844,2.827798706653254,6.615966147213124
203,A,0,3.279252767562866,2.076535224914551,5.8815635655986185,1.8358477530243962,5.814132336597412
204,A,0,6.18169641494751,2.9607415199279785,4.986451266420307,-6.275215939380966,5.136323837069433
205,A,0,2.9872500896453857,1.659415602684021,5.354423396223468,1.6896349184815223,5.407658646227646
206,A,0,4.040689468383789,1.3408896923065186,5.704573553997183,4.9498835801827985,5.714727679564118
207,A,0,3.58369517326355,1.6286697387695312,5.759472533739026,0.2096694956076433,5.731548245292837
