gene,gene_clean,coordination_score
ykgN,ykgN,0.021845021834984518
yfaL,yfaL,0.021781592291894015
yeiM,yeiM,0.02172079116331872
bisC,bisC,0.02166432913979342
araG,araG,0.02157051502987146
ccmG,ccmG,0.02156713881429422
ddpD,ddpD,0.021545298550692805
xylG,xylG,0.021446210297352754
yqjC,yqjC,0.021390931248593325
alkB,alkB,0.021372834744927557
ynjI,ynjI,0.02130785869045026
pstS,pstS,0.021274913319046948
uhpT,uhpT,0.021172343660931812
tynA,tynA,0.020954519494965462
ybjS,ybjS,0.020933518706104593
ymjA,ymjA,0.020792942479755078
livJ,livJ,0.020708593373126964
hscA,hscA,0.020676663290033138
yehR,yehR,0.02064943249634022
trmA,trmA,0.02054838146952689
cobU,cobU,0.020479487524506755
ybdG,ybdG,0.020476650526608884
ybeQ,ybeQ,0.020391324990035698
mcrB,mcrB,0.020390795065877293
rfaH,rfaH,0.02037208874719206
ybjI,ybjI,0.020367229467549874
recT,recT,0.020333799479432126
yicO,yicO,0.020227659159845264
wcaK,wcaK,0.020209468088138862
malF,malF,0.020194344049728082
dcuR,dcuR,0.020177414960790813
gidA,gidA,0.02017286439148512
idnR,idnR,0.020104120048854212
yegZ,yegZ,0.020021942170961458
atpD,atpD,0.020008525001687264
ycaO,ycaO,0.01991207880803443
glgX,glgX,0.019898960907396873
yjcQ,yjcQ,0.019879427378298523
hsdR,hsdR,0.019809308009968284
csgE,csgE,0.01978416241231827
yafC,yafC,0.019767608107331365
yeiN,yeiN,0.019725401314877745
rsmC,rsmC,0.019709703265094854
ompN,ompN,0.01969376808808095
ymfS,ymfS,0.019691931347839763
mglA,mglA,0.019669198316730946
ydjL,ydjL,0.019597678994024627
yrhC,yrhC,0.0195947526815066
yihQ,yihQ,0.019590368756946756
glf,glf,0.01954324245676037
ysaB,ysaB,0.0195431197202398
dnaT,dnaT,0.019524488432958283
dsdA,dsdA,0.019488433307473595
pgaA,pgaA,0.019467689262886872
citT,citT,0.019454214167766506
yccW,yccW,0.01944566515548391
yecJ,yecJ,0.019444945210025093
chaA,chaA,0.019249362848062383
yfcR,yfcR,0.019213507475839598
ymgA,ymgA,0.019212499725727607
ptsI,ptsI,0.019208955204486358
yjjB,yjjB,0.019185454596753665
yihA,yihA,0.01917186915476263
insF-4,insF-4,0.01916765203652857
yncD,yncD,0.019151656910870077
yffR,yffR,0.01913378569119522
ydhX,ydhX,0.01912116147867657
yfiQ,yfiQ,0.019112442920371123
hepA,hepA,0.019077238947065964
ydjI,ydjI,0.019014101607663557
ycfZ,ycfZ,0.019013818046509545
rplM,rplM,0.019002353637533515
folE,folE,0.018991970062286936
yidK,yidK,0.018951537713376845
yfjK,yfjK,0.018640536914963264
kdsA,kdsA,0.01862560960521781
yfdH,yfdH,0.018425862481834303
mngR,mngR,0.01835546068342393
ybcY,ybcY,0.018316568628227604
wcaM,wcaM,0.01831487416458708
ubiX,ubiX,0.01827824464319824
ydeR,ydeR,0.018252718552977717
ypdH,ypdH,0.018224077801524147
ydhW,ydhW,0.01819937638956718
nanE,nanE,0.018170664959896582
racR,racR,0.018167620959031995
ydgA,ydgA,0.018100015903272034
aegA,aegA,0.018070990646754475
yddJ,yddJ,0.018067811503753466
ybeZ,ybeZ,0.018009911843985163
yahB,yahB,0.018006697785175097
yicH,yicH,0.0179240990848586
bax,bax,0.01789213770619121
yfaS,yfaS,0.01785486963016213
yhiJ,yhiJ,0.01785456515625355
purB,purB,0.017850047954914613
aphA,aphA,0.01781987664037569
mobB,mobB,0.017802324459859385
yihP,yihP,0.01778340973968801
ylaB,ylaB,0.01777592378085464
mrdB,mrdB,0.01771210642372831
hybB,hybB,0.017625756785561303
asnB,asnB,0.017582595156374364
gatA,gatA,0.017578350868233457
ampG,ampG,0.017570829802231465
ydjG,ydjG,0.01755665217609559
ybeF,ybeF,0.017550646939177
hlyE,hlyE,0.017489920071773205
yjeK,yjeK,0.0174307421527544
ycaC,ycaC,0.01739930327666098
pgaD,pgaD,0.017294037880976536
grxA,grxA,0.01729096488513994
ydgC,ydgC,0.017269920147446285
ydeQ,ydeQ,0.017214469289078948
lplA,lplA,0.017209395271947113
yheO,yheO,0.01716118598776982
pdxH,pdxH,0.017135223931627457
yeaG,yeaG,0.017134108891941686
tdh,tdh,0.017053858182514
rpoA,rpoA,0.017011212596730184
recN,recN,0.016998731843456946
yfeA,yfeA,0.01698876217289055
yicI,yicI,0.016926910468726852
garP,garP,0.01691992270141413
folC,folC,0.01689564209454437
dctA,dctA,0.016873293150862553
ycaN,ycaN,0.0168719633359452
ddpX,ddpX,0.01686006222045521
ybbS,ybbS,0.01685433518811497
ydeO,ydeO,0.016776667263060943
ybaM,ybaM,0.01677573454700405
cpxR,cpxR,0.016756470644653958
ravA,ravA,0.016728339295045958
napB,napB,0.016701836695410054
rihA,rihA,0.016688281433699746
astB,astB,0.016677934574966077
wbbH,wbbH,0.016621372416491913
ynjH,ynjH,0.016590995049234444
yieP,yieP,0.016584934636815457
fhuE,fhuE,0.016580576702899065
xylA,xylA,0.016537732313293807
rspA,rspA,0.016495554068527894
pgaB,pgaB,0.01648641819223037
livH,livH,0.016483513260448047
basR,basR,0.016397209270532533
hslJ,hslJ,0.01635761847772957
yagV,yagV,0.01630664810501952
caiT,caiT,0.016288294772248937
yciU,yciU,0.01627759513582364
yhaO,yhaO,0.016253979243786607
torS,torS,0.016212224933554394
yadC,yadC,0.016160721496585685
ygaM,ygaM,0.016123311292583188
ygfQ,ygfQ,0.01608589473886046
yfcS,yfcS,0.016055783048679682
dcp,dcp,0.016021649540757365
treR,treR,0.016001177592703312
rimL,rimL,0.01597479350155086
ampC,ampC,0.01596516670649597
eutE,eutE,0.01594458815923908
yjgN,yjgN,0.01592196648627112
rfbD,rfbD,0.015916371078409725
yeaM,yeaM,0.015884465314831266
chbC,chbC,0.015872357982227175
ybhD,ybhD,0.015858831895370143
emrY,emrY,0.015830252739340356
yfdK,yfdK,0.01582488729390405
osmY,osmY,0.015821666249738534
ygcH,ygcH,0.015771054258916416
cbl,cbl,0.01575772677517285
tyrA,tyrA,0.015757276968934877
mdoC,mdoC,0.015731780470253802
tgt,tgt,0.015723303351583756
eptB,eptB,0.015706117140943162
prmB,prmB,0.01564347842090905
yfdE,yfdE,0.015622668252998994
plsX,plsX,0.01560824554721054
ydeM,ydeM,0.01558686629718158
fbaA,fbaA,0.015532008010865168
ymfA,ymfA,0.01547726416697356
napC,napC,0.015440469845820634
pepD,pepD,0.015339192519192513
csgF,csgF,0.015310322637002173
rrmJ,rrmJ,0.015295688077932842
nfrB,nfrB,0.015253448054760425
ypdG,ypdG,0.015191528150545846
ttcA,ttcA,0.015121101234937522
yahC,yahC,0.01506539557034758
yadN,yadN,0.015065120109677196
LELOBEKK_galK,galK,0.015057462249031522
yjhX,yjhX,0.015023858536439855
yfhA,yfhA,0.01501765342258135
ypjC,ypjC,0.014998131618349304
dedA,dedA,0.014940439882701143
sgrR,sgrR,0.01493583302935051
dsdC,dsdC,0.014914718826635249
dnaK,dnaK,0.014903538381661452
fecE,fecE,0.014901708805108585
yddH,yddH,0.014890776035714474
cadA,cadA,0.014872472378774522
yfiC,yfiC,0.014796641179699395
ybbV,ybbV,0.014775427577249619
wcaF,wcaF,0.014758971725552062
gltJ,gltJ,0.01473807769567432
clpA,clpA,0.014732061552719944
yjgR,yjgR,0.014679307156765582
motB,motB,0.014646252187969108
cvrA,cvrA,0.014644712976738725
malG,malG,0.014642593689360904
yfiD,yfiD,0.014590835518524773
rfbC,rfbC,0.01458036161861677
ybgQ,ybgQ,0.014552730093555667
yaiX,yaiX,0.014493518157690144
azoR,azoR,0.014482728436736926
yeeX,yeeX,0.014459932519920709
mipA,mipA,0.014439271926090897
ybgP,ybgP,0.014379179545988337
yedN,yedN,0.014377559682845925
sapD,sapD,0.014352175526329307
napA,napA,0.014335740905106842
yheV,yheV,0.014318973333865457
agaD,agaD,0.014313088096600007
ypfI,ypfI,0.014302709848214122
cytR,cytR,0.014282139845033043
atpA,atpA,0.01424217968955825
wbbJ,wbbJ,0.014231978820236642
lsrK,lsrK,0.014229823644003643
phoQ,phoQ,0.014229296098195792
araF,araF,0.014204445575576508
yicJ,yicJ,0.014202058074682146
araH,araH,0.014172859525747209
pqqL,pqqL,0.014130915597959589
fdoI,fdoI,0.01409378901769314
cyoB,cyoB,0.01408897544418471
folK,folK,0.014019490703561753
ddlA,ddlA,0.014008140901772135
ydcM,ydcM,0.014003336128340375
ygjH,ygjH,0.013961890462613695
lysP,lysP,0.013953281785861457
rem,rem,0.013945160168967886
ydhY,ydhY,0.013929188959817394
ycjW,ycjW,0.013918914735404254
yjeJ,yjeJ,0.013911435361922369
etk,etk,0.01388192130477783
nac,nac,0.013839674090854652
ybhK,ybhK,0.013836134819339005
ascG,ascG,0.013835138234092803
ydjF,ydjF,0.01383369106636185
dinI,dinI,0.013832091610945575
maoC,maoC,0.013827359591096147
tdcA,tdcA,0.013756611896454203
intD,intD,0.013727504483170677
cspI,cspI,0.013726228171055125
recE,recE,0.013722964273083288
yhdP,yhdP,0.013706145398162022
xdhA,xdhA,0.013689870851877886
glgP,glgP,0.013684112285450684
dcd,dcd,0.013609112720507483
lipB,lipB,0.013606332732754758
viaA,viaA,0.013605035894554914
sucC,sucC,0.013595629020914449
wbbI,wbbI,0.013572446911736362
gltK,gltK,0.013562185052807164
ylaC,ylaC,0.013550025652520198
rpoD,rpoD,0.013544465561796495
pgaC,pgaC,0.013505727571283268
hchA,hchA,0.013469942868937379
mfd,mfd,0.013466826443384185
cpsG,cpsG,0.013465828312033022
pntA,pntA,0.01346414320299363
gudX,gudX,0.013456915793708833
hyfR,hyfR,0.0134564124152412
tdcC,tdcC,0.013418182936113375
gadC,gadC,0.013401680009193614
prsA,prsA,0.013382143766314804
recQ,recQ,0.013316259173046009
astA,astA,0.01329844472609874
hslU,hslU,0.013271467900210549
ydjO,ydjO,0.013269303233143254
yfjH,yfjH,0.013265346389768819
dhaK,dhaK,0.013239933649567586
ldhA,ldhA,0.013211192077531674
yhhS,yhhS,0.013209467221577268
argG,argG,0.013202314842467857
fliC,fliC,0.013200549306725432
yeeA,yeeA,0.013187108033738841
dgsA,dgsA,0.013164335585758321
ssuA,ssuA,0.013139627987854641
rssB,rssB,0.013126779629567055
glvG,glvG,0.013100952638300184
rna,rna,0.013096754890093433
potD,potD,0.013070813113858755
narV,narV,0.013066033738834078
rplE,rplE,0.01300707882679399
yagW,yagW,0.01300524652448795
dnaC,dnaC,0.013004784047989817
fadL,fadL,0.012980517524938515
rpmC,rpmC,0.012977956500151098
hipA,hipA,0.012913042782203708
rfaQ,rfaQ,0.01288430085878349
yrbD,yrbD,0.012882340893301831
degP,degP,0.012862650578841167
yceA,yceA,0.012804837426897451
cynR,cynR,0.012801169116150299
ccmH,ccmH,0.012796408796103002
proS,proS,0.012786262453793544
envR,envR,0.012782779739365192
yfjF,yfjF,0.01278201906256095
yegX,yegX,0.01275897947946208
gyrA,gyrA,0.012710313251065124
yghO,yghO,0.01264468927255049
yfiF,yfiF,0.012632675653586414
yhjX,yhjX,0.012610109441215048
yhjK,yhjK,0.012591653077761392
yjeP,yjeP,0.012591032015297444
sgcR,sgcR,0.012586965761066347
glnH,glnH,0.012566551974015292
csrA,csrA,0.012556686070659366
yccZ,yccZ,0.01252529245781917
evgA,evgA,0.012515469664791943
ybfO,ybfO,0.012474481694975684
yjhF,yjhF,0.012474202255453709
pgk,pgk,0.012444497843832895
ydjR,ydjR,0.012443285854124388
wbbL,wbbL,0.012437196878517595
pyrD,pyrD,0.012414212590092658
yhdA,yhdA,0.01239480925547449
cheB,cheB,0.012387135956183085
ycjY,ycjY,0.012386891531735639
purL,purL,0.01238630703793795
dhaM,dhaM,0.012373541759427228
fumB,fumB,0.012365954414090708
rrmA,rrmA,0.012364061846401287
rffA,rffA,0.012359173851185533
yoaG,yoaG,0.012287261872828375
uidC,uidC,0.012278547312981595
pyrI,pyrI,0.012233181645848341
gyrB,gyrB,0.012227140743198441
pyrC,pyrC,0.01221221197723205
uvrB,uvrB,0.012150640168636638
yagB,yagB,0.012134303968226652
ydeP,ydeP,0.012123356241706558
dnaA,dnaA,0.012122571158943277
sirA,sirA,0.012122496417832848
lysU,lysU,0.01209456968890915
ribC,ribC,0.012080529970460078
yjgH,yjgH,0.012068762634194161
infB,infB,0.01206871762668425
yggD,yggD,0.012040286566992128
blc,blc,0.012008648312193889
livG,livG,0.012001908746843528
yghF,yghF,0.011998228178837955
emrK,emrK,0.011966179696530162
dgoK,dgoK,0.011938192831600155
uidB,uidB,0.011927963166588614
ykgK,ykgK,0.011915883464319536
ybgO,ybgO,0.011914815597885748
artJ,artJ,0.011888534324652188
camR,camR,0.011880047125308666
LELOBEKK_yedR,yedR,0.011855705406381483
hycC,hycC,0.011850662850000632
csgD,csgD,0.011833131177173118
treA,treA,0.011826882532026975
xylE,xylE,0.011797484741349036
yejK,yejK,0.011770968322285351
yebR,yebR,0.01175396552406847
hflX,hflX,0.011752992908403679
secY,secY,0.011751105487681567
gmk,gmk,0.011744993742221972
fbp,fbp,0.01169481590691358
yejE,yejE,0.011687442264943317
cobC,cobC,0.01168093574405945
ivbL,ivbL,0.011648646686199474
traY,traY,0.011627973004576906
wbbK,wbbK,0.011611783617326229
aroH,aroH,0.011579519985055381
ygcW,ygcW,0.011578443668211612
torT,torT,0.011573896584761139
