gene,gene_clean,coordination_score
nudH,nudH,0.0
nudI,nudI,0.0
nudK,nudK,0.0
nuoA,nuoA,0.0
nuoB,nuoB,0.0
nuoC,nuoC,0.0
nuoF,nuoF,0.0
nupC,nupC,0.0
nusA,nusA,0.0
nusG,nusG,0.0
obgE,obgE,0.0
ompA,ompA,0.0
ompF,ompF,0.0
ppiC,ppiC,0.0
ompG,ompG,0.0
ompN,ompN,0.0
ompT,ompT,0.0
oppA,oppA,0.0
oppD,oppD,0.0
osmB,osmB,0.0
osmC,osmC,0.0
osmY,osmY,0.0
otsA,otsA,0.0
otsB,otsB,0.0
oxc,oxc,0.0
oxyR,oxyR,0.0
paaH,paaH,0.0
nudB,nudB,0.0
nsrR,nsrR,0.0
nrfB,nrfB,0.0
nrdR,nrdR,0.0
narX,narX,0.0
narZ,narZ,0.0
ndh,ndh,0.0
ndk,ndk,0.0
nfi,nfi,0.0
nfo,nfo,0.0
nfrA,nfrA,0.0
nfsA,nfsA,0.0
nhaA,nhaA,0.0
nhaB,nhaB,0.0
nhaR,nhaR,0.0
nikA,nikA,0.0
nirB,nirB,0.0
nlpA,nlpA,0.0
nlpB,nlpB,0.0
nlpD,nlpD,0.0
nlpE,nlpE,0.0
nlpI,nlpI,0.0
nmpC,nmpC,0.0
norV,norV,0.0
nrdA,nrdA,0.0
nrdB,nrdB,0.0
nrdD,nrdD,0.0
nrdE,nrdE,0.0
nrdF,nrdF,0.0
nrdG,nrdG,0.0
nrdI,nrdI,0.0
paaI,paaI,0.0
paaJ,paaJ,0.0
paaK,paaK,0.0
phnA,phnA,0.0
phoE,phoE,0.0
phoH,phoH,0.0
phoP,phoP,0.0
phoQ,phoQ,0.0
phoU,phoU,0.0
phr,phr,0.0
pinQ,pinQ,0.0
pitA,pitA,0.0
plsB,plsB,0.0
plsX,plsX,0.0
pmbA,pmbA,0.0
pmrD,pmrD,0.0
pncB,pncB,0.0
pnp,pnp,0.0
pntA,pntA,0.0
pntB,pntB,0.0
pnuC,pnuC,0.0
potA,potA,0.0
potC,potC,0.0
potD,potD,0.0
potE,potE,0.0
potF,potF,0.0
potH,potH,0.0
poxB,poxB,0.0
ppc,ppc,0.0
pphA,pphA,0.0
pphB,pphB,0.0
phnJ,phnJ,0.0
pheT,pheT,0.0
paaX,paaX,0.0
pheA,pheA,0.0
pal,pal,0.0
panC,panC,0.0
panE,panE,0.0
parC,parC,0.0
parE,parE,0.0
pbpG,pbpG,0.0
pck,pck,0.0
pcnB,pcnB,0.0
pdxA,pdxA,0.0
pdxH,pdxH,0.0
pepA,pepA,0.0
pepD,pepD,0.0
pepN,pepN,0.0
pepP,pepP,0.0
pepT,pepT,0.0
perR,perR,0.0
pfkA,pfkA,0.0
pfkB,pfkB,0.0
pflB,pflB,0.0
pflD,pflD,0.0
pgaA,pgaA,0.0
pgaD,pgaD,0.0
pgi,pgi,0.0
pgk,pgk,0.0
pgl,pgl,0.0
pgm,pgm,0.0
pgpB,pgpB,0.0
hemL,hemL,0.0
hemH,hemH,0.0
helD,helD,0.0
chpR,chpR,0.0
cbpM,cbpM,0.0
cca,cca,0.0
cdd,cdd,0.0
cdh,cdh,0.0
cdsA,cdsA,0.0
cfa,cfa,0.0
chaA,chaA,0.0
chaC,chaC,0.0
chbC,chbC,0.0
chbR,chbR,0.0
cheA,cheA,0.0
cheB,cheB,0.0
cho,cho,0.0
cirA,cirA,0.0
coaE,coaE,0.0
citA,citA,0.0
citB,citB,0.0
citC,citC,0.0
clcA,clcA,0.0
clcB,clcB,0.0
cld,cld,0.0
clpA,clpA,0.0
clpB,clpB,0.0
clpP,clpP,0.0
clpX,clpX,0.0
cls,cls,0.0
cmk,cmk,0.0
coaA,coaA,0.0
cbpA,cbpA,0.0
cbl,cbl,0.0
camR,camR,0.0
caiF,caiF,0.0
basR,basR,0.0
basS,basS,0.0
bax,bax,0.0
bcp,bcp,0.0
bcsE,bcsE,0.0
bcsG,bcsG,0.0
bdm,bdm,0.0
betA,betA,0.0
betT,betT,0.0
bfr,bfr,0.0
bglA,bglA,0.0
bglH,bglH,0.0
bglJ,bglJ,0.0
bglX,bglX,0.0
bioA,bioA,0.0
bioD,bioD,0.0
bipA,bipA,0.0
birA,birA,0.0
blc,blc,0.0
bolA,bolA,0.0
bssR,bssR,0.0
bssS,bssS,0.0
btuD,btuD,0.0
btuE,btuE,0.0
cadA,cadA,0.0
cadC,cadC,0.0
caiC,caiC,0.0
coaD,coaD,0.0
cobB,cobB,0.0
hdhA,hdhA,0.0
dacD,dacD,0.0
cyoA,cyoA,0.0
cyoB,cyoB,0.0
cyoC,cyoC,0.0
cysB,cysB,0.0
cysD,cysD,0.0
cysG,cysG,0.0
cysH,cysH,0.0
cysK,cysK,0.0
cysN,cysN,0.0
cytR,cytR,0.0
dacA,dacA,0.0
dacB,dacB,0.0
dacC,dacC,0.0
damX,damX,0.0
cobU,cobU,0.0
dapA,dapA,0.0
dapD,dapD,0.0
dapE,dapE,0.0
dbpA,dbpA,0.0
dcd,dcd,0.0
dcrB,dcrB,0.0
dctA,dctA,0.0
dcuA,dcuA,0.0
dcuC,dcuC,0.0
dcuD,dcuD,0.0
dcuR,dcuR,0.0
dcuS,dcuS,0.0
dcyD,dcyD,0.0
cydD,cydD,0.0
cydB,cydB,0.0
cydA,cydA,0.0
cycA,cycA,0.0
cof,cof,0.0
copA,copA,0.0
corA,corA,0.0
cpdB,cpdB,0.0
cpxP,cpxP,0.0
cpxR,cpxR,0.0
crcB,crcB,0.0
creC,creC,0.0
crl,crl,0.0
crp,crp,0.0
crr,crr,0.0
csgA,csgA,0.0
csgD,csgD,0.0
csgF,csgF,0.0
csgG,csgG,0.0
csiE,csiE,0.0
cspA,cspA,0.0
cspD,cspD,0.0
cspE,cspE,0.0
csrA,csrA,0.0
cueO,cueO,0.0
cusA,cusA,0.0
cusR,cusR,0.0
cvrA,cvrA,0.0
cyaA,cyaA,0.0
cybB,cybB,0.0
cybC,cybC,0.0
baeS,baeS,0.0
azoR,azoR,0.0
atpH,atpH,0.0
aceB,aceB,0.0
LELOBEKK_yshB,yshB,0.0
LELOBEKKtfaE,LELOBEKKtfaE,0.0
YFP,YFP,0.0
aaeA,aaeA,0.0
aaeB,aaeB,0.0
aaeR,aaeR,0.0
aas,aas,0.0
abgT,abgT,0.0
accA,accA,0.0
accB,accB,0.0
accC,accC,0.0
accD,accD,0.0
aceA,aceA,0.0
aceE,aceE,0.0
atpE,atpE,0.0
ackA,ackA,0.0
acnA,acnA,0.0
acnB,acnB,0.0
acpP,acpP,0.0
acrA,acrA,0.0
acrB,acrB,0.0
acrR,acrR,0.0
acs,acs,0.0
ade,ade,0.0
adhE,adhE,0.0
adhP,adhP,0.0
aegA,aegA,0.0
afuC,afuC,0.0
LELOBEKK_ynhF,ynhF,0.0
LELOBEKK_yneM,yneM,0.0
LELOBEKK_ylpA,ylpA,0.0
LELOBEKK_yedR,yedR,0.0
LELOBEKK_araC,araC,0.0
LELOBEKK_atl,atl,0.0
LELOBEKK_ccdA,ccdA,0.0
LELOBEKK_fdoG,fdoG,0.0
LELOBEKK_finO,finO,0.0
LELOBEKK_flmC,flmC,0.0
LELOBEKK_galK,galK,0.0
LELOBEKK_galT,galT,0.0
LELOBEKK_gap,gap,0.0
LELOBEKK_gpt,gpt,0.0
LELOBEKK_lacA,lacA,0.0
LELOBEKK_lacY,lacY,0.0
LELOBEKK_lacZ,lacZ,0.0
LELOBEKK_lexA,lexA,0.0
LELOBEKK_malE,malE,0.0
LELOBEKK_mpaA,mpaA,0.0
LELOBEKK_pheS,pheS,0.0
LELOBEKK_psiB,psiB,0.0
LELOBEKK_rpsL,rpsL,0.0
LELOBEKK_sgrT,sgrT,0.0
LELOBEKK_tisB,tisB,0.0
LELOBEKK_traJ,traJ,0.0
LELOBEKK_traQ,traQ,0.0
LELOBEKK_traY,traY,0.0
LELOBEKK_trpA,trpA,0.0
LELOBEKK_trxA,trxA,0.0
LELOBEKK_uidA,uidA,0.0
agaB,agaB,0.0
agaD,agaD,0.0
agp,agp,0.0
arnA,arnA,0.0
aroA,aroA,0.0
aroD,aroD,0.0
aroF,aroF,0.0
aroG,aroG,0.0
aroH,aroH,0.0
aroK,aroK,0.0
aroM,aroM,0.0
aroP,aroP,0.0
arpA,arpA,0.0
arpB,arpB,0.0
artI,artI,0.0
artM,artM,0.0
artQ,artQ,0.0
ascB,ascB,0.0
ascF,ascF,0.0
asd,asd,0.0
aslA,aslA,0.0
aslB,aslB,0.0
asmA,asmA,0.0
asnB,asnB,0.0
aspC,aspC,0.0
aspS,aspS,0.0
astB,astB,0.0
astC,astC,0.0
atoB,atoB,0.0
atoS,atoS,0.0
atpA,atpA,0.0
arnT,arnT,0.0
argT,argT,0.0
ahpC,ahpC,0.0
argR,argR,0.0
ahpF,ahpF,0.0
aidB,aidB,0.0
alaS,alaS,0.0
aldA,aldA,0.0
alkB,alkB,0.0
allB,allB,0.0
allR,allR,0.0
alr,alr,0.0
alsB,alsB,0.0
amiA,amiA,0.0
amiB,amiB,0.0
amn,amn,0.0
ampC,ampC,0.0
ampE,ampE,0.0
ampG,ampG,0.0
amyA,amyA,0.0
ansA,ansA,0.0
ansB,ansB,0.0
aphA,aphA,0.0
aqpZ,aqpZ,0.0
araF,araF,0.0
araG,araG,0.0
arcA,arcA,0.0
arcB,arcB,0.0
argD,argD,0.0
argG,argG,0.0
argH,argH,0.0
ddlA,ddlA,0.0
ddlB,ddlB,0.0
ddpA,ddpA,0.0
gatC,gatC,0.0
gadB,gadB,0.0
gadW,gadW,0.0
gadX,gadX,0.0
galE,galE,0.0
galF,galF,0.0
galP,galP,0.0
galR,galR,0.0
galS,galS,0.0
galU,galU,0.0
gapA,gapA,0.0
gapC,gapC,0.0
garD,garD,0.0
gatB,gatB,0.0
gatD,gatD,0.0
fliD,fliD,0.0
gatZ,gatZ,0.0
gcl,gcl,0.0
gcvA,gcvA,0.0
gcvH,gcvH,0.0
gcvR,gcvR,0.0
gcvT,gcvT,0.0
ggt,ggt,0.0
ghrB,ghrB,0.0
gidA,gidA,0.0
gidB,gidB,0.0
glcA,glcA,0.0
glcB,glcB,0.0
glcC,glcC,0.0
fxsA,fxsA,0.0
fusA,fusA,0.0
fur,fur,0.0
fumC,fumC,0.0
fliZ,fliZ,0.0
flxA,flxA,0.0
focA,focA,0.0
folC,folC,0.0
folM,folM,0.0
folX,folX,0.0
frc,frc,0.0
frdB,frdB,0.0
frlB,frlB,0.0
frmA,frmA,0.0
frmB,frmB,0.0
frr,frr,0.0
frsA,frsA,0.0
fruA,fruA,0.0
fruR,fruR,0.0
ftn,ftn,0.0
ftsA,ftsA,0.0
ftsB,ftsB,0.0
ftsH,ftsH,0.0
ftsK,ftsK,0.0
ftsW,ftsW,0.0
ftsX,ftsX,0.0
fucI,fucI,0.0
fucK,fucK,0.0
fucR,fucR,0.0
fucU,fucU,0.0
fumA,fumA,0.0
gldA,gldA,0.0
glf,glf,0.0
glgA,glgA,0.0
gor,gor,0.0
gpmI,gpmI,0.0
gpp,gpp,0.0
gpsA,gpsA,0.0
greA,greA,0.0
groL,groL,0.0
groS,groS,0.0
grxA,grxA,0.0
grxB,grxB,0.0
grxD,grxD,0.0
gshA,gshA,0.0
gshB,gshB,0.0
gsk,gsk,0.0
gspD,gspD,0.0
gspI,gspI,0.0
gspK,gspK,0.0
gspL,gspL,0.0
gss,gss,0.0
gst,gst,0.0
guaA,guaA,0.0
guaB,guaB,0.0
guaC,guaC,0.0
gyrA,gyrA,0.0
gyrB,gyrB,0.0
hcaR,hcaR,0.0
hcaT,hcaT,0.0
hchA,hchA,0.0
hdfR,hdfR,0.0
gpmA,gpmA,0.0
gntP,gntP,0.0
glgB,glgB,0.0
gnd,gnd,0.0
glgC,glgC,0.0
glgP,glgP,0.0
glgS,glgS,0.0
glgX,glgX,0.0
glk,glk,0.0
glmM,glmM,0.0
glmS,glmS,0.0
