file_name,category,GMP_Cor,mode,eigenvalue,threshold_scr,above_threshold,participation_ratio,shannon_entropy,norm_entropy,effective_n_genes,n_genes_kept
VapC_biorep_t5A_filtered.csv,r,13.157392,4,6.629410454824148,5.813433534981689,True,162.2960478574267,6.069366329264577,0.8099103909352824,432.4065913394315,1797
VapC_biorep_t5A_filtered.csv,r,13.157392,5,6.561993240870459,5.813433534981689,True,237.04608427427522,6.3374861267567315,0.8456889217116035,565.3732467515072,1797
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,5.833062718630084,True,234.68468169642193,6.4669137083958095,0.8628959804609472,643.4946469771857,1798
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,5.833062718630084,True,183.22557019512368,6.199674619200629,0.8272376206487256,492.5887360978743,1798
VapC_biorep_t5B_filtered.csv,r,29.697887,3,6.42515477780074,5.833062718630084,True,595.7050846331229,6.755985959389374,0.9014675920043801,859.1864553641592,1798
VapC_biorep_t5B_filtered.csv,r,29.697887,4,6.338158115995057,5.833062718630084,True,557.2284214507607,6.721073626857573,0.8968091548010051,829.707830071277,1798
VapC_biorep_t5B_filtered.csv,r,29.697887,5,6.2420958504447785,5.833062718630084,True,581.8749276740116,6.747590966407122,0.900347427730195,852.0037825286875,1798
VapC_biorep_tONA_filtered.csv,d,4.894507,1,10.245887753403245,5.8003079383650755,True,37.11288175863907,5.449265775217895,0.7271627275217959,232.5873318170013,1797
VapC_biorep_tONA_filtered.csv,d,4.894507,2,5.97575774462937,5.8003079383650755,True,555.7852753775279,6.736527408769302,0.8989379205660322,842.6295414203139,1797
VapC_biorep_tONA_filtered.csv,d,4.894507,3,5.925188035525829,5.8003079383650755,True,580.3658866271231,6.752268910784629,0.9010385032890867,855.9987456552302,1797
VapC_biorep_tONA_filtered.csv,d,4.894507,4,5.857331747671789,5.8003079383650755,True,651.7538873151228,6.798241321774425,0.9071731689752647,896.2696548530713,1797
VapC_biorep_tONA_filtered.csv,d,4.894507,5,5.8150426844009635,5.8003079383650755,True,614.8157349740449,6.767084751326039,0.9030155635873044,868.7755020501612,1797
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,5.92150815286551,True,347.22263206019704,6.719680895674803,0.8108430662654141,828.5530744225057,3973
adam_matrix_filtered.csv,r,21.029702,2,9.82547591679307,5.92150815286551,True,72.10899980229301,5.367157972639735,0.6476383172402174,214.25308847068575,3973
adam_matrix_filtered.csv,r,21.029702,3,7.645277183405857,5.92150815286551,True,103.45969696884674,5.859835895635197,0.7070882351701072,350.66659337932265,3973
adam_matrix_filtered.csv,r,21.029702,4,7.389608990351471,5.92150815286551,True,112.78203347955943,5.933912188502621,0.7160267918335432,377.6289835100188,3973
adam_matrix_filtered.csv,r,21.029702,5,7.216860584152236,5.92150815286551,True,83.04845547349208,5.9351847778780344,0.7161803512491282,378.10985605403,3973
sample_13a_filtered.csv,d,3.078368,1,8.242494324391716,6.764541240128506,True,188.39781823483543,5.970336677862278,0.7835875804968981,391.6375042336485,2037
sample_13a_filtered.csv,d,3.078368,2,7.091701380862537,6.764541240128506,True,115.79677298949953,5.865773702252165,0.7698640246090547,352.754977873535,2037
sample_13a_filtered.csv,d,3.078368,3,6.92295573467447,6.764541240128506,True,198.25525946223416,6.195546007753549,0.8131455842472018,490.55922102572663,2037
sample_13a_filtered.csv,d,3.078368,4,6.681553637150184,6.764541240128506,False,123.8126316378226,5.915881544437193,0.7764405185222497,370.88110681357125,2037
sample_13a_filtered.csv,d,3.078368,5,6.567240580776333,6.764541240128506,False,74.17394040159573,5.470142950158545,0.7179387546401574,237.49414015970527,2037
