,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
ccmG,127.0,125.0,117.0
ccmH,22.0,20.0,30.0
cdaR,73.0,97.0,106.0
cdd,95.0,94.0,74.0
cdh,642.0,641.0,614.0
cdsA,62.0,50.0,55.0
cedA,9.0,9.0,14.0
cfa,178.0,191.0,201.0
chaA,96.0,107.0,102.0
chaB,23.0,28.0,32.0
chaC,134.0,128.0,115.0
chbA,44.0,25.0,39.0
chbB,36.0,37.0,45.0
chbC,401.0,433.0,406.0
chbF,172.0,164.0,178.0
chbG,23.0,26.0,29.0
chbR,168.0,215.0,204.0
cheA,213.0,220.0,233.0
cheB,106.0,130.0,134.0
cheR,0.0,1.0,3.0
cheW,72.0,98.0,97.0
cheY,0.0,1.0,1.0
cheZ,75.0,87.0,89.0
chiA,153.0,145.0,156.0
cho,127.0,131.0,143.0
chpA,3.0,7.0,4.0
chpB,1.0,0.0,0.0
chpR,90.0,90.0,106.0
chpS,4.0,3.0,1.0
cirA,329.0,347.0,362.0
citA,165.0,164.0,194.0
citB,127.0,82.0,78.0
citC,253.0,270.0,239.0
citD,1.0,2.0,2.0
citE,1.0,3.0,1.0
citF,23.0,21.0,26.0
citG,5.0,4.0,3.0
citT,143.0,115.0,124.0
citX,7.0,9.0,11.0
clcA,129.0,162.0,151.0
clcB,77.0,60.0,70.0
cld,337.0,311.0,373.0
clpA,206.0,229.0,203.0
clpB,180.0,215.0,197.0
clpP,9.0,3.0,1.0
clpS,31.0,23.0,24.0
clpX,368.0,398.0,394.0
cls,136.0,95.0,110.0
cmk,163.0,173.0,146.0
cmr,28.0,35.0,39.0
cmtA,110.0,128.0,126.0
cmtB,64.0,64.0,70.0
coaA,200.0,212.0,185.0
coaD,66.0,85.0,89.0
coaE,207.0,212.0,214.0
cobB,78.0,74.0,79.0
cobC,129.0,128.0,116.0
cobS,29.0,24.0,33.0
cobT,34.0,29.0,32.0
cobU,250.0,209.0,206.0
codA,2.0,2.0,4.0
codB,54.0,59.0,44.0
cof,126.0,141.0,110.0
copA,154.0,160.0,147.0
corA,183.0,149.0,182.0
cpdA,2.0,2.0,0.0
cpdB,88.0,89.0,71.0
cpsB,12.0,9.0,11.0
cpsG,111.0,134.0,148.0
cpxA,280.0,301.0,322.0
cpxP,125.0,112.0,120.0
cpxR,187.0,191.0,156.0
crcA,19.0,22.0,21.0
crcB,54.0,32.0,40.0
creA,10.0,7.0,8.0
creB,0.0,0.0,2.0
creC,316.0,304.0,346.0
creD,178.0,194.0,175.0
crl,41.0,57.0,42.0
crp,120.0,119.0,104.0
crr,179.0,174.0,185.0
csdA,18.0,20.0,20.0
csgA,34.0,41.0,40.0
csgB,62.0,54.0,66.0
csgC,100.0,114.0,99.0
csgD,236.0,235.0,234.0
csgE,74.0,82.0,75.0
csgF,129.0,129.0,149.0
csgG,32.0,32.0,38.0
csiE,372.0,349.0,369.0
csiR,183.0,162.0,186.0
cspA,149.0,159.0,154.0
cspB,14.0,4.0,9.0
cspC,0.0,1.0,0.0
cspD,28.0,27.0,24.0
cspE,80.0,99.0,105.0
cspF,1.0,0.0,1.0
cspG,151.0,171.0,184.0
cspH,2.0,3.0,4.0
cspI,36.0,38.0,43.0
csrA,11.0,6.0,13.0
csrb,22698.0,22886.0,22880.0
cstA,175.0,238.0,219.0
cueO,154.0,157.0,172.0
cusA,88.0,92.0,88.0
cusB,46.0,43.0,54.0
cusC,141.0,129.0,125.0
cusF,191.0,186.0,188.0
cusR,200.0,193.0,182.0
cusS,75.0,52.0,71.0
cutA,6.0,8.0,6.0
cutC,59.0,64.0,57.0
cvpA,37.0,40.0,35.0
cvrA,143.0,152.0,133.0
cyaA,102.0,99.0,85.0
cyaY,0.0,0.0,2.0
cybB,70.0,72.0,72.0
cybC,21.0,16.0,24.0
cycA,100.0,114.0,113.0
cydA,12.0,7.0,9.0
cydB,18.0,11.0,9.0
cydC,173.0,172.0,163.0
cydD,429.0,406.0,375.0
cynR,62.0,64.0,69.0
cynS,133.0,130.0,146.0
cynT,23.0,34.0,23.0
cynX,268.0,243.0,258.0
cyoA,205.0,199.0,206.0
cyoB,86.0,107.0,93.0
cyoC,94.0,110.0,86.0
cyoD,3.0,5.0,5.0
cyoE,2.0,5.0,4.0
cysA,9.0,4.0,4.0
cysB,324.0,293.0,311.0
cysC,25.0,29.0,25.0
cysD,201.0,203.0,203.0
cysE,2.0,2.0,1.0
cysG,64.0,60.0,62.0
cysH,158.0,178.0,159.0
cysI,74.0,86.0,84.0
cysJ,42.0,40.0,40.0
cysK,341.0,353.0,319.0
cysM,4.0,6.0,6.0
cysN,116.0,82.0,110.0
cysP,0.0,1.0,1.0
cysQ,5.0,1.0,3.0
cysS,26.0,36.0,31.0
cysU,46.0,45.0,43.0
cysW,0.0,1.0,1.0
cysZ,45.0,46.0,43.0
cytR,163.0,187.0,152.0
dacA,263.0,291.0,265.0
dacB,274.0,302.0,262.0
dacC,283.0,261.0,275.0
dacD,280.0,286.0,261.0
dadA,4.0,6.0,3.0
dadX,0.0,2.0,1.0
dam,101.0,117.0,116.0
damX,24.0,21.0,19.0
dapA,262.0,287.0,276.0
dapB,82.0,84.0,96.0
dapD,71.0,58.0,81.0
dapE,109.0,112.0,127.0
dapF,0.0,1.0,0.0
dbpA,76.0,63.0,62.0
dcd,21.0,18.0,19.0
dcm,33.0,33.0,35.0
dcp,79.0,76.0,77.0
dcrB,62.0,58.0,69.0
dctA,169.0,182.0,171.0
dcuA,49.0,46.0,41.0
dcuB,22.0,28.0,27.0
dcuC,82.0,90.0,76.0
dcuD,258.0,254.0,234.0
dcuR,188.0,185.0,193.0
dcuS,128.0,124.0,136.0
dcyD,96.0,104.0,100.0
ddlA,165.0,128.0,136.0
ddlB,34.0,46.0,50.0
ddpA,63.0,75.0,67.0
ddpB,8.0,6.0,5.0
ddpC,59.0,67.0,52.0
ddpD,38.0,57.0,40.0
