,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
yfeU,42.0,49.0,32.0
yfeW,50.0,46.0,51.0
yfeX,2.0,1.0,0.0
yfeY,65.0,66.0,65.0
yfeZ,9.0,6.0,6.0
yffB,8.0,11.0,8.0
yffI,11.0,14.0,11.0
yffL,66.0,58.0,58.0
yffM,3.0,1.0,1.0
yffN,59.0,59.0,47.0
yffO,96.0,88.0,95.0
yffP,40.0,59.0,58.0
yffQ,289.0,283.0,258.0
yffR,43.0,42.0,35.0
yffS,30.0,51.0,47.0
yfgA,28.0,25.0,20.0
yfgB,182.0,203.0,189.0
yfgC,19.0,27.0,31.0
yfgD,85.0,98.0,99.0
yfgF,76.0,101.0,102.0
yfgG,0.0,0.0,0.0
yfgH,51.0,67.0,55.0
yfgI,188.0,182.0,194.0
yfgJ,0.0,0.0,0.0
yfgL,67.0,56.0,67.0
yfgM,35.0,51.0,51.0
yfgO,2.0,1.0,0.0
yfhA,211.0,216.0,229.0
yfhB,2.0,5.0,0.0
yfhD,153.0,134.0,136.0
yfhG,8.0,6.0,8.0
yfhH,44.0,51.0,41.0
yfhJ,55.0,39.0,40.0
yfhK,40.0,45.0,46.0
yfhL,203.0,193.0,201.0
yfhM,222.0,234.0,217.0
yfhQ,21.0,21.0,24.0
yfhR,14.0,12.0,24.0
yfiB,143.0,163.0,165.0
yfiC,74.0,84.0,89.0
yfiD,44.0,58.0,60.0
yfiE,47.0,55.0,54.0
yfiF,31.0,35.0,33.0
yfiH,5.0,10.0,9.0
yfiK,57.0,61.0,56.0
yfiL,29.0,26.0,22.0
yfiM,0.0,0.0,1.0
yfiN,55.0,64.0,67.0
yfiO,24.0,42.0,44.0
yfiP,7.0,10.0,9.0
yfiQ,33.0,36.0,33.0
yfiR,83.0,78.0,90.0
yfjD,260.0,278.0,271.0
yfjF,13.0,9.0,14.0
yfjG,15.0,20.0,18.0
yfjH,368.0,367.0,342.0
yfjI,241.0,269.0,240.0
yfjJ,140.0,140.0,130.0
yfjK,125.0,112.0,122.0
yfjL,66.0,85.0,77.0
yfjM,61.0,75.0,59.0
yfjN,95.0,104.0,108.0
yfjO,232.0,229.0,236.0
yfjP,91.0,92.0,68.0
yfjQ,0.0,0.0,0.0
yfjR,14.0,17.0,22.0
yfjS,46.0,56.0,55.0
yfjT,8.0,11.0,8.0
yfjU,100.0,104.0,91.0
yfjV,43.0,60.0,63.0
yfjW,66.0,81.0,68.0
yfjX,136.0,119.0,133.0
yfjY,5.0,6.0,8.0
yfjZ,77.0,56.0,79.0
ygaC,82.0,79.0,65.0
ygaD,1.0,0.0,0.0
ygaF,0.0,1.0,0.0
ygaH,1.0,0.0,0.0
ygaM,175.0,187.0,179.0
ygaP,72.0,91.0,77.0
ygaQ,432.0,434.0,433.0
ygaT,152.0,164.0,160.0
ygaU,22.0,16.0,15.0
ygaV,9.0,10.0,3.0
ygaW,130.0,126.0,113.0
ygaY,156.0,133.0,141.0
ygaZ,3.0,3.0,4.0
ygbA,2.0,1.0,1.0
ygbE,1.0,2.0,3.0
ygbF,66.0,70.0,68.0
ygbI,344.0,333.0,342.0
ygbJ,48.0,56.0,41.0
ygbK,25.0,27.0,22.0
ygbL,12.0,19.0,20.0
ygbM,8.0,15.0,13.0
ygbN,147.0,165.0,139.0
ygbT,168.0,169.0,176.0
ygcB,98.0,118.0,91.0
ygcE,199.0,234.0,223.0
ygcF,37.0,49.0,51.0
ygcG,164.0,182.0,204.0
ygcH,123.0,132.0,132.0
ygcI,89.0,100.0,80.0
ygcJ,71.0,65.0,69.0
ygcK,167.0,176.0,184.0
ygcL,240.0,267.0,254.0
ygcN,13.0,20.0,16.0
ygcO,0.0,0.0,0.0
ygcP,231.0,222.0,210.0
ygcQ,2.0,4.0,1.0
ygcR,42.0,82.0,36.0
ygcS,105.0,99.0,122.0
ygcU,141.0,174.0,157.0
ygcW,114.0,103.0,141.0
ygdB,1.0,0.0,1.0
ygdD,0.0,0.0,0.0
ygdE,118.0,99.0,119.0
ygdH,128.0,153.0,115.0
ygdI,181.0,172.0,150.0
ygdK,25.0,20.0,33.0
ygdL,2.0,1.0,5.0
ygdQ,9.0,14.0,13.0
ygdR,1.0,3.0,2.0
ygeA,1.0,1.0,1.0
ygeD,164.0,186.0,191.0
ygeF,2.0,4.0,1.0
ygeG,26.0,27.0,26.0
ygeH,116.0,127.0,124.0
ygeI,1.0,2.0,4.0
ygeK,186.0,174.0,189.0
ygeN,23.0,23.0,24.0
ygeO,5.0,5.0,9.0
ygeQ,310.0,302.0,308.0
ygeR,421.0,452.0,435.0
ygeV,121.0,124.0,129.0
ygeW,50.0,44.0,42.0
ygeX,91.0,74.0,80.0
ygeY,67.0,54.0,72.0
ygfA,6.0,9.0,8.0
ygfB,127.0,144.0,117.0
ygfF,2.0,0.0,1.0
ygfG,306.0,298.0,266.0
ygfH,95.0,125.0,120.0
ygfI,53.0,55.0,51.0
ygfJ,254.0,258.0,252.0
ygfK,178.0,202.0,164.0
ygfM,49.0,44.0,43.0
ygfO,133.0,129.0,131.0
ygfQ,57.0,73.0,73.0
ygfS,2.0,2.0,2.0
ygfT,166.0,153.0,151.0
ygfU,50.0,45.0,59.0
ygfX,0.0,0.0,0.0
ygfY,84.0,82.0,77.0
ygfZ,69.0,105.0,93.0
yggC,79.0,88.0,95.0
yggD,221.0,213.0,177.0
yggE,147.0,165.0,159.0
yggF,0.0,2.0,1.0
yggG,8.0,11.0,3.0
yggJ,88.0,89.0,93.0
yggL,29.0,19.0,21.0
yggM,56.0,66.0,73.0
yggN,11.0,15.0,13.0
yggP,94.0,100.0,85.0
yggR,106.0,119.0,98.0
yggS,43.0,50.0,47.0
