,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
ybeM,1.0,0.0,0.0
ybeQ,13.0,11.0,12.0
ybeR,2.0,9.0,3.0
ybeT,8.0,8.0,15.0
ybeU,17.0,20.0,16.0
ybeX,174.0,133.0,135.0
ybeY,13.0,29.0,23.0
ybeZ,6.0,17.0,6.0
ybfA,0.0,1.0,0.0
ybfB,8.0,8.0,2.0
ybfC,3.0,4.0,9.0
ybfD,29.0,23.0,29.0
ybfE,17.0,20.0,15.0
ybfF,7.0,7.0,0.0
ybfG,32.0,25.0,23.0
ybfL,34.0,33.0,42.0
ybfM,9.0,2.0,8.0
ybfN,2.0,2.0,1.0
ybfO,26.0,28.0,33.0
ybfP,13.0,20.0,11.0
ybfQ,16.0,14.0,16.0
ybgA,20.0,17.0,12.0
ybgC,12.0,20.0,5.0
ybgD,8.0,10.0,7.0
ybgF,36.0,59.0,61.0
ybgH,19.0,18.0,7.0
ybgI,0.0,0.0,1.0
ybgJ,0.0,0.0,0.0
ybgK,0.0,1.0,0.0
ybgL,1.0,0.0,0.0
ybgO,6.0,11.0,16.0
ybgP,10.0,9.0,10.0
ybgQ,5.0,8.0,6.0
ybgS,3.0,8.0,1.0
ybhA,17.0,14.0,23.0
ybhB,3.0,4.0,6.0
ybhC,1.0,1.0,6.0
ybhD,31.0,23.0,26.0
ybhF,1.0,2.0,2.0
ybhH,5.0,8.0,11.0
ybhI,10.0,24.0,15.0
ybhJ,3.0,11.0,7.0
ybhK,31.0,29.0,19.0
ybhL,15.0,8.0,4.0
ybhM,9.0,22.0,20.0
ybhN,13.0,13.0,13.0
ybhO,14.0,3.0,13.0
ybhP,0.0,4.0,0.0
ybhR,0.0,0.0,2.0
ybhS,0.0,1.0,0.0
ybhT,7.0,8.0,2.0
ybiA,3.0,5.0,1.0
ybiB,0.0,0.0,0.0
ybiC,24.0,19.0,17.0
ybiJ,1.0,0.0,1.0
ybiN,45.0,41.0,31.0
ybiO,6.0,5.0,12.0
ybiP,21.0,26.0,24.0
ybiR,26.0,20.0,27.0
ybiS,67.0,94.0,76.0
ybiT,21.0,34.0,31.0
ybiV,45.0,24.0,29.0
ybiW,10.0,9.0,13.0
ybiX,1.0,2.0,3.0
ybiY,5.0,5.0,1.0
ybjC,1.0,8.0,4.0
ybjD,4.0,10.0,7.0
ybjE,15.0,12.0,8.0
ybjG,0.0,1.0,0.0
ybjH,2.0,2.0,3.0
ybjI,15.0,10.0,5.0
ybjJ,0.0,0.0,1.0
ybjK,2.0,5.0,1.0
ybjL,64.0,64.0,64.0
ybjM,0.0,0.0,2.0
ybjN,16.0,16.0,17.0
ybjO,15.0,8.0,19.0
ybjP,1.0,0.0,1.0
ybjS,2.0,4.0,4.0
ybjT,2.0,2.0,4.0
ybjX,169.0,182.0,168.0
ycaC,7.0,8.0,4.0
ycaD,24.0,9.0,10.0
ycaI,29.0,25.0,13.0
ycaJ,31.0,19.0,27.0
ycaK,32.0,35.0,22.0
ycaL,22.0,27.0,19.0
ycaM,16.0,20.0,12.0
ycaN,16.0,28.0,23.0
ycaO,33.0,32.0,49.0
ycaP,30.0,44.0,27.0
ycaQ,20.0,23.0,14.0
ycaR,3.0,0.0,4.0
ycbB,11.0,9.0,8.0
ycbC,7.0,8.0,5.0
ycbF,10.0,10.0,11.0
ycbG,40.0,33.0,35.0
ycbJ,51.0,51.0,42.0
ycbK,67.0,76.0,74.0
ycbQ,25.0,32.0,32.0
ycbR,15.0,16.0,7.0
ycbS,15.0,10.0,12.0
ycbT,28.0,37.0,22.0
ycbU,8.0,5.0,5.0
ycbV,7.0,15.0,7.0
ycbW,128.0,103.0,109.0
ycbX,3.0,6.0,2.0
ycbZ,38.0,48.0,48.0
yccA,7.0,12.0,4.0
yccE,44.0,28.0,24.0
yccF,16.0,20.0,22.0
yccJ,33.0,32.0,41.0
yccK,6.0,13.0,10.0
yccM,9.0,8.0,8.0
yccS,38.0,40.0,42.0
yccT,4.0,2.0,3.0
yccU,2.0,0.0,0.0
yccW,26.0,23.0,28.0
yccX,2.0,5.0,0.0
yccZ,15.0,15.0,15.0
ycdB,3.0,1.0,3.0
ycdC,1.0,4.0,5.0
ycdG,2.0,3.0,2.0
ycdI,7.0,1.0,3.0
ycdK,0.0,2.0,1.0
ycdM,5.0,9.0,4.0
ycdO,8.0,9.0,7.0
ycdT,17.0,11.0,18.0
ycdU,18.0,12.0,17.0
ycdW,23.0,12.0,19.0
ycdX,12.0,6.0,11.0
ycdY,23.0,40.0,25.0
ycdZ,14.0,7.0,8.0
yceA,21.0,21.0,29.0
yceB,2.0,3.0,4.0
yceD,52.0,54.0,38.0
yceF,2.0,7.0,4.0
yceG,41.0,34.0,30.0
yceH,25.0,17.0,26.0
yceI,17.0,10.0,9.0
yceK,0.0,1.0,0.0
yceN,0.0,0.0,2.0
yceO,3.0,7.0,7.0
yceQ,2.0,3.0,1.0
ycfD,34.0,35.0,33.0
ycfH,25.0,25.0,27.0
ycfJ,3.0,3.0,2.0
ycfK,1.0,2.0,12.0
ycfL,13.0,9.0,6.0
ycfM,2.0,4.0,3.0
ycfP,20.0,19.0,16.0
ycfQ,20.0,16.0,22.0
ycfS,18.0,14.0,13.0
ycfT,9.0,7.0,6.0
ycfZ,20.0,12.0,11.0
ycgB,12.0,17.0,21.0
ycgE,58.0,60.0,69.0
ycgF,14.0,16.0,14.0
ycgG,11.0,13.0,13.0
ycgH,42.0,65.0,50.0
ycgI,1.0,0.0,0.0
ycgJ,5.0,4.0,2.0
ycgK,1.0,2.0,0.0
ycgL,2.0,5.0,9.0
ycgM,1.0,2.0,0.0
ycgN,5.0,8.0,4.0
ycgR,6.0,1.0,0.0
ycgV,37.0,36.0,30.0
ycgX,4.0,1.0,6.0
ycgY,8.0,7.0,5.0
ycgZ,24.0,23.0,22.0
ychA,68.0,66.0,57.0
ychE,17.0,12.0,6.0
ychF,34.0,26.0,42.0
ychG,5.0,12.0,2.0
ychH,1.0,2.0,2.0
ychJ,18.0,17.0,14.0
ychM,0.0,0.0,0.0
ychO,15.0,9.0,15.0
ychQ,16.0,8.0,18.0
yciA,12.0,7.0,10.0
yciB,51.0,31.0,35.0
yciC,1.0,1.0,1.0
yciE,13.0,24.0,7.0
yciF,8.0,15.0,15.0
yciH,0.0,1.0,0.0
yciI,5.0,1.0,3.0
yciK,1.0,1.0,0.0
yciM,38.0,26.0,26.0
yciQ,7.0,10.0,6.0
yciS,1.0,2.0,0.0
yciT,17.0,15.0,10.0
yciU,1.0,1.0,0.0
yciW,11.0,13.0,6.0
yciX,126.0,131.0,128.0
ycjD,11.0,9.0,8.0
ycjF,4.0,9.0,12.0
ycjG,23.0,22.0,19.0
ycjM,23.0,10.0,11.0
ycjN,8.0,10.0,16.0
ycjO,3.0,1.0,0.0
ycjQ,0.0,0.0,0.0
ycjR,7.0,6.0,12.0
ycjS,1.0,10.0,5.0
ycjT,24.0,24.0,23.0
ycjU,0.0,0.0,0.0
ycjV,17.0,11.0,18.0
ycjW,10.0,9.0,11.0
ycjX,12.0,6.0,6.0
ycjY,11.0,23.0,19.0
ycjZ,10.0,7.0,20.0
ydaC,4.0,1.0,8.0
ydaE,2.0,3.0,3.0
ydaF,3.0,0.0,0.0
ydaG,49.0,37.0,29.0
ydaL,0.0,1.0,0.0
ydaM,0.0,0.0,0.0
ydaN,16.0,23.0,23.0
ydaQ,5.0,5.0,5.0
ydaS,6.0,1.0,7.0
ydaT,8.0,4.0,6.0
ydaU,11.0,16.0,11.0
ydaV,0.0,1.0,1.0
ydaW,1.0,1.0,0.0
ydaY,47.0,46.0,34.0
ydbA,309.0,290.0,284.0
ydbC,20.0,25.0,28.0
ydbD,31.0,27.0,28.0
ydbH,23.0,7.0,10.0
ydbJ,2.0,4.0,1.0
ydbK,24.0,20.0,26.0
ydbL,15.0,11.0,12.0
ydcA,5.0,4.0,5.0
ydcC,44.0,39.0,41.0
ydcD,24.0,16.0,14.0
ydcE,21.0,22.0,18.0
ydcF,10.0,12.0,4.0
ydcH,9.0,7.0,8.0
ydcI,12.0,11.0,13.0
ydcJ,5.0,13.0,8.0
ydcK,13.0,7.0,5.0
ydcL,28.0,31.0,18.0
ydcM,27.0,24.0,23.0
ydcN,2.0,3.0,2.0
ydcO,3.0,3.0,1.0
ydcP,13.0,31.0,23.0
ydcQ,24.0,15.0,14.0
ydcR,28.0,29.0,36.0
ydcS,1.0,3.0,3.0
ydcT,1.0,0.0,2.0
ydcU,3.0,5.0,5.0
ydcV,1.0,0.0,1.0
ydcW,24.0,29.0,16.0
ydcX,2.0,3.0,4.0
ydcY,2.0,0.0,0.0
ydcZ,4.0,1.0,2.0
yddA,12.0,17.0,18.0
yddB,8.0,14.0,11.0
yddG,4.0,10.0,7.0
yddH,1.0,0.0,0.0
yddJ,1.0,6.0,4.0
yddK,15.0,23.0,27.0
yddL,4.0,5.0,9.0
yddM,6.0,3.0,6.0
yddV,18.0,20.0,17.0
yddW,7.0,18.0,16.0
ydeA,18.0,23.0,17.0
ydeE,13.0,21.0,13.0
ydeH,20.0,28.0,21.0
ydeI,5.0,6.0,4.0
ydeJ,8.0,5.0,7.0
ydeK,11.0,14.0,10.0
ydeM,13.0,15.0,23.0
ydeN,17.0,13.0,14.0
ydeO,15.0,9.0,18.0
ydeP,24.0,28.0,25.0
ydeQ,14.0,24.0,9.0
ydeR,58.0,54.0,51.0
ydeS,42.0,34.0,43.0
ydeT,79.0,84.0,87.0
ydeU,22.0,21.0,22.0
ydfB,0.0,2.0,2.0
ydfC,1.0,2.0,4.0
ydfD,1.0,0.0,0.0
ydfE,18.0,29.0,15.0
ydfG,10.0,12.0,7.0
ydfH,24.0,27.0,16.0
ydfI,20.0,15.0,20.0
ydfJ,29.0,37.0,27.0
ydfK,153.0,121.0,132.0
ydfO,1.0,8.0,7.0
ydfP,5.0,6.0,9.0
ydfQ,10.0,3.0,8.0
ydfR,3.0,0.0,0.0
ydfT,21.0,16.0,19.0
ydfU,4.0,5.0,2.0
ydfV,0.0,1.0,0.0
ydfW,3.0,3.0,6.0
ydfX,1.0,0.0,0.0
ydgA,16.0,10.0,14.0
ydgC,7.0,4.0,9.0
ydgD,16.0,11.0,22.0
ydgH,11.0,12.0,10.0
ydgJ,5.0,5.0,4.0
ydgK,5.0,7.0,5.0
ydgT,0.0,0.0,1.0
ydhA,5.0,7.0,9.0
ydhB,10.0,11.0,15.0
ydhC,2.0,1.0,2.0
ydhF,8.0,10.0,8.0
ydhJ,56.0,45.0,60.0
ydhK,13.0,8.0,9.0
ydhL,1.0,0.0,0.0
ydhO,19.0,15.0,12.0
ydhP,5.0,7.0,4.0
ydhQ,37.0,32.0,31.0
ydhR,35.0,38.0,28.0
ydhS,35.0,16.0,19.0
ydhT,1.0,0.0,1.0
ydhU,3.0,6.0,7.0
ydhV,9.0,11.0,13.0
ydhW,4.0,7.0,5.0
ydhX,0.0,1.0,2.0
ydhY,14.0,9.0,3.0
ydhZ,30.0,9.0,16.0
ydiA,9.0,13.0,12.0
ydiB,13.0,15.0,6.0
ydiE,1.0,0.0,0.0
ydiF,4.0,2.0,4.0
ydiH,25.0,31.0,34.0
ydiI,18.0,22.0,12.0
ydiJ,10.0,7.0,8.0
ydiK,9.0,15.0,11.0
ydiL,8.0,9.0,7.0
ydiM,7.0,11.0,9.0
ydiN,16.0,16.0,20.0
ydiO,48.0,54.0,46.0
ydiP,14.0,13.0,25.0
ydiQ,30.0,30.0,39.0
ydiR,9.0,9.0,4.0
ydiS,7.0,6.0,7.0
ydiT,6.0,8.0,6.0
ydiU,21.0,21.0,39.0
ydiV,50.0,33.0,26.0
ydiY,42.0,48.0,46.0
ydiZ,2.0,1.0,0.0
ydjA,7.0,6.0,8.0
ydjE,35.0,26.0,16.0
ydjF,40.0,33.0,29.0
ydjG,13.0,30.0,18.0
ydjH,24.0,20.0,24.0
ydjI,20.0,20.0,16.0
ydjJ,9.0,10.0,9.0
ydjK,9.0,19.0,15.0
ydjL,8.0,10.0,14.0
ydjM,1.0,0.0,0.0
ydjN,878.0,837.0,845.0
ydjO,17.0,18.0,17.0
ydjR,107.0,94.0,110.0
ydjX,6.0,6.0,5.0
ydjY,12.0,5.0,11.0
ydjZ,15.0,9.0,9.0
yeaB,2.0,0.0,1.0
yeaC,57.0,60.0,46.0
yeaD,25.0,23.0,31.0
yeaE,2.0,2.0,0.0
yeaG,27.0,23.0,25.0
yeaH,11.0,3.0,5.0
yeaI,17.0,15.0,8.0
yeaJ,23.0,17.0,22.0
yeaK,31.0,30.0,38.0
yeaL,1.0,1.0,4.0
yeaM,25.0,28.0,34.0
yeaN,1.0,4.0,6.0
yeaP,26.0,28.0,16.0
yeaQ,7.0,5.0,5.0
yeaR,16.0,17.0,14.0
yeaS,43.0,36.0,37.0
yeaT,15.0,6.0,9.0
yeaV,11.0,13.0,9.0
yeaW,2.0,4.0,1.0
yeaX,44.0,32.0,23.0
yeaY,47.0,26.0,38.0
yeaZ,1.0,0.0,1.0
yebA,37.0,35.0,34.0
yebB,8.0,10.0,12.0
yebC,28.0,24.0,19.0
yebE,3.0,0.0,1.0
yebF,7.0,1.0,6.0
yebG,30.0,28.0,29.0
yebK,11.0,15.0,22.0
yebN,22.0,34.0,28.0
yebO,22.0,19.0,18.0
yebQ,9.0,6.0,6.0
yebR,11.0,7.0,26.0
yebS,13.0,24.0,24.0
yebT,29.0,33.0,31.0
yebU,19.0,13.0,16.0
yebV,2.0,12.0,10.0
yebW,11.0,6.0,8.0
yebY,24.0,18.0,21.0
yebZ,3.0,0.0,3.0
yecA,0.0,0.0,0.0
yecC,33.0,31.0,32.0
yecD,14.0,8.0,9.0
yecF,13.0,15.0,21.0
yecG,58.0,51.0,57.0
yecH,3.0,1.0,0.0
yecI,56.0,48.0,46.0
yecJ,37.0,27.0,22.0
yecM,10.0,10.0,6.0
yecN,0.0,0.0,0.0
yecO,1.0,6.0,9.0
yecP,9.0,14.0,12.0
yecR,27.0,28.0,26.0
yecS,21.0,20.0,40.0
yecT,56.0,49.0,43.0
yedA,6.0,9.0,8.0
yedD,25.0,33.0,35.0
yedE,2.0,5.0,5.0
yedI,21.0,26.0,18.0
yedJ,0.0,3.0,3.0
yedK,0.0,0.0,1.0
yedL,2.0,5.0,1.0
yedM,2.0,1.0,1.0
yedN,20.0,15.0,14.0
yedP,1.0,1.0,1.0
yedQ,17.0,17.0,15.0
yedR,0.0,0.0,2.0
yedS,24.0,27.0,30.0
yedV,32.0,35.0,32.0
yedW,56.0,50.0,46.0
yedX,7.0,17.0,13.0
yedY,0.0,2.0,4.0
yedZ,9.0,9.0,15.0
yeeA,28.0,18.0,20.0
yeeD,76.0,61.0,64.0
yeeE,246.0,214.0,229.0
yeeF,60.0,68.0,34.0
yeeI,16.0,11.0,10.0
yeeJ,12.0,9.0,12.0
yeeL,27.0,18.0,21.0
yeeN,15.0,9.0,14.0
yeeO,10.0,11.0,8.0
yeeP,4.0,0.0,1.0
yeeR,5.0,3.0,4.0
yeeS,6.0,0.0,1.0
yeeV,1.0,3.0,0.0
yeeW,5.0,7.0,8.0
yeeX,10.0,12.0,8.0
yeeY,46.0,40.0,52.0
yeeZ,31.0,31.0,47.0
yefM,41.0,36.0,35.0
yegD,2.0,0.0,2.0
yegE,12.0,16.0,13.0
yegH,7.0,6.0,6.0
yegI,10.0,8.0,9.0
yegJ,9.0,11.0,11.0
yegK,3.0,8.0,11.0
yegL,0.0,9.0,6.0
yegP,7.0,3.0,4.0
yegQ,56.0,38.0,49.0
yegR,15.0,12.0,5.0
yegS,6.0,6.0,5.0
yegT,20.0,13.0,19.0
yegU,1.0,0.0,0.0
yegW,47.0,59.0,36.0
yegX,3.0,5.0,6.0
yegZ,13.0,6.0,10.0
yehA,17.0,5.0,20.0
yehB,11.0,12.0,11.0
yehC,17.0,15.0,15.0
yehD,19.0,12.0,9.0
yehE,7.0,8.0,20.0
yehI,13.0,8.0,6.0
yehK,2.0,4.0,0.0
yehL,3.0,1.0,3.0
yehM,7.0,9.0,7.0
yehP,9.0,4.0,5.0
yehQ,7.0,8.0,4.0
yehR,16.0,5.0,12.0
yehS,15.0,19.0,16.0
yehT,28.0,35.0,29.0
yehU,4.0,4.0,11.0
yehW,2.0,3.0,3.0
yehX,0.0,1.0,0.0
yehY,1.0,3.0,4.0
yehZ,11.0,8.0,6.0
yeiA,16.0,17.0,17.0
yeiB,0.0,2.0,0.0
yeiC,14.0,7.0,14.0
yeiE,0.0,0.0,1.0
yeiG,0.0,1.0,0.0
yeiH,7.0,8.0,8.0
yeiI,6.0,4.0,15.0
yeiJ,13.0,13.0,11.0
yeiL,7.0,5.0,2.0
yeiM,14.0,8.0,10.0
yeiN,19.0,11.0,15.0
yeiP,7.0,12.0,7.0
yeiQ,15.0,21.0,21.0
yeiS,0.0,0.0,0.0
yeiT,6.0,12.0,9.0
yeiU,19.0,15.0,22.0
yejA,14.0,12.0,10.0
yejB,6.0,15.0,15.0
yejE,7.0,8.0,18.0
yejF,1.0,3.0,1.0
yejG,2.0,2.0,0.0
yejH,9.0,7.0,9.0
yejK,40.0,40.0,34.0
yejM,13.0,5.0,6.0
yejO,28.0,31.0,21.0
yfaA,25.0,18.0,16.0
yfaD,22.0,26.0,21.0
yfaE,0.0,0.0,0.0
yfaH,6.0,13.0,11.0
yfaL,7.0,11.0,16.0
yfaP,12.0,21.0,12.0
yfaQ,8.0,7.0,10.0
yfaS,7.0,13.0,10.0
yfaT,5.0,20.0,12.0
yfaV,0.0,4.0,0.0
yfaW,1.0,0.0,1.0
yfaX,18.0,11.0,13.0
yfaY,3.0,2.0,3.0
yfaZ,4.0,0.0,4.0
yfbB,8.0,6.0,2.0
yfbH,18.0,8.0,11.0
yfbJ,3.0,1.0,4.0
yfbK,18.0,17.0,16.0
yfbL,8.0,16.0,14.0
yfbM,6.0,14.0,7.0
yfbN,36.0,17.0,21.0
yfbO,1.0,3.0,1.0
yfbP,43.0,38.0,29.0
yfbQ,48.0,48.0,31.0
yfbR,0.0,0.0,4.0
yfbS,15.0,19.0,13.0
yfbT,18.0,6.0,14.0
yfbU,33.0,24.0,29.0
yfbV,2.0,4.0,1.0
yfbW,0.0,1.0,0.0
yfcA,0.0,0.0,1.0
yfcC,12.0,9.0,8.0
yfcD,2.0,0.0,2.0
yfcE,1.0,0.0,0.0
yfcF,4.0,6.0,8.0
yfcG,11.0,12.0,10.0
yfcH,8.0,7.0,2.0
yfcI,10.0,9.0,7.0
yfcJ,3.0,2.0,1.0
yfcL,2.0,11.0,6.0
yfcM,3.0,0.0,0.0
yfcN,0.0,0.0,0.0
yfcO,48.0,49.0,47.0
yfcP,1.0,3.0,9.0
yfcQ,1.0,2.0,4.0
yfcR,8.0,6.0,9.0
yfcS,12.0,4.0,8.0
yfcU,29.0,18.0,23.0
yfcV,74.0,60.0,80.0
yfcY,0.0,2.0,1.0
yfcZ,1.0,0.0,0.0
yfdC,5.0,3.0,1.0
yfdE,28.0,20.0,17.0
yfdF,20.0,6.0,10.0
yfdG,19.0,14.0,19.0
yfdH,69.0,75.0,74.0
yfdI,5.0,5.0,4.0
yfdK,11.0,6.0,7.0
yfdL,3.0,1.0,0.0
yfdM,1.0,0.0,0.0
yfdN,1.0,0.0,2.0
yfdO,2.0,3.0,4.0
yfdP,2.0,5.0,2.0
yfdQ,16.0,19.0,20.0
yfdR,20.0,25.0,20.0
yfdS,8.0,3.0,4.0
yfdT,2.0,3.0,0.0
yfdV,13.0,8.0,20.0
yfdX,26.0,17.0,17.0
yfdY,6.0,6.0,4.0
yfdZ,0.0,0.0,0.0
yfeA,36.0,32.0,31.0
yfeC,9.0,9.0,3.0
yfeD,3.0,5.0,2.0
yfeG,0.0,2.0,0.0
yfeH,4.0,4.0,5.0
yfeK,7.0,10.0,8.0
yfeN,9.0,10.0,17.0
yfeO,4.0,6.0,2.0
yfeR,1.0,0.0,0.0
yfeS,26.0,25.0,31.0
yfeT,27.0,31.0,44.0
yfeU,4.0,4.0,4.0
yfeW,2.0,5.0,5.0
yfeY,22.0,19.0,20.0
yfeZ,4.0,3.0,3.0
yffI,1.0,1.0,2.0
yffL,4.0,10.0,8.0
yffN,3.0,4.0,5.0
yffO,5.0,2.0,10.0
yffP,5.0,3.0,8.0
yffQ,19.0,25.0,23.0
yffR,5.0,7.0,5.0
yffS,6.0,5.0,6.0
yfgA,9.0,9.0,7.0
yfgB,92.0,67.0,67.0
yfgC,5.0,3.0,5.0
yfgD,12.0,11.0,12.0
yfgF,4.0,14.0,11.0
yfgH,7.0,14.0,11.0
yfgI,18.0,16.0,16.0
yfgJ,0.0,0.0,1.0
yfgL,32.0,45.0,25.0
yfgM,18.0,18.0,19.0
yfgO,0.0,0.0,1.0
yfhA,35.0,20.0,39.0
yfhB,1.0,0.0,0.0
yfhD,25.0,18.0,17.0
yfhG,0.0,0.0,0.0
yfhH,24.0,17.0,16.0
yfhJ,23.0,21.0,24.0
yfhK,7.0,2.0,12.0
yfhL,89.0,87.0,75.0
yfhM,40.0,38.0,48.0
yfhQ,15.0,25.0,14.0
yfhR,2.0,2.0,0.0
yfiB,20.0,17.0,12.0
yfiC,15.0,13.0,11.0
yfiD,8.0,8.0,7.0
yfiE,5.0,3.0,4.0
yfiF,14.0,19.0,11.0
yfiH,2.0,0.0,1.0
yfiK,2.0,0.0,2.0
yfiL,2.0,6.0,3.0
yfiM,0.0,0.0,0.0
yfiN,6.0,2.0,7.0
yfiO,10.0,5.0,4.0
yfiP,2.0,0.0,0.0
yfiQ,3.0,2.0,2.0
yfiR,11.0,12.0,15.0
yfjD,44.0,38.0,42.0
yfjF,3.0,0.0,2.0
yfjG,6.0,4.0,4.0
yfjH,37.0,43.0,37.0
yfjI,31.0,25.0,21.0
yfjJ,16.0,14.0,13.0
yfjK,15.0,16.0,11.0
yfjL,8.0,15.0,7.0
yfjM,12.0,18.0,16.0
yfjN,60.0,53.0,34.0
yfjO,184.0,153.0,150.0
yfjP,3.0,3.0,13.0
yfjQ,0.0,0.0,0.0
yfjR,1.0,2.0,0.0
yfjS,9.0,12.0,6.0
yfjT,1.0,1.0,5.0
yfjU,17.0,6.0,9.0
yfjV,6.0,9.0,6.0
yfjW,5.0,9.0,3.0
yfjX,4.0,13.0,11.0
yfjY,0.0,3.0,0.0
yfjZ,5.0,4.0,3.0
ygaC,4.0,9.0,3.0
ygaM,11.0,19.0,22.0
ygaP,9.0,16.0,10.0
ygaQ,46.0,36.0,48.0
ygaT,22.0,16.0,14.0
ygaU,5.0,7.0,4.0
ygaW,19.0,20.0,13.0
ygaY,12.0,12.0,7.0
ygaZ,1.0,2.0,0.0
ygbF,14.0,8.0,13.0
ygbI,58.0,36.0,34.0
ygbJ,7.0,4.0,8.0
ygbK,3.0,9.0,6.0
ygbL,17.0,7.0,13.0
ygbM,0.0,6.0,7.0
ygbN,35.0,23.0,30.0
ygbT,37.0,39.0,21.0
ygcB,7.0,6.0,3.0
ygcE,15.0,17.0,30.0
ygcF,6.0,6.0,7.0
ygcG,16.0,15.0,17.0
ygcH,20.0,18.0,27.0
ygcI,13.0,14.0,8.0
ygcJ,5.0,12.0,7.0
ygcK,10.0,23.0,16.0
ygcL,29.0,33.0,22.0
ygcN,1.0,2.0,5.0
ygcP,27.0,24.0,12.0
ygcQ,0.0,0.0,1.0
ygcR,4.0,5.0,6.0
ygcS,4.0,16.0,14.0
ygcU,15.0,11.0,24.0
ygcW,9.0,7.0,9.0
ygdD,0.0,0.0,0.0
ygdE,69.0,56.0,64.0
ygdH,14.0,11.0,8.0
ygdI,15.0,11.0,19.0
ygdK,6.0,14.0,12.0
ygdL,1.0,1.0,2.0
ygdQ,1.0,4.0,3.0
ygdR,0.0,1.0,0.0
ygeD,26.0,34.0,26.0
ygeF,0.0,0.0,0.0
ygeG,3.0,3.0,0.0
ygeH,11.0,9.0,10.0
ygeI,1.0,0.0,0.0
ygeK,11.0,19.0,20.0
ygeN,8.0,10.0,9.0
ygeO,4.0,0.0,0.0
ygeQ,236.0,215.0,211.0
ygeR,79.0,72.0,69.0
ygeV,10.0,10.0,9.0
ygeW,2.0,2.0,3.0
ygeX,7.0,5.0,10.0
ygeY,1.0,4.0,12.0
ygfA,1.0,2.0,0.0
ygfB,16.0,23.0,22.0
ygfF,1.0,0.0,0.0
ygfG,21.0,16.0,17.0
ygfH,9.0,10.0,9.0
ygfI,11.0,6.0,9.0
ygfJ,29.0,15.0,24.0
ygfK,20.0,13.0,16.0
ygfM,4.0,4.0,1.0
ygfO,14.0,13.0,15.0
ygfQ,7.0,2.0,6.0
ygfT,22.0,18.0,26.0
ygfU,2.0,2.0,3.0
ygfY,20.0,15.0,23.0
ygfZ,14.0,6.0,5.0
yggC,18.0,18.0,13.0
yggD,19.0,22.0,20.0
yggE,18.0,26.0,27.0
yggG,1.0,0.0,0.0
yggJ,18.0,19.0,18.0
yggL,30.0,14.0,17.0
yggM,1.0,7.0,4.0
yggN,11.0,10.0,9.0
yggP,6.0,7.0,7.0
yggR,7.0,8.0,12.0
yggS,7.0,7.0,12.0
yggT,11.0,10.0,15.0
yggU,0.0,1.0,0.0
yggV,11.0,7.0,7.0
yggW,9.0,17.0,10.0
yggX,3.0,2.0,1.0
yghA,3.0,0.0,2.0
yghB,17.0,22.0,23.0
yghD,5.0,5.0,3.0
yghF,30.0,26.0,22.0
yghG,0.0,0.0,1.0
yghJ,33.0,15.0,14.0
yghO,12.0,20.0,15.0
yghQ,2.0,5.0,3.0
yghR,6.0,8.0,6.0
yghS,3.0,6.0,8.0
yghT,8.0,3.0,7.0
yghU,1.0,2.0,0.0
yghW,7.0,9.0,11.0
yghX,0.0,3.0,4.0
yghY,7.0,4.0,7.0
yghZ,24.0,23.0,18.0
ygiB,2.0,3.0,2.0
ygiC,65.0,64.0,51.0
ygiD,0.0,2.0,1.0
ygiF,4.0,7.0,8.0
ygiH,9.0,8.0,5.0
ygiL,21.0,13.0,9.0
ygiN,6.0,4.0,2.0
ygiP,2.0,2.0,1.0
ygiQ,2.0,4.0,1.0
ygiS,171.0,177.0,156.0
ygiT,34.0,29.0,29.0
ygiV,0.0,0.0,1.0
ygiW,10.0,11.0,13.0
ygiZ,1.0,1.0,1.0
ygjD,4.0,4.0,2.0
ygjG,33.0,35.0,25.0
ygjH,4.0,4.0,5.0
ygjI,9.0,4.0,5.0
ygjJ,1.0,3.0,1.0
ygjK,12.0,20.0,12.0
ygjM,4.0,0.0,2.0
ygjN,15.0,19.0,13.0
ygjO,6.0,4.0,4.0
ygjP,8.0,8.0,5.0
ygjQ,3.0,3.0,1.0
ygjR,7.0,3.0,3.0
ygjV,1.0,6.0,5.0
yhaB,5.0,4.0,9.0
yhaC,5.0,8.0,5.0
yhaH,0.0,0.0,1.0
yhaI,4.0,6.0,2.0
yhaJ,7.0,3.0,5.0
yhaK,8.0,7.0,8.0
yhaL,2.0,0.0,0.0
yhaM,2.0,3.0,4.0
yhaO,6.0,10.0,15.0
yhaV,74.0,85.0,92.0
yhbC,46.0,36.0,37.0
yhbE,19.0,21.0,18.0
yhbG,1.0,0.0,4.0
yhbJ,3.0,4.0,2.0
yhbN,23.0,14.0,23.0
yhbO,4.0,0.0,1.0
yhbP,5.0,7.0,9.0
yhbS,10.0,14.0,9.0
yhbT,6.0,8.0,11.0
yhbU,0.0,0.0,0.0
yhbV,1.0,0.0,0.0
yhbW,4.0,4.0,2.0
yhbX,27.0,16.0,21.0
yhbY,0.0,0.0,0.0
yhcA,13.0,17.0,22.0
yhcB,52.0,41.0,45.0
yhcC,1.0,2.0,2.0
yhcD,9.0,7.0,13.0
yhcE,7.0,7.0,4.0
yhcF,31.0,16.0,24.0
yhcG,18.0,34.0,24.0
yhcH,3.0,3.0,5.0
yhcM,13.0,12.0,11.0
