,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
iscA,51.0,53.0,47.0
iscR,74.0,68.0,75.0
iscS,6.0,8.0,4.0
iscU,355.0,298.0,336.0
ispA,1.0,0.0,1.0
ispB,23.0,27.0,24.0
ispD,26.0,27.0,25.0
ispE,28.0,33.0,15.0
ispF,11.0,14.0,11.0
ispG,26.0,22.0,12.0
ispH,17.0,23.0,17.0
ispU,115.0,122.0,105.0
ivbL,13.0,19.0,7.0
ivy,14.0,9.0,15.0
kanR,2437.0,2211.0,2081.0
katE,27.0,26.0,20.0
katG,64.0,78.0,70.0
kbaY,2.0,2.0,2.0
kbl,4.0,2.0,0.0
kch,29.0,23.0,19.0
kdgR,12.0,9.0,6.0
kdgT,4.0,6.0,4.0
kdpA,7.0,5.0,3.0
kdpB,1.0,0.0,1.0
kdpC,1.0,2.0,1.0
kdpD,15.0,18.0,13.0
kdsA,32.0,26.0,25.0
kdsB,5.0,8.0,5.0
kdsC,10.0,16.0,21.0
kdsD,23.0,28.0,37.0
kdtA,13.0,7.0,12.0
kduD,7.0,11.0,13.0
kduI,9.0,6.0,11.0
kefA,27.0,26.0,14.0
kefB,12.0,8.0,26.0
kefC,5.0,2.0,2.0
kefF,2.0,0.0,2.0
kefG,6.0,9.0,10.0
kgtP,582.0,583.0,607.0
kil,3.0,2.0,3.0
kptA,18.0,5.0,15.0
ksgA,4.0,4.0,7.0
lafU,4.0,1.0,5.0
lamB,10.0,3.0,1.0
lar,3.0,0.0,1.0
ldcA,9.0,8.0,10.0
ldcC,6.0,8.0,7.0
ldhA,22.0,14.0,17.0
ldrB,2.0,8.0,6.0
ldrC,3.0,0.0,3.0
ldrD,5.0,3.0,2.0
lepA,96.0,98.0,115.0
lepB,17.0,9.0,13.0
leuA,4.0,13.0,11.0
leuB,1.0,0.0,0.0
leuC,16.0,12.0,11.0
leuD,3.0,0.0,0.0
leuL,2.0,1.0,0.0
leuO,11.0,8.0,3.0
leuS,66.0,59.0,59.0
lfhA,1.0,0.0,0.0
lgt,1.0,3.0,2.0
lhr,0.0,1.0,2.0
ligA,41.0,50.0,58.0
