,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
tdcG,4.0,6.0,8.0,20.0,20.0,12.0,126.0,113.0,106.0,174.0,189.0,194.0,252.0,264.0,290.0
tdcR,1.0,0.0,2.0,3.0,3.0,7.0,41.0,33.0,38.0,61.0,67.0,51.0,115.0,110.0,121.0
tdh,17.0,20.0,20.0,9.0,17.0,15.0,30.0,20.0,35.0,39.0,50.0,40.0,36.0,46.0,40.0
tdk,6.0,3.0,1.0,8.0,12.0,9.0,26.0,47.0,43.0,54.0,47.0,56.0,86.0,90.0,85.0
tehA,3.0,1.0,2.0,2.0,2.0,3.0,9.0,13.0,6.0,24.0,28.0,24.0,28.0,29.0,23.0
tehB,13.0,7.0,6.0,16.0,11.0,12.0,34.0,46.0,46.0,60.0,52.0,59.0,93.0,92.0,94.0
tesA,1.0,0.0,4.0,8.0,7.0,9.0,32.0,21.0,44.0,65.0,54.0,69.0,92.0,83.0,107.0
tesB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,4.0
tetR,214.0,245.0,238.0,459.0,469.0,489.0,2163.0,2325.0,2305.0,4014.0,4191.0,4171.0,5620.0,5623.0,5581.0
tfaE,7.0,5.0,5.0,27.0,28.0,26.0,219.0,208.0,167.0,338.0,321.0,316.0,453.0,476.0,504.0
tfaS,1.0,0.0,0.0,3.0,6.0,5.0,31.0,41.0,37.0,96.0,60.0,74.0,80.0,92.0,115.0
tff,2554.0,2616.0,2663.0,6487.0,6138.0,5543.0,28307.0,28488.0,28470.0,48215.0,50341.0,48541.0,68216.0,68647.0,68021.0
tgt,45.0,52.0,44.0,93.0,79.0,79.0,163.0,161.0,166.0,185.0,213.0,204.0,215.0,223.0,214.0
thiC,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,2.0,9.0,5.0,3.0,3.0,7.0,11.0
thiD,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,6.0,1.0,1.0,4.0,0.0
thiF,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,3.0,7.0,4.0
thiH,0.0,1.0,0.0,4.0,2.0,5.0,10.0,15.0,20.0,41.0,52.0,33.0,53.0,37.0,41.0
thiI,16.0,12.0,31.0,38.0,51.0,40.0,136.0,127.0,111.0,197.0,182.0,175.0,254.0,254.0,225.0
thiK,5.0,0.0,3.0,5.0,5.0,4.0,23.0,21.0,26.0,33.0,34.0,41.0,62.0,48.0,58.0
thiL,8.0,17.0,14.0,21.0,24.0,10.0,85.0,98.0,96.0,149.0,146.0,140.0,168.0,183.0,205.0
thiM,0.0,0.0,0.0,6.0,8.0,2.0,13.0,14.0,12.0,12.0,15.0,18.0,12.0,37.0,18.0
