,EXP_A,EXP_B,EXP_C
Unnamed: 1,709.0,753.0,751.0
GFP,1120.0,1142.0,1105.0
INTR_alaXW,69.0,75.0,55.0
LELOBEKK,36.0,27.0,29.0
LELOBEKK_appX,5.0,2.0,3.0
LELOBEKK_araC,0.0,1.0,1.0
LELOBEKK_atl,0.0,0.0,0.0
LELOBEKK_ccdA,0.0,0.0,0.0
LELOBEKK_fdoG,0.0,0.0,0.0
LELOBEKK_finO,1.0,2.0,3.0
LELOBEKK_flmC,1.0,3.0,1.0
LELOBEKK_galK,0.0,0.0,0.0
LELOBEKK_galT,0.0,0.0,0.0
LELOBEKK_gap,1.0,2.0,1.0
LELOBEKK_gpt,0.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0
LELOBEKK_lacI,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,0.0
LELOBEKK_lacZ,2.0,1.0,0.0
LELOBEKK_lexA,0.0,0.0,0.0
LELOBEKK_malE,0.0,1.0,3.0
LELOBEKK_mpaA,2.0,0.0,3.0
LELOBEKK_pheS,0.0,0.0,0.0
LELOBEKK_psiB,0.0,0.0,0.0
LELOBEKK_rpsL,0.0,0.0,0.0
LELOBEKK_sgrT,0.0,0.0,1.0
LELOBEKK_tisB,5.0,0.0,1.0
LELOBEKK_traJ,0.0,1.0,1.0
LELOBEKK_traQ,0.0,2.0,1.0
LELOBEKK_traY,1.0,2.0,0.0
LELOBEKK_trpA,0.0,1.0,1.0
LELOBEKK_trxA,0.0,0.0,0.0
LELOBEKK_uidA,0.0,0.0,0.0
LELOBEKK_yedR,0.0,0.0,0.0
LELOBEKK_ylpA,0.0,0.0,0.0
LELOBEKK_yneM,0.0,1.0,0.0
LELOBEKK_ynhF,1.0,2.0,2.0
LELOBEKK_yshB,2.0,1.0,1.0
LELOBEKKtfaE,1.0,1.0,1.0
LacI,37848.0,37909.0,38708.0
MS2_fwd,9.0,8.0,4.0
YFP,7.0,8.0,3.0
aaeA,10.0,8.0,5.0
aaeB,3.0,3.0,10.0
aaeR,3.0,5.0,2.0
aaeX,1.0,0.0,0.0
aas,7.0,1.0,4.0
aat,1.0,0.0,1.0
abgB,2.0,3.0,5.0
abgR,3.0,7.0,18.0
abgT,2.0,2.0,0.0
abrB,0.0,0.0,1.0
accA,120.0,111.0,109.0
accB,135.0,126.0,114.0
accC,46.0,46.0,40.0
accD,8.0,8.0,12.0
aceA,867.0,940.0,886.0
aceB,378.0,342.0,324.0
aceE,80.0,79.0,84.0
aceF,144.0,131.0,124.0
aceK,23.0,16.0,21.0
ackA,22.0,21.0,27.0
acnA,13.0,16.0,27.0
acnB,59.0,74.0,51.0
acpP,443.0,423.0,465.0
acpS,0.0,3.0,0.0
acpT,0.0,0.0,0.0
acrA,6.0,2.0,5.0
acrB,8.0,8.0,8.0
acrD,0.0,0.0,1.0
acrE,0.0,0.0,0.0
acrF,3.0,3.0,1.0
acrR,15.0,19.0,15.0
acs,80.0,78.0,84.0
actP,11.0,23.0,24.0
add,1.0,2.0,1.0
ade,1.0,2.0,2.0
adhE,64.0,51.0,44.0
adhP,6.0,14.0,13.0
adiA,0.0,1.0,6.0
adiC,0.0,0.0,0.0
adiY,1.0,2.0,0.0
adk,3.0,3.0,2.0
aegA,2.0,7.0,3.0
aer,2.0,2.0,0.0
aes,1.0,0.0,2.0
afuB,0.0,1.0,0.0
afuC,5.0,2.0,2.0
agaB,2.0,3.0,0.0
agaC,0.0,0.0,0.0
agaD,1.0,0.0,1.0
agaI,1.0,2.0,0.0
agaR,0.0,0.0,1.0
agaS,0.0,0.0,0.0
agaV,0.0,0.0,0.0
agaW,1.0,0.0,0.0
agp,22.0,32.0,28.0
ahpC,343.0,307.0,359.0
ahpF,5.0,4.0,10.0
aidB,0.0,2.0,0.0
ais,1.0,5.0,1.0
alaS,69.0,62.0,79.0
alaw,7546.0,7577.0,8442.0
aldA,635.0,579.0,638.0
aldB,0.0,1.0,3.0
alkB,2.0,2.0,1.0
allA,0.0,2.0,1.0
allB,3.0,2.0,4.0
allC,9.0,9.0,0.0
allD,1.0,0.0,1.0
allR,16.0,21.0,14.0
alr,0.0,5.0,4.0
alsA,1.0,1.0,2.0
alsB,4.0,8.0,3.0
alsC,2.0,1.0,0.0
alsE,0.0,0.0,1.0
alsK,0.0,3.0,1.0
alx,0.0,1.0,0.0
amiA,27.0,25.0,21.0
amiB,19.0,14.0,28.0
amiC,1.0,0.0,0.0
amn,3.0,8.0,5.0
ampC,2.0,4.0,0.0
ampD,0.0,0.0,1.0
ampE,9.0,6.0,9.0
ampG,11.0,6.0,15.0
ampH,2.0,4.0,2.0
ampR,5652.0,5666.0,5846.0
amyA,50.0,49.0,63.0
anmK,1.0,0.0,2.0
ansA,10.0,9.0,18.0
ansB,0.0,3.0,2.0
ansP,0.0,0.0,0.0
apaG,5.0,4.0,7.0
apaH,2.0,5.0,4.0
aphA,149.0,148.0,149.0
appA,4.0,3.0,8.0
appB,1.0,2.0,1.0
appC,2.0,0.0,0.0
appY,0.0,0.0,0.0
apt,0.0,2.0,1.0
aqpZ,0.0,0.0,0.0
araA,0.0,0.0,0.0
araB,0.0,0.0,0.0
araD,0.0,0.0,1.0
araE,0.0,0.0,0.0
araF,21.0,16.0,22.0
araG,9.0,7.0,7.0
araH,0.0,1.0,3.0
araJ,0.0,1.0,1.0
arcA,43.0,50.0,39.0
arcB,10.0,7.0,18.0
argA,3.0,0.0,5.0
argB,0.0,0.0,1.0
argC,6.0,1.0,1.0
argD,15.0,21.0,16.0
argE,3.0,5.0,1.0
argF,0.0,0.0,1.0
argG,11.0,9.0,16.0
argH,4.0,2.0,6.0
argI,0.0,5.0,1.0
argK,0.0,0.0,1.0
argO,1.0,0.0,1.0
argP,0.0,0.0,0.0
argR,19.0,18.0,14.0
argS,9.0,7.0,18.0
argT,17.0,10.0,9.0
arnA,2.0,6.0,3.0
arnB,2.0,0.0,4.0
arnC,2.0,0.0,1.0
arnT,4.0,0.0,11.0
aroA,14.0,15.0,8.0
aroB,12.0,8.0,7.0
aroC,0.0,0.0,1.0
aroD,6.0,3.0,6.0
aroE,5.0,7.0,13.0
aroF,6.0,7.0,9.0
aroG,19.0,11.0,14.0
aroH,30.0,21.0,27.0
aroK,53.0,54.0,45.0
aroL,0.0,0.0,0.0
aroM,15.0,13.0,12.0
aroP,16.0,15.0,27.0
arpA,1.0,0.0,1.0
arpB,1.0,2.0,10.0
arsB,1.0,1.0,1.0
arsC,0.0,0.0,0.0
arsR,0.0,1.0,0.0
artI,51.0,47.0,51.0
artJ,1.0,9.0,3.0
artM,8.0,10.0,3.0
artP,2.0,0.0,0.0
artQ,7.0,8.0,10.0
ascB,4.0,5.0,0.0
ascF,0.0,0.0,0.0
ascG,8.0,3.0,2.0
asd,18.0,41.0,24.0
aslA,0.0,1.0,0.0
aslB,3.0,4.0,2.0
asmA,10.0,14.0,14.0
asnA,9.0,10.0,9.0
asnB,15.0,8.0,16.0
asnC,0.0,0.0,0.0
asnS,5.0,4.0,3.0
aspA,318.0,301.0,346.0
aspC,112.0,103.0,108.0
aspS,29.0,30.0,34.0
aspv,18055.0,18433.0,19169.0
asr,0.0,0.0,1.0
astA,0.0,0.0,0.0
astB,14.0,12.0,0.0
astC,3.0,6.0,3.0
astD,3.0,1.0,2.0
astE,2.0,2.0,0.0
atoA,0.0,0.0,0.0
atoB,0.0,3.0,0.0
atoC,7.0,5.0,3.0
atoE,1.0,1.0,1.0
atoS,4.0,5.0,3.0
atpA,421.0,420.0,486.0
atpB,7.0,2.0,2.0
atpC,3.0,1.0,0.0
atpD,36.0,39.0,30.0
atpE,36.0,25.0,28.0
atpF,1.0,0.0,0.0
atpG,62.0,73.0,77.0
atpH,275.0,264.0,275.0
atpI,0.0,0.0,0.0
avtA,18.0,9.0,10.0
azoR,2.0,5.0,4.0
baeR,0.0,0.0,0.0
baeS,5.0,5.0,6.0
barA,20.0,14.0,17.0
basR,13.0,1.0,15.0
basS,2.0,3.0,0.0
bax,136.0,120.0,107.0
bcp,20.0,15.0,21.0
bcr,5.0,1.0,0.0
bcsB,1.0,2.0,0.0
bcsC,0.0,1.0,0.0
bcsE,4.0,10.0,2.0
bcsF,0.0,1.0,0.0
bcsG,9.0,9.0,4.0
bcsZ,0.0,2.0,0.0
bdm,6.0,2.0,3.0
betA,1.0,0.0,0.0
betT,8.0,3.0,4.0
bfd,0.0,0.0,0.0
bfr,9.0,17.0,7.0
bglA,18.0,42.0,33.0
bglB,0.0,2.0,0.0
bglF,3.0,2.0,3.0
bglG,5.0,2.0,7.0
bglH,3.0,2.0,6.0
bglJ,5.0,0.0,4.0
bglX,6.0,13.0,9.0
bioA,3.0,3.0,1.0
bioB,1.0,3.0,0.0
bioC,3.0,4.0,2.0
bioD,16.0,18.0,9.0
bioF,0.0,2.0,2.0
bioH,0.0,2.0,3.0
bipA,96.0,78.0,84.0
birA,10.0,20.0,15.0
bisC,1.0,6.0,1.0
blc,0.0,0.0,0.0
blr,4.0,3.0,0.0
bolA,12.0,11.0,14.0
brnQ,0.0,0.0,0.0
bssR,2.0,1.0,0.0
bssS,0.0,0.0,4.0
btuB,45.0,23.0,33.0
btuC,1.0,0.0,0.0
btuD,2.0,2.0,1.0
btuE,0.0,4.0,2.0
btuF,0.0,1.0,3.0
btuR,15.0,11.0,17.0
cadA,1.0,0.0,0.0
cadB,2.0,0.0,0.0
cadC,1.0,0.0,2.0
caiA,1.0,0.0,0.0
caiB,2.0,0.0,2.0
caiC,6.0,6.0,1.0
caiD,1.0,0.0,1.0
caiE,1.0,3.0,1.0
caiF,11.0,18.0,10.0
caiT,2.0,4.0,1.0
camR,9.0,3.0,9.0
can,2.0,12.0,8.0
carA,20.0,13.0,13.0
carB,26.0,19.0,21.0
cbl,3.0,6.0,5.0
cbpA,3.0,0.0,2.0
cbpM,1.0,3.0,1.0
cbrA,0.0,0.0,1.0
cbrC,3.0,5.0,11.0
cca,9.0,2.0,3.0
cchB,2.0,1.0,0.0
ccmA,0.0,0.0,2.0
ccmE,0.0,0.0,0.0
ccmF,0.0,0.0,0.0
ccmG,5.0,2.0,2.0
ccmH,1.0,0.0,0.0
cdaR,0.0,2.0,3.0
cdd,79.0,69.0,88.0
cdh,16.0,13.0,13.0
cdsA,9.0,12.0,15.0
cedA,0.0,0.0,0.0
cfa,9.0,13.0,12.0
chaA,2.0,5.0,2.0
chaB,0.0,0.0,0.0
chaC,2.0,0.0,2.0
chbA,1.0,0.0,1.0
chbB,0.0,0.0,0.0
chbC,8.0,16.0,11.0
chbF,3.0,5.0,2.0
chbG,2.0,1.0,4.0
chbR,10.0,0.0,0.0
cheA,304.0,316.0,338.0
cheB,68.0,59.0,55.0
cheR,0.0,0.0,1.0
cheW,157.0,159.0,153.0
cheY,2.0,2.0,1.0
cheZ,81.0,75.0,75.0
chiA,4.0,7.0,2.0
cho,4.0,6.0,4.0
chpA,2.0,1.0,1.0
chpR,8.0,14.0,18.0
cirA,43.0,44.0,55.0
citA,4.0,8.0,0.0
citB,2.0,4.0,1.0
citC,3.0,1.0,3.0
citE,0.0,1.0,0.0
citF,0.0,0.0,0.0
citT,0.0,1.0,0.0
citX,0.0,0.0,0.0
clcA,7.0,7.0,8.0
clcB,2.0,2.0,2.0
cld,126.0,129.0,134.0
clpA,72.0,54.0,54.0
clpB,44.0,58.0,47.0
clpP,1.0,1.0,0.0
clpS,0.0,0.0,0.0
clpX,123.0,104.0,105.0
cls,21.0,17.0,7.0
cmk,66.0,80.0,54.0
cmr,0.0,0.0,3.0
cmtA,9.0,6.0,0.0
cmtB,1.0,0.0,2.0
coaA,21.0,17.0,14.0
coaD,1.0,8.0,4.0
coaE,9.0,9.0,7.0
cobB,6.0,5.0,10.0
cobC,1.0,0.0,2.0
cobS,5.0,1.0,1.0
cobT,3.0,0.0,1.0
cobU,5.0,0.0,5.0
codA,0.0,0.0,0.0
codB,20.0,8.0,9.0
cof,7.0,1.0,5.0
copA,4.0,3.0,2.0
corA,12.0,16.0,12.0
cpdA,0.0,0.0,1.0
cpdB,10.0,3.0,16.0
cpsB,2.0,0.0,2.0
cpsG,1.0,1.0,0.0
cpxA,19.0,22.0,24.0
cpxP,15.0,3.0,8.0
cpxR,22.0,29.0,25.0
crcA,1.0,1.0,0.0
crcB,2.0,0.0,0.0
creA,1.0,0.0,1.0
creB,0.0,1.0,0.0
creC,14.0,8.0,16.0
creD,2.0,7.0,2.0
crl,7.0,14.0,17.0
crp,39.0,27.0,46.0
crr,162.0,156.0,154.0
csdA,0.0,0.0,1.0
csgA,0.0,0.0,0.0
csgB,0.0,2.0,0.0
csgC,8.0,12.0,18.0
csgD,4.0,0.0,3.0
csgE,0.0,1.0,1.0
csgF,1.0,1.0,1.0
csgG,0.0,2.0,1.0
csiE,12.0,19.0,6.0
csiR,10.0,6.0,5.0
cspA,130.0,114.0,145.0
cspB,0.0,0.0,0.0
cspC,5.0,5.0,9.0
cspD,9.0,18.0,25.0
cspE,117.0,125.0,90.0
cspG,0.0,4.0,2.0
cspH,0.0,0.0,0.0
cspI,0.0,0.0,0.0
csrA,8.0,2.0,9.0
csrb,2720.0,2767.0,2755.0
cstA,127.0,123.0,129.0
cueO,14.0,3.0,10.0
cusA,0.0,2.0,2.0
cusB,1.0,1.0,0.0
cusC,2.0,4.0,1.0
cusF,0.0,1.0,4.0
cusR,12.0,7.0,7.0
cusS,5.0,0.0,1.0
cutA,0.0,0.0,1.0
cutC,2.0,2.0,0.0
cvpA,15.0,21.0,12.0
cvrA,26.0,26.0,21.0
cyaA,7.0,11.0,12.0
cyaY,1.0,0.0,0.0
cybB,5.0,2.0,4.0
cybC,0.0,0.0,0.0
cycA,45.0,30.0,47.0
cydA,2.0,4.0,1.0
cydB,6.0,5.0,3.0
cydC,7.0,5.0,16.0
cydD,18.0,8.0,7.0
cynR,0.0,0.0,1.0
cynS,4.0,9.0,2.0
cynT,4.0,2.0,0.0
cynX,6.0,0.0,6.0
cyoA,287.0,297.0,301.0
cyoB,87.0,68.0,60.0
cyoC,35.0,32.0,33.0
cyoD,8.0,14.0,9.0
cyoE,14.0,14.0,7.0
cysA,5.0,0.0,2.0
cysB,19.0,18.0,28.0
cysC,1.0,4.0,5.0
cysD,38.0,35.0,37.0
cysE,0.0,0.0,1.0
cysG,0.0,3.0,7.0
cysH,34.0,23.0,27.0
cysI,16.0,7.0,10.0
cysJ,3.0,4.0,8.0
cysK,387.0,434.0,428.0
cysM,0.0,3.0,2.0
cysN,9.0,7.0,4.0
cysQ,0.0,0.0,0.0
cysS,8.0,2.0,1.0
cysU,8.0,14.0,3.0
cysW,0.0,0.0,0.0
cysZ,2.0,4.0,0.0
cytR,17.0,17.0,19.0
dacA,20.0,29.0,26.0
dacB,15.0,9.0,10.0
dacC,13.0,25.0,23.0
dacD,11.0,1.0,3.0
dadA,6.0,5.0,5.0
dadX,1.0,4.0,2.0
dam,9.0,15.0,9.0
damX,20.0,12.0,9.0
dapA,94.0,116.0,102.0
dapB,10.0,11.0,11.0
dapD,9.0,14.0,14.0
dapE,4.0,4.0,7.0
dapF,2.0,0.0,1.0
dbpA,1.0,0.0,2.0
dcd,4.0,1.0,1.0
dcm,0.0,0.0,0.0
dcp,7.0,15.0,11.0
dcrB,8.0,7.0,14.0
dctA,241.0,232.0,263.0
dcuA,11.0,3.0,6.0
dcuB,0.0,1.0,1.0
dcuC,0.0,1.0,0.0
dcuD,1.0,1.0,2.0
dcuR,16.0,18.0,14.0
dcuS,11.0,6.0,14.0
dcyD,12.0,16.0,20.0
ddlA,11.0,3.0,4.0
ddlB,15.0,13.0,7.0
ddpA,3.0,0.0,0.0
ddpC,2.0,0.0,0.0
ddpD,0.0,0.0,0.0
ddpF,1.0,0.0,1.0
ddpX,2.0,4.0,2.0
deaD,28.0,28.0,22.0
dedA,2.0,5.0,10.0
dedD,9.0,6.0,6.0
def,27.0,9.0,9.0
degP,25.0,27.0,54.0
degQ,7.0,4.0,3.0
degS,0.0,1.0,3.0
deoA,131.0,105.0,117.0
deoB,94.0,75.0,81.0
deoC,12.0,12.0,17.0
deoD,23.0,18.0,16.0
deoR,1.0,0.0,5.0
der,6.0,8.0,8.0
dfp,16.0,14.0,11.0
dgoA,0.0,0.0,0.0
dgoD,10.0,3.0,7.0
dgoK,1.0,5.0,4.0
dgoR,1.0,0.0,0.0
dgoT,0.0,0.0,0.0
dgsA,15.0,21.0,8.0
dgt,14.0,7.0,7.0
dhaK,3.0,7.0,2.0
dhaL,0.0,1.0,0.0
dhaM,5.0,8.0,7.0
dhaR,5.0,3.0,5.0
diaA,45.0,23.0,34.0
dicA,2.0,0.0,1.0
dicB,1.0,0.0,0.0
dicC,0.0,0.0,0.0
dinB,0.0,1.0,0.0
dinD,14.0,12.0,8.0
dinF,2.0,7.0,1.0
dinG,8.0,7.0,2.0
dinI,0.0,0.0,3.0
dinJ,0.0,2.0,0.0
dipZ,7.0,8.0,7.0
djlB,5.0,12.0,8.0
djlC,3.0,5.0,4.0
dkgA,2.0,0.0,0.0
dkgB,6.0,8.0,13.0
dksA,5.0,14.0,3.0
dld,18.0,19.0,11.0
dmsA,6.0,1.0,4.0
dmsB,2.0,3.0,8.0
dmsD,5.0,5.0,3.0
dnaA,89.0,62.0,81.0
dnaB,13.0,16.0,7.0
dnaC,9.0,6.0,6.0
dnaE,19.0,20.0,13.0
dnaG,41.0,45.0,42.0
dnaJ,43.0,77.0,71.0
dnaK,142.0,162.0,154.0
dnaN,16.0,6.0,21.0
dnaQ,4.0,8.0,7.0
dnaT,0.0,3.0,0.0
dnaX,27.0,23.0,22.0
dos,1.0,0.0,2.0
dppA,137.0,187.0,166.0
dppB,0.0,0.0,1.0
dppC,6.0,5.0,2.0
dppD,16.0,9.0,13.0
dppF,0.0,2.0,7.0
dps,6.0,5.0,0.0
dsbA,32.0,21.0,17.0
dsbB,1.0,3.0,8.0
dsbC,18.0,25.0,20.0
dsbG,11.0,10.0,6.0
dsdA,3.0,1.0,2.0
dsdC,1.0,0.0,1.0
dsdX,3.0,1.0,3.0
dtd,5.0,0.0,0.0
dusA,15.0,22.0,14.0
dusB,25.0,29.0,21.0
dusC,1.0,1.0,3.0
dut,0.0,0.0,0.0
dxr,1.0,0.0,0.0
dxs,0.0,1.0,2.0
eaeH,0.0,0.0,1.0
eamA,6.0,8.0,7.0
ebgA,3.0,3.0,2.0
ebgC,4.0,0.0,1.0
ebgR,1.0,0.0,3.0
ecfK,42.0,43.0,50.0
ecnA,6.0,1.0,1.0
ecnB,2.0,3.0,3.0
eco,0.0,0.0,0.0
ecpD,1.0,0.0,1.0
eda,1.0,0.0,0.0
edd,4.0,2.0,3.0
efeU,1.0,0.0,0.0
efp,12.0,14.0,10.0
elaA,0.0,3.0,1.0
elaB,4.0,2.0,1.0
elaC,2.0,2.0,4.0
elaD,4.0,2.0,1.0
elbA,0.0,2.0,1.0
elbB,32.0,10.0,14.0
emrA,2.0,4.0,1.0
emrB,0.0,0.0,1.0
emrD,0.0,0.0,0.0
emrE,5.0,5.0,1.0
emrK,5.0,5.0,7.0
emrY,1.0,0.0,0.0
emtA,8.0,3.0,5.0
endA,0.0,0.0,0.0
eno,247.0,204.0,211.0
entA,4.0,3.0,3.0
entB,3.0,0.0,1.0
entC,2.0,0.0,0.0
entD,1.0,9.0,3.0
entE,0.0,0.0,0.0
entF,5.0,0.0,0.0
envC,8.0,6.0,20.0
envR,4.0,10.0,8.0
envY,4.0,2.0,0.0
envZ,2.0,4.0,4.0
epd,14.0,19.0,19.0
eptA,1.0,0.0,5.0
eptB,14.0,20.0,18.0
era,17.0,15.0,15.0
erfK,2.0,4.0,5.0
essD,0.0,3.0,2.0
essQ,1.0,2.0,2.0
etk,1.0,3.0,3.0
etp,1.0,0.0,0.0
eutA,5.0,2.0,4.0
eutB,2.0,2.0,6.0
eutC,0.0,0.0,2.0
eutE,0.0,0.0,3.0
eutG,5.0,3.0,0.0
eutH,0.0,2.0,0.0
eutP,0.0,0.0,0.0
evgA,4.0,2.0,4.0
evgS,2.0,3.0,1.0
exbB,15.0,9.0,21.0
exbD,18.0,8.0,17.0
exoX,9.0,4.0,0.0
exuR,9.0,1.0,10.0
exuT,11.0,6.0,5.0
fabA,33.0,20.0,20.0
fabB,39.0,25.0,48.0
fabD,17.0,18.0,23.0
fabF,90.0,106.0,117.0
fabG,118.0,135.0,142.0
fabH,13.0,11.0,13.0
fabI,4.0,4.0,4.0
fabR,15.0,15.0,8.0
fabZ,93.0,96.0,111.0
fadA,17.0,18.0,15.0
fadB,4.0,5.0,11.0
fadD,2.0,5.0,7.0
fadE,12.0,6.0,2.0
fadH,0.0,0.0,1.0
fadJ,26.0,20.0,21.0
fadK,1.0,0.0,2.0
fadL,42.0,67.0,56.0
fadR,16.0,7.0,16.0
fbaA,84.0,79.0,76.0
fbaB,14.0,3.0,17.0
fbp,32.0,27.0,18.0
fcl,0.0,0.0,0.0
fdhD,3.0,2.0,13.0
fdhE,19.0,29.0,28.0
fdhF,3.0,4.0,1.0
fdnG,2.0,7.0,4.0
fdnH,0.0,0.0,0.0
fdnI,7.0,11.0,3.0
fdoG,125.0,136.0,132.0
fdoH,7.0,18.0,5.0
fdoI,143.0,162.0,157.0
fdrA,0.0,0.0,4.0
fdx,0.0,0.0,0.0
feaB,0.0,0.0,0.0
feaR,41.0,72.0,56.0
fecA,4.0,0.0,0.0
fecB,1.0,0.0,1.0
fecC,0.0,0.0,0.0
fecE,1.0,0.0,0.0
feoA,1.0,0.0,0.0
feoB,3.0,4.0,0.0
fepA,11.0,10.0,10.0
fepB,1.0,0.0,0.0
fepC,10.0,9.0,11.0
fepD,0.0,0.0,0.0
fepE,7.0,0.0,2.0
fes,3.0,5.0,3.0
ffh,25.0,46.0,22.0
ffs,4729.0,4881.0,4969.0
fhlA,3.0,2.0,5.0
fhuA,74.0,38.0,50.0
fhuB,5.0,7.0,5.0
fhuC,2.0,0.0,1.0
fhuD,7.0,7.0,12.0
fhuE,1.0,5.0,0.0
fhuF,1.0,2.0,3.0
fic,0.0,0.0,0.0
fieF,8.0,3.0,13.0
fimA,87.0,134.0,83.0
fimB,4.0,10.0,12.0
fimC,19.0,11.0,6.0
fimD,2.0,11.0,2.0
fimE,1.0,4.0,4.0
fimF,0.0,0.0,0.0
fimH,11.0,14.0,10.0
fimI,20.0,17.0,17.0
fimZ,0.0,0.0,0.0
fis,94.0,75.0,114.0
fiu,7.0,5.0,13.0
fixA,2.0,0.0,2.0
fixB,0.0,0.0,0.0
fixC,12.0,1.0,0.0
fixX,2.0,4.0,1.0
fklB,0.0,3.0,1.0
fkpA,133.0,119.0,118.0
fkpB,4.0,1.0,2.0
fldA,105.0,74.0,123.0
fldB,0.0,0.0,0.0
flgA,87.0,78.0,71.0
flgB,201.0,245.0,227.0
flgC,115.0,97.0,124.0
flgD,5.0,8.0,7.0
flgE,244.0,274.0,254.0
flgF,421.0,444.0,466.0
flgG,82.0,63.0,77.0
flgH,109.0,97.0,108.0
flgI,0.0,0.0,0.0
flgJ,9.0,13.0,34.0
flgK,127.0,89.0,99.0
flgL,32.0,31.0,39.0
flgM,95.0,100.0,100.0
flgN,76.0,79.0,58.0
flhA,23.0,35.0,35.0
flhB,7.0,1.0,5.0
flhC,39.0,33.0,54.0
flhD,2.0,1.0,0.0
flhE,1.0,0.0,0.0
fliA,71.0,99.0,106.0
fliC,2277.0,2266.0,2405.0
fliD,286.0,282.0,241.0
fliE,1.0,1.0,3.0
fliF,25.0,24.0,19.0
fliG,88.0,65.0,56.0
fliH,45.0,53.0,73.0
fliI,3.0,5.0,0.0
fliJ,18.0,25.0,11.0
fliK,2.0,17.0,11.0
fliL,10.0,4.0,4.0
fliM,43.0,69.0,71.0
fliN,17.0,28.0,23.0
fliO,0.0,3.0,1.0
fliP,15.0,13.0,5.0
fliQ,9.0,4.0,5.0
fliR,6.0,6.0,1.0
fliS,100.0,97.0,114.0
fliT,17.0,15.0,12.0
fliY,173.0,127.0,191.0
fliZ,107.0,95.0,78.0
flk,0.0,1.0,3.0
flu,2.0,3.0,0.0
flxA,16.0,13.0,23.0
fmt,0.0,0.0,4.0
fnr,2.0,2.0,2.0
focA,4.0,6.0,1.0
focB,0.0,0.0,0.0
folA,10.0,12.0,7.0
folB,1.0,0.0,0.0
folC,8.0,8.0,6.0
folD,5.0,3.0,2.0
folE,2.0,12.0,14.0
folK,34.0,19.0,12.0
folM,7.0,10.0,8.0
folP,2.0,0.0,3.0
folX,0.0,0.0,1.0
fpr,2.0,2.0,8.0
frc,7.0,4.0,3.0
frdA,6.0,0.0,0.0
frdB,5.0,2.0,7.0
frdC,5.0,6.0,7.0
frdD,0.0,0.0,0.0
fre,7.0,3.0,5.0
frlA,0.0,0.0,0.0
frlB,1.0,0.0,0.0
frlC,0.0,0.0,0.0
frlR,4.0,1.0,7.0
frmA,23.0,22.0,19.0
frmB,6.0,13.0,7.0
frmR,0.0,0.0,0.0
frr,156.0,163.0,168.0
frsA,4.0,7.0,3.0
fruA,4.0,8.0,6.0
fruK,1.0,0.0,0.0
fruR,6.0,12.0,3.0
frvB,0.0,0.0,1.0
frvR,0.0,0.0,1.0
frvX,0.0,0.0,0.0
frwB,1.0,2.0,3.0
frwD,1.0,2.0,2.0
fsaA,0.0,0.0,0.0
fsaB,4.0,4.0,0.0
fsr,7.0,6.0,7.0
ftn,36.0,55.0,26.0
ftsA,43.0,45.0,58.0
ftsB,0.0,0.0,2.0
ftsE,0.0,3.0,0.0
ftsH,191.0,181.0,191.0
ftsI,4.0,8.0,5.0
ftsK,33.0,17.0,21.0
ftsN,0.0,0.0,0.0
ftsQ,2.0,1.0,1.0
ftsW,8.0,8.0,8.0
ftsX,18.0,20.0,14.0
ftsY,14.0,9.0,10.0
ftsZ,6.0,2.0,13.0
fucA,3.0,1.0,6.0
fucI,2.0,0.0,1.0
fucK,5.0,1.0,2.0
fucO,5.0,2.0,2.0
fucP,5.0,5.0,3.0
fucR,18.0,11.0,20.0
fucU,5.0,1.0,3.0
fumA,108.0,99.0,94.0
fumB,0.0,1.0,0.0
fumC,33.0,32.0,23.0
fur,83.0,91.0,67.0
fusA,586.0,503.0,566.0
fxsA,8.0,5.0,12.0
gabP,1.0,2.0,4.0
gabT,0.0,1.0,0.0
gadA,1.0,0.0,1.0
gadB,2.0,0.0,1.0
gadC,0.0,0.0,4.0
gadE,0.0,0.0,0.0
gadW,4.0,3.0,6.0
gadX,11.0,11.0,17.0
galE,17.0,16.0,18.0
galF,30.0,17.0,44.0
galP,0.0,0.0,2.0
galR,0.0,3.0,2.0
galS,7.0,10.0,5.0
galU,10.0,15.0,22.0
gapA,513.0,568.0,557.0
gapC,0.0,3.0,1.0
garD,8.0,8.0,6.0
garK,5.0,1.0,4.0
garL,1.0,1.0,0.0
garP,3.0,4.0,2.0
garR,1.0,2.0,2.0
gatA,757.0,649.0,738.0
gatB,317.0,358.0,356.0
gatC,224.0,212.0,224.0
gatD,211.0,210.0,190.0
gatR,8.0,5.0,6.0
gatY,16.0,14.0,16.0
gatZ,841.0,906.0,912.0
gcd,2.0,3.0,0.0
gcl,10.0,2.0,12.0
gcvA,4.0,7.0,3.0
gcvH,119.0,112.0,110.0
gcvP,27.0,31.0,22.0
gcvR,34.0,39.0,48.0
gcvT,28.0,23.0,33.0
gdhA,12.0,7.0,10.0
gfcD,1.0,1.0,0.0
ggt,0.0,9.0,3.0
ghrB,70.0,61.0,40.0
gidA,18.0,22.0,36.0
gidB,5.0,13.0,8.0
glcA,2.0,3.0,1.0
glcB,22.0,8.0,14.0
glcC,29.0,39.0,40.0
glcD,4.0,0.0,0.0
glcE,1.0,0.0,0.0
glcF,6.0,0.0,9.0
glcG,1.0,0.0,0.0
