,EXP_A,EXP_B,EXP_C
ygeW,0.0,0.0,0.0
ygeX,0.0,0.0,0.0
ygeY,0.0,0.0,0.0
ygfA,0.0,0.0,0.0
ygfB,34.0,28.0,15.0
ygfF,2.0,0.0,0.0
ygfG,9.0,4.0,9.0
ygfH,2.0,0.0,1.0
ygfI,1.0,2.0,3.0
ygfJ,2.0,9.0,6.0
ygfK,0.0,0.0,1.0
ygfM,0.0,1.0,2.0
ygfO,1.0,3.0,0.0
ygfQ,2.0,0.0,0.0
ygfS,0.0,0.0,0.0
ygfT,6.0,2.0,9.0
ygfU,3.0,0.0,0.0
ygfY,12.0,17.0,10.0
ygfZ,7.0,18.0,12.0
yggC,12.0,9.0,7.0
yggD,7.0,15.0,4.0
yggE,5.0,7.0,9.0
yggF,0.0,0.0,0.0
yggG,0.0,0.0,1.0
yggJ,12.0,14.0,21.0
yggL,4.0,3.0,7.0
yggM,3.0,1.0,4.0
yggN,6.0,2.0,0.0
yggP,4.0,2.0,1.0
yggR,2.0,2.0,5.0
yggS,4.0,3.0,4.0
yggT,9.0,11.0,7.0
yggU,2.0,0.0,0.0
yggV,2.0,2.0,7.0
yggW,5.0,13.0,4.0
yggX,8.0,2.0,6.0
yghA,0.0,1.0,2.0
yghB,6.0,5.0,6.0
yghD,3.0,0.0,2.0
yghF,1.0,5.0,2.0
yghG,0.0,0.0,0.0
yghJ,12.0,3.0,9.0
yghO,5.0,14.0,4.0
yghQ,0.0,0.0,1.0
yghR,4.0,3.0,2.0
yghS,1.0,1.0,0.0
yghT,2.0,0.0,2.0
yghU,0.0,0.0,1.0
yghW,5.0,5.0,2.0
yghX,3.0,2.0,0.0
yghY,2.0,0.0,1.0
yghZ,36.0,50.0,34.0
ygiA,0.0,0.0,0.0
ygiB,7.0,5.0,8.0
ygiC,98.0,68.0,80.0
ygiD,0.0,2.0,1.0
ygiF,1.0,8.0,3.0
ygiH,4.0,3.0,0.0
ygiL,0.0,0.0,0.0
ygiN,1.0,2.0,6.0
ygiP,0.0,1.0,2.0
ygiQ,4.0,0.0,1.0
ygiS,6.0,7.0,8.0
ygiT,0.0,5.0,0.0
ygiV,0.0,0.0,0.0
ygiW,4.0,2.0,1.0
ygiZ,0.0,3.0,0.0
ygjD,3.0,1.0,6.0
ygjG,5.0,13.0,10.0
ygjH,5.0,0.0,3.0
ygjI,0.0,0.0,0.0
ygjJ,0.0,0.0,2.0
ygjK,1.0,2.0,0.0
ygjN,4.0,5.0,4.0
ygjO,4.0,1.0,0.0
ygjP,4.0,2.0,6.0
ygjQ,0.0,0.0,0.0
ygjR,8.0,9.0,2.0
ygjV,0.0,3.0,0.0
yhaB,0.0,1.0,1.0
yhaC,2.0,3.0,0.0
yhaI,0.0,0.0,0.0
yhaJ,4.0,5.0,8.0
yhaK,1.0,1.0,2.0
yhaM,2.0,1.0,0.0
yhaO,5.0,1.0,2.0
yhaV,17.0,19.0,15.0
yhbC,8.0,10.0,13.0
yhbE,2.0,1.0,0.0
yhbG,2.0,1.0,1.0
yhbJ,2.0,5.0,0.0
yhbN,12.0,20.0,13.0
yhbO,1.0,0.0,0.0
yhbP,4.0,6.0,3.0
yhbS,13.0,3.0,7.0
yhbT,11.0,7.0,5.0
yhbU,0.0,0.0,0.0
yhbW,3.0,0.0,0.0
yhbX,4.0,7.0,2.0
yhbY,1.0,0.0,0.0
yhcA,0.0,1.0,1.0
yhcB,49.0,46.0,43.0
yhcC,2.0,0.0,0.0
yhcD,0.0,2.0,1.0
yhcE,2.0,0.0,0.0
yhcF,1.0,7.0,3.0
yhcG,12.0,5.0,8.0
yhcH,8.0,6.0,4.0
yhcM,8.0,5.0,6.0
yhcO,0.0,1.0,6.0
yhdA,11.0,13.0,6.0
yhdE,6.0,13.0,4.0
yhdH,12.0,3.0,13.0
yhdJ,3.0,5.0,0.0
yhdL,27.0,23.0,16.0
yhdN,11.0,14.0,2.0
yhdP,13.0,11.0,17.0
yhdU,4.0,2.0,3.0
yhdV,0.0,0.0,2.0
yhdW,9.0,0.0,3.0
yhdX,0.0,2.0,0.0
yhdY,2.0,0.0,1.0
yhdZ,3.0,7.0,3.0
yheM,0.0,0.0,1.0
yheO,16.0,12.0,12.0
yheS,7.0,6.0,1.0
yheU,5.0,5.0,4.0
yheV,4.0,10.0,8.0
yhfA,0.0,1.0,0.0
yhfG,0.0,0.0,0.0
yhfK,4.0,14.0,2.0
yhfL,1.0,0.0,1.0
yhfU,1.0,2.0,0.0
yhfW,4.0,1.0,1.0
yhfX,4.0,2.0,1.0
yhfY,4.0,5.0,0.0
yhfZ,16.0,27.0,17.0
yhgA,1.0,0.0,1.0
yhgE,10.0,5.0,2.0
yhgF,0.0,3.0,0.0
