,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
pabC,26,19,20,110,33,94,46,52,48,46,25,22,32,17,19,26,50,132,255,96,174,208,372,263
paeA,219,112,70,647,238,285,238,161,196,188,208,144,114,141,109,121,140,327,607,253,332,510,655,520
pagP,5,3,6,8,4,7,9,4,7,4,6,12,4,10,2,4,0,3,8,8,3,2,8,7
pal,656,354,339,5386,2046,3462,2020,1582,2153,2232,509,390,304,353,299,387,498,1221,2240,810,1260,1595,2319,2530
panB,65,32,44,520,227,360,264,177,221,184,57,47,39,54,42,44,70,175,315,128,120,142,260,134
panC,79,48,43,678,286,428,318,236,312,277,97,81,62,88,50,36,50,137,213,104,73,105,134,93
panD,179,79,118,587,269,471,286,242,319,306,168,184,115,144,106,146,69,128,240,120,79,90,160,133
panE,114,81,51,115,55,90,61,38,51,73,65,68,57,61,49,49,23,69,108,47,53,86,124,97
panF,67,50,44,149,57,103,72,59,59,55,59,55,33,41,37,40,15,47,71,23,68,74,119,75
panZ,9,7,6,33,23,18,9,12,12,9,6,10,6,12,3,6,20,37,60,31,15,14,49,24
paoA,45,26,10,5,2,4,5,2,12,8,30,34,16,26,22,25,1,2,17,5,6,9,17,11
paoB,34,20,22,10,6,2,3,0,4,0,31,31,11,18,21,17,1,4,10,6,3,4,17,10
paoC,130,58,45,56,26,27,21,16,13,22,78,65,58,62,42,47,3,16,31,6,23,17,43,11
paoD,48,28,14,17,9,7,11,3,4,6,23,31,19,17,11,8,2,6,14,5,9,10,20,2
parC,174,83,87,1377,544,858,591,423,571,578,158,144,115,144,107,98,241,543,980,344,1141,1270,2372,1015
parE,127,69,69,1412,557,943,672,486,570,619,124,101,64,108,58,98,83,247,388,134,269,283,479,381
patA,2201,1186,1128,495,191,368,175,129,185,168,1524,1685,1030,1208,905,1210,31,41,92,41,29,45,64,129
patD,279,192,173,1041,404,698,337,337,454,418,215,188,115,160,99,139,6,26,43,18,19,19,36,31
patZ,1161,689,594,2525,983,1654,1158,918,1178,1189,885,746,548,617,533,590,21,69,143,62,93,99,185,196
pbpC,31,35,24,115,53,86,56,54,54,59,23,32,23,29,28,29,21,75,126,47,92,97,151,104
pbpG,124,60,52,248,114,179,88,86,102,96,102,84,70,70,62,60,17,59,77,38,46,67,71,76
pck,234,130,140,4822,2022,3024,2170,1825,1999,2076,243,210,156,140,134,133,235,520,914,359,274,302,481,445
pcm,81,47,43,394,144,244,142,123,151,196,66,80,47,49,40,48,22,44,79,31,98,97,177,121
pcnB,120,64,49,2108,797,1345,871,779,890,800,102,97,61,70,61,77,566,1180,2113,880,759,927,1444,1446
pdeA,15,7,10,186,96,118,69,82,115,75,13,16,14,9,8,14,65,159,255,120,532,650,971,559
pdeB,105,54,38,172,80,144,92,68,75,81,83,100,46,45,55,51,19,65,122,42,125,166,295,166
pdeC,123,77,82,54,27,32,20,24,14,21,93,157,80,75,73,74,12,20,40,14,33,25,53,48
pdeD,71,29,35,74,32,37,33,34,34,30,72,50,49,46,46,40,10,22,40,15,21,25,55,31
pdeF,17,3,4,29,10,13,16,8,6,9,7,8,5,8,5,6,14,32,57,29,26,48,63,44
pdeG,37,18,17,7,7,7,2,4,3,5,25,26,25,29,18,22,10,12,25,13,62,72,94,65
pdeH,6,2,1,6550,2550,4012,2277,1980,2487,2110,0,3,4,1,4,7,3217,7560,14155,4915,669,729,1378,588
pdeI,7,2,5,82,55,62,83,68,101,35,5,8,3,4,0,10,3,28,35,10,47,66,92,41
pdeK,131,66,71,354,145,200,134,94,136,138,113,91,78,84,58,70,34,66,115,46,56,65,111,62
pdeL,15,9,6,106,50,93,32,25,35,29,18,17,8,26,8,8,429,927,1696,690,843,1169,1746,1182
pdeN,16,12,22,533,239,364,238,200,244,211,11,13,9,14,15,12,23,61,143,47,80,94,192,196
pdeR,145,85,95,198,84,164,75,51,85,101,208,160,130,139,104,91,24,54,127,46,102,176,289,282
pdhR,72,37,71,590,242,402,191,188,219,198,97,58,58,51,63,116,180,348,695,374,333,457,601,378
pdxA,171,113,69,1323,469,889,585,440,549,643,95,90,71,69,64,81,40,74,185,131,92,90,157,126
pdxB,87,58,38,548,208,374,227,171,234,240,68,63,52,58,42,77,82,201,341,161,148,222,335,221
pdxH,58,30,35,587,264,366,235,157,201,201,44,39,18,27,21,35,79,129,395,125,169,171,319,233
pdxI,174,75,79,104,68,92,74,43,57,55,129,105,92,96,74,75,12,38,66,29,68,72,134,93
pdxJ,106,40,55,439,172,300,233,151,204,167,91,56,58,57,43,59,17,43,72,22,85,104,170,124
pdxK,27,12,11,128,60,105,34,36,56,42,19,18,12,13,13,19,12,17,58,15,26,33,55,46
pdxY,20,6,8,341,141,231,155,139,156,154,19,22,15,10,10,11,41,79,163,74,58,77,128,112
pepA,302,169,186,1253,534,784,557,411,506,608,283,220,186,231,189,176,234,561,899,348,383,527,820,544
pepB,153,75,77,988,339,593,383,276,414,314,113,99,45,84,64,60,51,161,233,102,670,700,1194,875
pepD,316,195,155,2470,1028,1645,1030,792,1112,1108,321,225,162,198,150,169,94,118,300,126,132,176,265,219
pepE,7,4,4,152,60,125,100,68,123,71,13,5,7,3,6,3,4,7,17,7,2,9,14,12
pepN,477,269,218,3104,1283,1798,1348,852,1149,1395,446,369,248,371,237,332,65,195,336,117,167,209,310,330
pepP,262,132,126,1174,440,685,428,376,464,423,215,185,121,151,141,144,54,102,217,81,116,127,239,149
pepQ,187,88,96,1109,407,716,441,335,407,432,142,152,80,118,103,94,42,133,156,74,99,130,153,118
pepT,197,131,107,212,69,121,100,63,91,114,186,258,156,148,112,138,22,49,83,20,20,36,42,54
perR,0,0,0,24,11,3,8,5,6,6,3,0,0,0,1,1,13,12,19,8,9,13,23,11
pfkA,484,338,236,675,312,430,298,254,288,248,447,357,264,284,242,302,159,344,543,226,245,354,490,333
pfkB,223,113,85,34,26,38,15,19,24,17,138,134,73,125,99,119,17,29,53,17,59,81,100,93
pflA,249,131,135,277,88,175,105,82,115,132,170,134,98,151,110,122,26,75,144,48,68,110,123,185
pflB,6237,3170,3211,8302,3351,5268,3890,3026,3819,3656,5113,4175,2871,3736,3176,3136,147,322,674,223,432,574,850,647
pflC,3,0,2,21,13,7,9,4,14,17,4,8,1,6,0,2,8,13,22,2,4,12,10,5
pflD,17,3,3,105,44,63,55,32,57,34,23,17,7,11,8,6,24,53,91,17,17,34,32,22
pgaA,11,1,2,23,7,16,8,1,2,10,4,11,3,7,1,4,14,28,59,14,34,37,58,66
pgaB,4,5,6,24,10,7,2,3,1,3,8,3,1,4,0,6,17,43,65,20,51,72,111,95
pgaC,3,1,5,8,4,5,6,1,9,3,3,0,1,1,0,5,15,17,36,24,42,60,65,58
pgaD,4,1,2,15,2,14,5,4,7,4,4,2,2,4,4,4,17,35,80,26,51,55,61,65
pgi,514,265,232,1228,478,844,514,384,486,450,513,405,308,462,341,376,100,176,327,111,126,152,208,207
pgk,1493,788,681,4308,1775,2699,1795,1414,1760,1731,1201,806,657,943,674,803,210,522,858,350,429,473,797,533
pgl,380,207,160,575,232,412,217,191,239,227,335,205,173,240,195,196,38,75,140,49,46,77,119,102
pgm,467,308,272,1537,610,1063,753,576,713,780,466,368,291,316,253,306,76,138,259,83,209,280,434,322
pgpA,58,28,37,275,95,170,127,84,101,93,57,42,26,41,38,38,22,87,168,50,55,70,110,70
pgpB,63,41,29,170,64,85,49,42,50,58,47,51,38,51,31,46,14,61,112,36,59,85,138,97
pgpC,66,28,32,163,70,111,68,49,54,55,42,64,31,53,35,51,36,70,119,44,60,57,97,139
pgrR,17,9,11,74,42,57,32,27,33,51,18,13,15,18,8,13,23,47,87,27,65,117,135,118
pgsA,53,23,24,246,135,172,117,88,126,123,38,28,28,28,11,36,25,50,93,44,58,84,129,72
pheA,245,122,111,685,263,394,276,227,274,391,206,134,111,152,98,187,23,31,69,32,76,113,180,142
pheL,400,212,204,410,147,322,180,112,197,329,353,334,238,292,261,249,17,42,67,25,25,37,47,49
pheM,52,26,27,429,157,221,185,125,192,131,53,62,39,34,28,44,62,153,214,134,177,184,339,263
pheP,30,10,22,238,106,178,112,63,121,104,47,20,16,26,19,23,134,356,658,203,422,496,789,398
pheS,80,63,43,1436,525,875,601,493,691,607,83,69,33,75,52,57,114,292,504,170,909,1105,1792,1051
pheT,1042,622,603,2961,1137,2013,1395,1037,1342,1470,759,682,508,655,406,633,378,804,1594,640,2225,2555,4250,2583
pheU,48366,30853,31807,38889,33778,60827,25521,16888,25288,26627,41686,77396,42893,40974,39561,53398,30710,71226,87286,63416,83126,141392,136599,122937
pheV,56215,34684,40638,66270,46760,80480,38900,27479,36695,35597,50352,83087,49323,48708,47664,62562,59862,130543,165793,103731,155088,239253,231490,232168
phnC,14,7,2,9,3,1,1,2,2,1,5,16,7,10,14,12,0,4,3,0,1,1,5,1
phnD,0,6,1,2,2,1,3,3,1,1,1,0,0,1,0,0,2,5,4,9,8,3,5,3
phnF,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
phnG,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0
phnH,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,1
phnI,2,0,1,5,2,0,1,0,2,0,0,1,1,2,0,1,0,1,1,0,1,0,0,1
phnJ,2,0,0,0,0,0,1,1,1,2,0,0,0,1,2,0,0,0,2,0,2,0,0,0
phnK,0,1,0,0,1,0,0,1,3,3,0,1,0,0,0,3,0,0,0,1,2,0,0,1
phnL,5,6,1,1,0,1,3,2,0,0,4,2,1,1,4,4,1,0,0,1,0,2,0,3
phnM,5,1,3,6,3,7,3,1,3,1,1,2,6,1,1,1,2,1,7,3,0,6,10,1
phnN,29,13,14,26,13,24,15,3,11,9,33,15,7,22,22,15,2,2,16,7,4,4,10,12
phnO,59,36,23,69,18,38,28,21,42,23,63,68,32,48,33,38,4,3,25,11,8,19,13,18
phnP,51,40,17,75,15,38,24,21,27,25,45,40,32,51,38,32,5,16,25,3,9,16,15,18
phoA,23,14,17,368,178,223,188,160,174,184,22,20,23,29,18,18,127,300,547,204,250,277,462,495
phoB,47,23,15,103,37,49,35,25,31,28,45,37,27,32,29,15,51,126,169,97,64,83,130,70
