,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
eutD,8,3,4,35,19,21,19,12,14,13,3,5,1,6,3,2,6,5,10,5,11,10,23,23
eutE,4,2,1,30,5,7,10,1,6,2,3,2,0,1,1,0,24,24,61,21,10,12,24,20
eutG,3,0,5,7,2,5,3,1,4,1,2,7,0,2,0,1,9,19,25,10,6,3,14,14
eutH,16,13,4,6,5,6,6,1,2,4,13,11,5,8,12,5,8,29,40,12,10,4,9,18
eutJ,5,2,2,11,2,10,4,6,4,4,4,0,7,6,5,2,13,30,39,14,9,4,15,13
eutK,40,19,17,58,36,56,33,18,33,43,27,32,25,17,16,15,14,53,67,16,20,35,25,32
eutL,14,9,5,56,21,50,24,20,28,32,22,23,11,9,9,11,4,21,47,14,27,34,31,31
eutM,5,3,4,48,18,40,30,20,23,18,4,6,3,7,1,5,0,2,12,4,15,13,19,11
eutN,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,2
eutP,2,1,2,13,14,6,5,2,5,5,1,2,0,1,1,2,2,6,7,4,7,4,13,21
eutQ,3,4,3,30,15,17,7,8,9,14,4,2,5,1,4,0,4,3,10,3,10,14,17,27
eutR,32,24,15,77,22,33,31,14,24,33,29,27,18,24,11,16,4,20,30,13,20,34,34,26
eutS,4,2,1,9,6,5,3,3,3,7,0,0,0,0,0,2,0,2,2,0,3,2,6,4
eutT,4,4,3,24,8,23,7,6,2,11,4,3,4,3,2,3,0,2,9,1,5,5,25,15
evgA,8,2,4,204,62,107,46,43,40,37,6,10,6,6,2,2,24,53,76,22,36,33,69,84
evgL,2,1,3,38,15,18,8,19,4,16,1,3,0,3,0,0,3,14,15,3,3,12,19,17
evgS,15,6,6,317,111,185,108,71,102,84,13,10,7,12,14,6,94,124,256,97,62,94,166,131
exbB,500,238,276,2474,873,1663,1049,746,925,897,457,410,306,404,300,400,43,108,201,109,162,235,303,432
exbD,290,144,149,1066,380,713,522,310,415,357,241,259,178,219,131,203,21,39,82,38,65,121,152,173
exoX,67,31,36,143,58,86,66,51,56,66,57,57,42,45,41,55,37,86,155,65,105,107,226,117
exuR,228,111,141,558,237,344,249,177,202,205,204,173,131,186,140,133,65,189,295,150,119,156,221,220
exuT,165,86,84,186,78,121,106,90,101,98,121,81,73,106,54,94,26,76,131,44,38,50,75,126
eyeA,11,4,3,21,13,15,3,5,3,4,4,5,1,2,1,4,4,4,14,6,13,7,13,11
fabA,1213,752,607,1799,586,1049,818,467,756,722,1061,838,719,961,751,720,564,1588,2685,670,1388,1817,2696,1863
fabB,1277,575,597,3099,1193,1672,1066,771,940,823,1197,943,669,972,696,776,607,1468,2695,538,1785,2237,3369,2125
fabD,233,127,117,1400,570,893,680,527,681,753,176,175,103,141,120,113,174,415,674,232,893,1014,1702,884
fabF,783,379,375,5287,2021,3498,2458,1836,2533,2309,686,534,400,458,366,408,2300,5654,9978,3617,7138,8474,12882,8771
fabG,666,355,362,3957,1545,2668,1870,1376,1969,2013,564,463,322,396,330,399,281,700,1212,395,1114,1395,2172,1397
fabH,228,111,116,1256,464,859,607,451,641,639,210,191,110,191,121,152,212,467,849,301,1074,1195,1956,1016
fabI,469,310,229,1872,749,1308,804,644,727,722,403,412,296,348,248,300,150,341,577,227,301,366,555,392
fabR,173,141,126,1255,525,979,576,399,518,574,155,133,110,159,91,147,128,317,520,273,225,316,378,358
fabY,49,36,39,540,181,359,237,156,207,217,58,71,43,40,41,38,14,26,55,22,24,31,41,40
fabZ,302,166,148,1328,531,908,527,435,603,552,261,212,138,209,162,179,257,563,966,423,466,600,893,709
fadA,260,137,117,2066,742,1284,780,540,771,953,265,189,136,143,150,140,9,19,68,22,14,16,33,89
fadB,289,152,139,3364,1106,2023,1227,954,1154,1579,276,224,177,198,127,166,14,43,72,30,33,33,42,183
fadD,1276,830,670,1714,690,1150,691,492,708,807,1066,1438,718,686,565,615,79,211,357,94,385,437,684,622
fadE,3014,1690,1531,2679,828,1511,794,700,736,947,2830,1801,1839,2321,1759,1999,123,227,414,141,303,337,619,406
fadH,198,111,116,819,248,475,286,249,232,345,179,188,111,111,92,112,59,102,199,59,9,17,36,29
fadI,115,69,57,599,213,357,237,141,188,250,82,94,48,35,34,41,2,14,17,7,8,12,14,41
fadJ,179,96,102,875,326,555,366,252,345,479,145,162,86,116,73,100,6,20,54,11,22,35,50,55
fadK,14,12,8,7,9,10,5,7,7,7,7,16,5,14,16,10,9,15,34,7,7,13,22,14
fadL,339,173,184,1596,607,1049,742,619,706,772,269,309,166,205,182,178,70,228,377,149,355,372,631,406
fadM,14,9,7,55,17,23,19,8,11,14,24,5,14,9,4,8,6,5,19,4,16,28,48,42
fadR,143,76,74,1019,407,707,474,356,469,511,117,96,73,75,66,88,84,165,360,144,108,168,246,279
fau,110,51,52,722,348,363,323,279,375,330,85,83,61,57,44,52,141,261,472,201,403,544,736,501
fbaA,1445,710,730,6030,2459,3975,2610,2400,2904,2298,1218,886,680,889,729,818,90,201,364,132,206,242,420,275
fbaB,810,472,402,528,208,309,155,124,188,180,576,594,397,418,310,411,7,12,12,4,9,23,15,62
fbp,150,105,74,1336,574,900,530,495,566,539,125,127,93,118,99,93,221,461,991,378,245,310,487,326
fcl,0,1,0,3,5,7,5,0,1,0,0,0,0,4,0,1,0,3,8,0,9,8,8,7
fdhD,66,38,35,122,50,116,59,33,56,55,66,63,48,40,54,50,45,116,175,74,60,67,120,101
fdhE,208,127,127,1285,490,847,840,651,893,683,167,164,138,122,114,137,104,170,280,97,178,200,308,396
fdhF,74,44,44,176,57,73,73,54,83,59,51,44,24,46,35,46,72,190,311,137,151,161,275,223
fdnG,20,11,16,31,7,28,21,11,19,9,19,19,12,19,11,10,24,70,100,30,135,141,266,140
fdnH,14,4,7,10,4,11,8,6,2,8,18,4,7,9,8,6,26,54,94,46,76,85,140,82
fdnI,26,14,16,22,15,10,12,9,16,12,22,15,18,32,16,16,18,74,113,31,62,62,116,70
fdoG,1379,744,691,6002,2324,3862,3746,2806,4007,2718,921,795,487,633,573,611,660,1704,3137,1188,1185,1309,2198,3781
fdoH,253,157,121,1271,510,855,1088,749,1142,625,198,151,92,125,72,107,99,269,449,132,253,256,476,719
fdoI,132,70,69,745,252,472,519,451,628,354,92,107,70,72,71,66,75,142,213,115,127,119,219,309
fdrA,1,0,1,5,1,0,0,3,2,2,3,0,1,1,2,0,5,22,11,10,21,11,47,19
fdx,72,39,31,358,111,200,130,97,133,125,46,51,26,25,30,42,35,76,109,48,351,285,600,367
feaB,74,37,37,161,74,103,64,51,59,67,47,54,32,43,27,43,46,95,172,66,71,74,165,147
feaR,102,76,61,612,229,351,296,211,301,396,72,62,60,59,51,64,7,27,40,12,12,15,28,47
fecA,67,41,45,274,77,175,115,80,89,104,69,58,46,41,32,45,13,47,80,33,29,56,94,69
fecB,16,8,6,63,30,57,34,31,35,35,14,16,17,5,11,10,19,44,99,20,21,41,83,50
fecC,2,2,1,55,4,22,20,13,22,18,5,4,2,8,0,4,1,10,22,6,16,16,25,12
fecD,4,1,0,22,5,18,13,8,3,8,6,6,0,5,2,1,0,2,2,4,3,4,8,3
fecE,1,6,2,33,10,9,8,10,10,11,10,4,5,3,3,2,4,3,6,3,8,7,1,4
fecI,347,206,205,641,223,375,284,231,268,228,310,403,182,220,224,240,6,13,25,16,33,35,67,43
fecR,199,137,122,587,178,345,257,157,244,185,184,181,125,114,125,134,6,2,14,7,36,41,84,47
feoA,20,5,11,23,10,14,17,8,14,14,10,10,1,13,4,8,12,16,25,13,24,36,51,66
feoB,155,82,61,441,197,297,256,156,230,232,177,117,88,110,90,95,166,344,552,207,257,287,479,452
feoC,29,20,18,108,47,53,48,23,64,43,19,16,20,32,23,38,32,96,175,56,55,55,89,54
fepA,58,30,24,959,313,673,553,339,446,351,39,51,20,47,35,28,63,114,224,66,27,44,67,89
fepB,111,62,44,282,130,210,155,118,161,139,118,89,58,84,73,76,3,9,32,10,13,19,41,31
fepC,9,3,4,206,68,144,102,83,118,89,3,7,0,1,3,2,6,4,6,2,6,9,9,13
fepD,110,67,58,791,289,504,344,261,283,276,93,99,74,63,80,83,6,16,50,23,35,64,69,125
fepE,0,0,3,4,1,6,3,3,4,2,2,2,1,0,0,1,8,14,4,3,3,3,12,7
fepG,8,6,4,202,63,152,122,79,110,84,7,8,6,0,5,8,1,8,6,2,7,12,14,16
fes,95,64,71,268,93,168,158,105,147,112,122,87,52,84,72,94,0,5,3,1,8,11,13,30
fetA,7,7,6,57,22,30,22,17,24,29,11,3,4,2,3,3,19,17,50,18,15,27,34,31
fetB,4,4,9,42,17,24,10,12,19,19,4,4,3,5,8,8,3,25,29,11,15,20,21,22
ffh,293,220,184,1664,551,1054,574,457,613,585,275,218,172,196,170,174,255,641,1194,483,469,594,873,758
ffs,158830,92136,103776,92445,45290,102613,78783,58211,57567,61834,140192,167184,116905,119274,119426,154849,27780,66303,111747,49186,75689,89810,106483,126385
fhlA,210,111,109,163,61,100,62,52,68,53,170,152,116,144,98,135,20,50,87,24,21,41,65,54
fhuA,927,445,492,2717,1094,1716,1505,923,1366,1320,887,635,440,673,542,506,213,411,758,286,317,425,653,612
fhuB,13,5,10,289,86,161,152,83,128,124,10,14,11,4,4,1,8,23,33,8,16,25,35,18
fhuC,63,47,42,297,135,216,191,126,152,130,72,48,35,43,37,34,21,34,55,26,18,31,59,45
fhuD,21,7,10,156,42,114,105,43,50,70,12,13,10,6,3,5,5,3,14,2,9,6,14,13
fhuE,174,84,91,338,135,230,203,142,177,149,142,151,77,109,108,92,27,51,100,36,58,74,98,82
fhuF,725,381,336,4860,1853,2928,2265,1609,2003,1752,724,623,425,527,480,440,47,53,142,52,401,463,686,649
fic,384,266,251,147,50,64,50,36,41,39,395,301,245,297,206,257,8,14,25,12,20,31,25,60
fieF,387,234,198,586,236,415,221,164,246,261,376,294,247,354,230,252,97,206,366,152,106,148,265,195
fimA,195,92,53,1142,447,914,717,532,809,751,146,133,72,119,111,175,213,548,998,474,347,360,742,569
fimB,3,1,2,112,46,67,45,37,47,52,8,4,7,2,0,2,73,130,252,117,92,127,197,138
fimC,3,0,1,72,23,49,43,28,35,34,2,0,2,4,3,2,41,69,182,65,68,76,145,87
fimD,19,11,12,115,39,99,83,58,78,65,7,19,9,30,4,24,92,159,336,115,187,212,406,260
fimE,1,3,2,11,1,1,1,0,1,1,1,5,1,6,7,3,6,12,29,9,13,31,30,15
fimF,2,1,0,14,6,14,11,7,7,13,2,0,1,2,0,1,5,21,34,12,19,20,34,37
fimG,1,1,4,8,1,10,8,5,5,7,2,3,1,1,0,1,8,14,36,9,18,19,41,35
fimH,17,9,9,38,23,15,16,11,12,14,14,14,13,9,2,9,14,19,34,23,37,27,63,46
fimI,4,1,1,127,35,82,100,50,91,121,3,7,3,7,4,6,53,89,226,88,55,89,170,118
fimZ,2,1,3,16,9,11,3,6,1,3,3,4,4,1,1,3,6,16,34,12,17,41,35,39
fis,156,83,81,939,356,622,372,358,471,367,122,84,66,90,64,61,1141,2740,4728,1822,1763,2497,3689,3601
fiu,78,37,38,750,317,536,578,385,485,247,61,42,31,44,35,32,4,7,24,5,32,26,40,97
fixA,1,4,2,6,6,3,2,0,4,4,0,0,4,1,2,1,2,3,11,2,2,8,10,3
fixB,0,3,0,20,10,5,10,3,14,5,0,0,0,0,0,0,14,38,38,27,6,9,17,11
fixC,0,0,0,24,4,13,8,5,8,7,2,2,0,0,0,0,16,30,77,29,3,6,16,10
fixX,0,0,0,9,0,6,1,0,1,2,0,1,1,0,1,0,10,14,25,6,7,4,3,6
fklB,41,21,16,1024,431,671,428,280,390,424,34,56,25,44,26,22,51,106,216,88,65,102,148,101
fkpA,238,150,143,1969,665,1296,882,722,975,837,218,150,130,172,164,140,55,170,264,127,110,158,235,243
fkpB,68,61,40,724,240,425,288,226,288,260,62,56,40,51,46,46,62,105,258,81,188,183,332,195
fldA,176,83,80,905,384,552,338,296,278,327,163,122,73,120,81,115,83,155,322,131,143,178,315,205
fldB,119,54,81,411,177,295,186,146,182,146,105,64,68,92,66,72,93,201,458,180,144,168,243,198
flgA,2,9,9,1624,722,1187,947,778,915,837,8,6,3,5,1,10,6,19,25,18,10,10,14,10
flgB,1,2,0,3185,1331,2330,1976,1647,2073,1798,2,0,1,2,2,1,9,15,35,15,2,8,4,5
flgC,0,0,1,2571,1072,1910,1523,1193,1541,1399,2,0,0,1,0,0,14,19,46,18,2,7,3,3
flgD,2,1,0,5872,2387,3946,3575,2775,3196,3066,4,2,1,1,0,3,24,57,124,31,5,8,5,4
flgE,3,3,4,8746,3520,5717,4795,3617,4429,4108,3,10,8,3,3,3,22,22,71,23,10,8,12,10
flgF,5,1,3,3813,1385,2695,2033,1579,1903,1682,2,2,0,1,4,1,1,10,13,0,1,2,3,1
flgG,2,4,6,5528,2083,3858,3286,2432,3050,2590,4,4,3,5,0,3,4,6,17,6,10,12,6,7
flgH,2,3,2,2199,782,1376,1197,888,1132,913,1,7,2,3,2,0,1,5,17,4,4,4,5,5
flgI,4,0,1,1896,755,1257,1050,811,975,820,2,4,2,2,4,5,8,4,8,4,2,5,15,5
flgJ,1,4,3,2260,889,1365,1081,987,1095,945,3,2,2,4,3,1,8,21,19,4,7,5,7,3
flgK,33,11,8,10325,3716,6331,3935,3070,3735,3683,24,26,21,20,19,15,2031,4090,8209,2813,491,542,1023,514
flgL,44,21,13,5233,2137,3392,2123,1681,2085,2013,45,35,22,20,22,34,895,1707,3335,1178,242,300,558,291
flgM,34,18,10,5451,2242,3325,2082,1625,1985,1798,22,16,15,24,18,16,1198,2108,4109,1736,192,254,441,215
flgN,32,23,20,8769,3540,5625,3310,2723,3374,3104,25,21,27,27,15,24,1759,3376,6292,2591,320,389,690,371
flgO,104,32,32,5357,2390,3928,1305,1729,2558,1918,83,51,45,63,51,68,965,1416,4273,1873,391,411,765,813
flhA,14,7,10,1803,629,1183,1054,734,926,791,15,9,9,10,8,4,25,77,123,26,77,83,167,36
flhB,4,2,3,1427,570,970,849,681,773,766,8,10,4,1,1,6,70,215,316,109,118,82,201,59
flhC,82,48,52,2233,931,1702,1152,759,1018,876,74,84,32,66,50,60,636,1391,3372,1069,379,276,436,1267
flhD,25,13,10,738,315,514,340,231,320,341,31,33,28,40,10,25,73,142,313,110,38,48,73,649
flhE,1,1,0,366,135,201,182,150,167,143,0,1,1,0,2,0,5,9,9,4,9,4,27,7
fliA,6,6,5,5422,2165,4144,2856,2275,2870,2784,3,7,8,5,6,2,1206,2559,4500,1788,340,425,617,276
fliC,190,103,125,120395,45956,78989,46633,35964,43375,43564,129,143,127,118,135,139,12358,25419,46228,17385,3339,3961,6558,3093
fliD,18,5,5,7041,2691,4333,2930,2512,2843,2290,9,14,9,14,8,6,1080,2098,3793,1543,244,249,528,215
fliE,1,0,0,368,192,296,342,197,254,235,2,3,1,0,0,2,1,11,12,2,0,0,2,3
fliF,5,2,1,7305,2833,4747,3948,3093,3734,3683,7,8,5,2,3,1,11,26,55,21,9,20,17,14
fliG,10,3,0,5292,1926,3392,2625,1975,2650,2392,6,7,4,3,2,7,3,26,40,22,14,17,16,7
fliH,7,1,0,2780,1022,1964,1516,1088,1505,1407,2,3,1,3,3,2,6,17,43,19,8,11,11,13
fliI,9,2,1,2377,929,1710,1443,1007,1278,1301,3,8,4,2,8,2,9,13,25,3,12,9,11,14
fliJ,0,0,0,726,276,485,451,328,397,375,0,0,0,0,0,0,0,4,2,1,1,1,6,2
fliK,4,2,1,2412,903,1417,1158,1060,1284,1044,2,6,1,0,2,0,3,6,5,5,2,8,7,5
fliL,0,0,1,3894,1613,2694,2011,1659,2267,1841,4,1,0,3,4,0,263,565,1117,468,36,50,78,40
fliM,2,2,2,3098,1225,2050,1804,1409,1708,1566,0,0,0,0,2,2,130,231,437,152,33,29,51,22
fliN,1,0,0,1670,625,1140,893,722,818,797,0,1,0,1,0,0,100,210,373,116,27,27,33,17
fliO,7,1,0,1791,705,1477,1018,802,1039,897,0,0,0,0,2,1,163,271,500,163,27,25,42,12
fliP,6,1,2,1173,459,765,598,475,601,543,3,1,0,0,1,1,38,91,130,35,13,11,25,5
fliQ,0,0,0,230,117,176,164,115,151,131,1,0,0,0,0,1,4,9,12,8,5,1,4,1
fliR,1,1,2,456,232,299,294,214,296,239,1,2,0,0,2,0,9,12,35,6,13,5,11,7
fliS,3,1,1,1975,769,1195,754,646,878,728,2,2,9,3,4,0,104,171,333,134,38,23,67,27
fliT,1,2,6,2786,1073,1889,1200,921,1193,980,6,8,7,2,5,3,113,204,464,127,49,49,89,39
fliX,305,130,169,28953,11752,23028,12345,11699,15078,12902,254,179,139,163,135,147,4227,10036,18893,6993,1422,1613,2683,1530
fliZ,16,8,11,3426,1447,2233,1785,1614,1838,1633,8,3,9,14,15,20,717,1388,2477,923,221,248,476,191
flk,17,7,7,261,101,171,128,66,120,95,30,18,14,10,13,13,42,94,181,78,70,73,124,97
flu,31,15,15,716,262,568,376,299,367,431,15,18,20,22,14,22,15,24,78,22,35,36,91,61
flxA,13,9,9,1616,571,1185,584,494,553,509,11,20,7,15,6,13,1806,3468,7106,2777,592,630,1045,428
fmt,1562,938,980,1253,460,931,517,515,534,525,1112,860,682,947,736,856,264,567,1141,443,375,524,755,655
fnr,1076,622,636,5122,1976,3451,1928,1581,2088,1937,958,830,609,762,549,741,716,1344,2485,1146,1136,1407,2173,1884
fnrS,221,74,85,108,26,90,45,35,43,36,175,71,83,94,87,121,28,36,96,37,111,117,169,187
focA,603,293,257,374,173,269,213,137,194,210,487,368,230,365,260,291,36,77,152,64,105,115,169,178
focB,1,3,2,6,1,6,3,3,2,5,2,3,5,3,1,3,3,17,15,7,6,15,17,12
folA,99,48,50,584,209,376,251,183,256,209,71,69,48,66,37,62,70,178,287,192,65,129,198,172
folB,6,2,3,38,13,27,26,9,11,20,4,11,4,1,7,3,11,37,67,33,31,41,39,40
folC,170,99,82,684,275,424,309,257,309,262,132,158,112,148,92,141,80,238,332,138,243,289,476,328
folD,94,48,39,1005,353,623,418,292,388,367,84,82,49,71,53,72,80,240,372,161,241,276,473,222
folE,126,96,48,822,338,542,329,280,321,276,80,76,64,62,62,61,63,187,319,140,128,171,252,193
folK,12,10,6,540,244,340,232,200,275,253,11,14,12,9,9,5,115,289,465,212,249,247,387,385
folM,72,37,35,148,62,111,72,53,74,87,73,54,56,48,41,50,20,44,65,28,49,101,157,92
folP,47,25,21,388,145,288,143,124,151,152,43,35,21,40,26,32,40,94,158,72,86,118,202,138
folX,318,184,137,487,191,289,193,167,234,185,248,177,150,214,137,163,50,127,215,87,112,116,217,199
fpr,35,11,9,617,205,358,217,207,222,280,34,29,15,21,18,11,49,74,145,51,12,26,28,36
frc,3,1,3,3,6,6,3,0,6,4,4,1,1,1,5,2,6,12,24,9,24,29,38,31
frdA,658,324,286,1819,729,1160,958,787,1011,703,477,350,274,341,271,283,44,82,146,62,91,89,143,233
frdB,150,79,54,554,218,401,362,204,328,209,125,96,55,50,60,76,19,26,45,25,20,18,35,53
frdC,88,40,42,311,119,195,153,132,127,112,54,49,41,42,34,38,12,24,25,12,13,10,10,24
frdD,672,436,357,784,317,602,435,388,492,354,659,388,482,554,546,650,42,90,103,82,44,61,76,99
fre,153,95,74,1250,546,867,564,383,553,549,128,125,89,104,84,90,63,181,309,156,113,174,220,218
frlA,2,0,1,3,3,1,2,3,4,1,1,0,2,0,1,0,1,0,2,2,0,4,1,0
frlB,27,7,5,41,19,21,18,25,17,16,24,10,10,23,11,18,8,27,22,7,11,10,12,9
frlC,0,3,0,15,8,6,6,6,5,3,3,5,3,6,0,1,5,8,17,10,13,4,9,5
frlD,10,4,2,31,12,20,8,7,15,15,9,7,7,6,3,7,5,20,49,18,8,25,24,15
frlR,35,18,18,184,81,128,57,76,62,78,37,17,21,22,26,30,33,80,196,73,79,84,139,68
frmA,85,31,37,463,151,214,172,109,196,138,91,49,50,77,49,66,248,649,966,340,2363,3927,3942,1273
frmB,18,13,7,100,32,52,48,28,41,40,16,13,9,10,10,9,53,85,151,44,655,1039,1059,304
frmR,25,5,6,98,34,50,32,28,30,32,9,13,5,9,6,14,60,142,207,69,471,716,740,247
frr,912,466,534,3190,1258,2181,1441,1128,1485,1325,703,642,485,715,561,520,545,1214,2197,850,1129,1348,2037,1534
frsA,164,86,79,420,170,241,154,140,200,153,170,135,93,151,102,83,44,127,227,77,162,228,367,243
fruA,201,107,129,198,79,106,94,57,65,78,190,99,110,146,112,115,63,170,215,88,114,151,208,281
fruB,107,42,65,166,45,115,79,53,69,33,79,65,31,45,44,88,5,9,26,13,18,24,29,139
fruK,165,77,75,105,47,75,46,35,47,37,114,105,71,93,72,82,10,26,38,11,33,25,59,151
frvA,2,0,1,3,2,5,2,0,1,2,2,0,1,0,0,1,1,1,7,2,2,1,10,3
frvB,2,2,3,13,8,4,2,1,5,4,3,2,2,5,1,4,4,13,20,5,4,5,9,4
frvR,6,6,8,40,10,30,21,16,13,15,9,18,4,9,7,6,27,74,125,37,13,22,28,26
frvX,7,1,1,13,6,13,8,13,12,6,2,5,0,6,4,2,10,13,28,16,8,10,8,12
frwB,3,0,1,25,12,14,8,5,7,7,1,5,3,0,0,5,9,8,16,6,5,0,4,4
frwC,1,0,0,22,8,8,17,6,12,11,1,0,0,0,3,0,3,4,7,0,0,2,6,2
frwD,2,1,0,1,2,3,0,0,2,3,2,1,1,0,0,1,2,2,7,2,0,1,0,1
fryA,4,5,5,75,27,53,28,34,31,30,15,10,3,6,6,11,35,49,109,45,23,45,87,33
fryB,1,0,1,6,1,3,1,2,3,0,3,2,2,3,0,3,0,2,3,0,7,4,9,7
fryC,3,1,4,4,3,6,3,1,2,2,2,5,4,1,2,3,2,5,5,0,1,6,7,14
fsaA,7,2,7,11,2,4,4,4,5,10,6,15,4,4,1,7,0,4,5,5,1,5,4,5
fsaB,7,3,3,38,8,13,10,12,13,5,8,4,5,6,8,3,0,1,6,4,0,5,9,4
fsr,17,6,16,87,38,66,40,47,37,54,21,12,5,10,10,20,5,25,48,20,15,28,47,30
ftnA,26,8,12,202,88,129,175,121,125,146,13,12,9,14,8,7,148,300,652,236,89,101,172,113
ftnB,34,30,24,173,72,139,92,76,120,110,38,24,17,25,21,16,19,59,81,34,69,96,138,102
ftp,7,4,1,131,49,71,50,52,42,44,5,7,1,15,1,7,54,62,135,66,102,107,179,125
ftsA,293,160,142,1780,676,1136,758,546,804,800,261,190,155,222,137,182,256,528,921,366,354,397,656,543
ftsB,102,63,73,347,131,252,174,128,155,132,120,102,71,80,65,80,87,228,390,150,193,242,340,210
ftsE,100,61,40,382,151,244,179,125,148,179,86,77,54,68,76,48,66,173,324,137,109,125,209,154
ftsH,2248,1296,1201,5695,2282,3649,2229,1562,2214,2346,1541,1384,1018,1189,935,1023,1526,3400,6312,2067,3877,4855,7653,4592
ftsI,149,102,79,1971,904,1682,1091,840,1144,1065,158,157,112,122,118,115,173,397,615,339,264,365,580,464
ftsK,421,292,264,2492,1019,1584,1096,963,1060,1205,353,379,240,273,224,236,463,1004,1688,691,1276,1461,2773,1540
ftsL,136,100,82,519,225,380,281,181,246,265,145,105,94,95,92,91,72,169,313,107,147,230,308,257
ftsN,268,145,129,999,414,637,426,334,410,394,272,199,158,200,148,162,187,424,733,267,284,397,602,548
ftsO,114,83,68,1531,697,1415,847,662,924,834,121,122,79,97,91,97,142,310,478,289,174,237,368,306
ftsP,119,46,39,640,222,350,243,205,247,286,80,76,67,68,45,40,51,110,208,70,298,330,618,296
ftsQ,103,74,71,725,291,495,303,246,301,353,106,80,67,77,62,79,128,331,611,255,238,250,413,305
ftsW,28,19,24,701,275,451,338,236,341,384,23,9,17,26,21,20,37,90,147,38,81,100,169,89
ftsX,170,106,81,702,293,427,284,204,299,296,130,114,96,104,108,116,110,270,471,148,204,236,386,276
ftsY,236,127,125,1266,525,857,572,411,569,542,208,173,143,169,123,177,260,659,1226,504,386,516,703,633
ftsZ,350,174,164,2071,829,1267,925,727,904,973,286,211,166,205,147,195,222,448,828,326,331,389,658,447
fucA,9,5,5,46,25,28,32,25,23,25,6,6,6,6,2,3,1,3,15,4,2,3,9,10
fucI,8,15,8,116,54,80,90,63,68,87,14,9,7,12,9,8,32,66,124,43,52,36,72,47
fucK,15,10,13,120,52,68,63,54,48,62,19,20,12,16,19,16,18,39,94,28,29,50,79,49
fucO,34,22,24,187,80,99,97,62,69,83,28,23,21,29,20,31,8,32,52,20,12,11,33,37
fucP,10,6,11,59,29,82,34,26,27,41,6,8,10,9,6,10,2,6,10,2,3,3,6,9
fucR,30,16,31,408,165,284,281,190,243,248,55,79,33,51,34,33,16,22,39,17,11,23,44,55
fucU,21,15,27,61,28,31,27,23,31,32,15,20,22,17,15,19,34,28,60,35,19,34,50,28
fumA,1038,570,606,6505,2574,4560,3001,2317,3134,2920,915,687,543,619,464,553,102,237,426,177,189,276,403,735
fumB,11,6,5,42,18,31,18,13,22,21,7,2,4,6,4,1,4,9,16,7,23,25,46,18
fumC,414,228,196,977,413,679,404,293,365,339,313,303,183,315,218,250,18,41,76,28,21,26,32,54
fumD,69,32,37,59,21,37,24,14,23,29,40,44,31,49,28,40,18,37,54,21,33,29,47,47
fumE,50,30,32,171,57,125,77,49,82,64,48,44,25,28,40,28,51,92,184,83,45,69,103,73
fur,813,444,397,3583,1328,2520,1452,1206,1607,1378,683,473,417,601,385,512,596,1304,2416,1058,1048,1414,2231,1673
fusA,9774,5377,4746,55026,20509,36577,23705,19658,26507,25631,7208,5339,4180,5673,4281,4942,8299,18803,34449,11888,26922,32869,52186,36820
fxsA,72,29,44,103,34,84,40,33,33,25,62,45,39,30,43,35,2,9,8,6,10,17,19,36
gabD,1100,805,630,527,171,325,149,135,180,188,914,989,604,566,446,594,2,7,8,3,13,8,22,20
gabP,303,176,157,219,70,136,72,60,68,104,220,213,144,125,97,138,13,11,24,10,12,19,22,19
gabT,1263,776,653,626,208,363,227,165,205,258,932,1033,534,551,511,539,1,5,14,2,7,8,21,22
gadA,72,45,37,85,28,43,33,28,49,22,67,41,39,62,42,47,11,20,56,10,28,25,50,39
gadB,112,54,46,96,30,45,36,23,45,42,83,60,57,70,43,54,12,22,43,13,20,44,59,57
gadC,137,57,45,119,44,69,35,49,58,45,80,68,43,71,60,87,43,101,171,82,47,44,103,77
gadE,9,3,10,21,5,6,5,6,7,8,10,7,6,4,6,1,0,1,3,1,0,1,2,11
gadF,12,3,4,6,4,5,6,1,5,8,7,12,11,5,5,11,0,0,2,0,0,7,3,2
gadW,14,6,10,80,41,34,29,35,39,19,22,17,10,17,7,7,16,29,57,32,18,34,48,53
gadX,137,60,68,35,6,17,7,15,16,7,160,88,52,115,76,87,8,25,41,6,18,26,42,59
gadY,96,56,65,399,167,306,150,98,212,119,106,69,63,43,55,72,117,176,459,314,123,114,235,243
galE,42,20,16,325,97,162,176,148,136,167,47,29,18,41,12,21,16,21,39,8,36,30,67,58
galF,263,130,139,1168,507,775,561,436,541,523,208,222,120,185,127,170,160,372,720,320,286,369,497,561
