,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
pat,2400,3430,1673,2578,2774,2063,550,1220,1558,727,590,494,601,953,570
patD,9931,12172,5967,25588,8096,260,66,128,200,87,103,92,119,67,44
pbp4b,157,246,116,131,148,42,12,17,26,27,70,66,83,53,68
pbpC,285,287,169,350,230,34,13,23,47,14,140,174,213,57,63
pbpG,490,621,264,557,400,239,85,164,224,115,287,241,304,518,341
pckA,14116,14992,7544,12380,12516,760,185,518,574,287,463,435,483,488,331
pcm,737,882,437,1102,611,132,45,81,127,69,503,457,504,585,465
pcnB,2325,2914,1477,1564,2173,102,34,66,86,29,1103,1046,1223,876,963
pdeA,562,605,231,318,417,33,11,31,37,13,170,143,180,76,70
pdeB,195,226,109,401,176,272,58,162,202,72,174,132,181,193,128
pdeC,146,172,78,446,69,691,222,463,525,230,125,99,105,175,101
pdeD,138,147,70,237,96,509,139,285,268,110,224,278,209,432,276
pdeF,59,41,30,61,33,14,6,12,17,7,85,85,94,53,33
pdeG,41,43,16,84,19,161,46,70,111,60,494,535,562,1139,734
pdeH,768,926,459,665,647,169,57,141,149,48,3419,3256,3647,618,561
pdeI,45,50,23,44,18,7,2,6,6,5,40,41,44,23,9
pdeL,96,111,53,89,94,25,4,18,36,2,298,325,362,167,140
pdeN,591,580,370,363,505,59,8,19,47,13,59,82,50,58,33
pdeR,759,851,454,2240,618,479,92,276,241,117,2841,2958,3067,4050,2843
pdhR,351,391,148,86,325,93,32,79,38,19,96,61,73,128,67
pdxA,1781,2308,1157,1555,1482,70,21,40,52,19,247,215,260,195,168
pdxB,1010,1308,643,1295,981,295,98,235,240,87,360,383,410,420,296
pdxH,559,653,351,676,529,74,20,35,88,20,114,93,123,70,43
pdxI,477,594,274,1386,366,496,139,263,363,142,646,583,627,915,578
pdxJ,673,781,362,850,616,356,92,196,278,119,193,194,180,148,103
pdxK,262,256,90,409,212,81,38,61,57,31,98,92,91,140,58
pdxY,666,907,526,600,811,11,2,10,15,3,66,88,70,62,68
pepA,2323,3083,1635,4182,2331,934,277,597,736,323,3809,3616,4088,5103,4065
pepB,2059,2605,1256,1793,2081,174,57,95,166,65,983,897,1063,685,736
pepD,3738,4130,2258,7985,3390,806,209,495,603,288,679,776,683,806,568
pepE,298,321,172,181,248,21,10,8,28,6,23,23,25,22,12
pepN,4070,5381,2715,9355,4020,2319,664,1368,1682,642,1726,1690,1775,2881,1809
pepP,1796,2366,1146,2572,2023,780,217,496,656,288,510,527,607,666,485
pepQ,1871,2107,1099,3600,1732,576,148,336,394,174,479,486,519,374,269
pepT,433,530,214,1306,352,810,223,538,624,282,2058,2115,2374,3142,1855
perR,32,16,10,36,17,5,3,3,7,0,19,26,21,12,12
pfkA,2052,2254,1152,4831,1773,2247,631,1384,1628,788,2469,2655,2946,4146,2729
pfkB,100,85,42,327,54,653,212,402,466,172,2122,1916,2055,3454,2275
pflA,487,431,263,646,318,2027,547,1369,1977,765,381,361,470,1111,597
pflB,11706,13739,6913,21025,10356,26626,7848,18652,16659,7940,5068,5138,5393,7974,5415
pflC,36,48,22,22,28,5,1,4,10,0,20,16,32,19,14
pflD,56,93,56,66,66,21,6,9,11,4,56,44,53,26,36
pgaA,29,28,16,45,10,13,8,19,13,5,59,88,85,80,63
pgaB,24,32,12,12,10,12,1,2,3,1,50,45,53,32,29
pgaC,14,13,13,30,13,7,2,6,7,0,84,74,99,47,47
pgaD,19,4,2,6,4,7,5,4,9,3,27,51,37,32,15
pgi,2496,2820,1339,4810,2005,3179,991,2206,2365,1055,2121,2030,2135,3180,1872
pgk,6074,7348,3554,11883,5607,5531,1568,3404,3976,1680,3636,3568,3842,5734,3145
pgl,795,952,498,3602,701,970,316,684,629,302,2242,2087,2286,3130,2016
pgm,3198,3719,1854,5173,2899,1395,396,927,1072,505,2650,2544,2786,2694,2586
pgmB,9,3,1,3,3,0,1,0,0,0,35,30,21,10,15
pgpA,575,693,284,503,431,145,43,81,198,46,188,125,209,253,167
pgpB,215,225,109,349,153,123,41,81,66,51,310,292,298,483,327
pgrR,126,100,58,231,70,21,14,24,11,6,193,205,235,345,191
pgsA,532,557,276,555,404,140,47,64,151,44,157,166,152,179,106
pheA,801,867,473,848,691,166,42,100,178,88,105,111,110,112,78
pheL,53,26,11,67,17,14,5,9,14,11,21,23,21,21,12
pheM,99,166,62,81,110,7,0,0,6,0,27,26,22,26,21
pheP,475,544,270,236,491,65,18,53,48,10,232,244,268,150,145
pheS,1805,2548,1236,1285,1991,96,10,53,60,14,1208,1094,1265,1020,1124
pheT,6787,9307,4622,6811,7383,3350,1035,2161,2505,967,8133,7577,8264,10055,9243
pheU,49,50,22,134,43,101,40,56,80,33,111,123,156,317,207
pheV,8,4,6,10,9,4,0,0,9,0,3,12,8,14,11
phnC,1,0,3,5,2,9,1,4,2,0,19,6,17,15,12
phnD,1,1,1,8,0,4,1,0,2,0,10,15,5,1,5
phnF,0,0,2,3,2,3,0,0,0,1,1,2,2,0,1
phnG,1,0,0,0,4,1,0,0,1,0,0,0,0,0,1
phnH,0,1,0,2,0,1,0,1,0,0,9,2,1,3,1
phnI,0,5,1,4,7,2,0,0,4,0,5,2,0,0,0
phnJ,0,0,3,6,4,4,0,0,0,0,3,2,4,1,2
phnK,2,2,2,4,6,5,2,4,2,0,8,6,8,9,5
phnL,0,16,0,27,1,12,5,7,7,2,11,13,21,10,14
phnM,10,5,1,12,8,3,1,6,7,1,23,9,13,9,13
phnN,5,8,5,5,9,15,2,4,12,4,11,19,15,13,10
phnO,109,91,29,236,56,87,27,53,89,28,127,125,148,139,109
phnP,129,137,68,336,71,116,23,64,65,42,115,97,120,112,112
phoA,754,834,392,813,675,38,12,42,24,10,215,224,244,175,124
phoB,138,165,103,269,130,120,35,84,96,20,223,220,213,285,175
phoE,3,4,1,19,3,3,0,7,5,4,14,32,21,25,18
phoH,207,256,140,2558,229,3069,965,1926,2165,945,518,511,560,1304,579
phoP,605,695,331,1564,559,109,26,82,94,31,437,410,439,771,373
phoQ,1140,1441,629,2683,1157,109,35,71,59,23,581,439,630,535,478
phoR,124,170,83,253,141,77,12,52,56,20,181,150,174,146,137
phoU,321,439,180,349,265,62,18,42,44,24,156,109,153,149,107
php,1,13,5,22,14,9,1,6,5,3,11,15,16,13,16
phrB,519,668,406,2287,357,428,127,270,342,148,477,392,447,856,643
pifC,385,451,227,542,354,61,16,47,68,13,358,355,381,307,274
pinQ,58,56,37,55,59,13,7,3,16,2,89,93,111,116,76
pinR,68,84,55,54,57,15,8,6,12,4,119,105,117,139,71
pitA,3959,4609,2230,2182,3570,1724,520,1032,1201,537,1904,1815,2092,2872,2268
pitB,42,28,13,32,24,18,3,4,16,2,97,95,100,80,71
plaP,2746,3323,1638,614,3144,134,26,90,94,41,314,362,379,111,157
pldA,483,458,254,399,407,41,7,22,33,15,110,108,110,104,91
pldB,633,702,410,830,463,162,36,122,140,72,220,182,243,203,162
pliG,10,3,6,14,8,60,25,77,78,22,41,32,32,61,30
plsB,3392,3801,1885,1944,2419,1092,243,682,750,274,611,566,588,303,259
plsC,475,525,277,396,470,41,15,19,38,10,241,175,208,142,149
plsX,3405,3533,1797,1859,2919,358,82,170,323,148,583,585,613,594,472
plsY,384,319,246,264,272,111,31,59,94,20,251,249,278,522,278
pmbA,1006,1096,570,1814,846,1237,370,739,902,413,668,617,676,1137,656
pmrB,186,245,84,391,119,179,56,110,129,38,291,257,294,389,313
pmrD,177,188,87,145,143,7,1,1,2,1,47,40,36,41,16
pmrR,41,49,18,208,25,3,0,1,2,3,86,114,93,77,69
pncA,570,648,335,441,559,30,4,16,15,11,70,77,49,54,56
pncB,2637,3058,1531,3079,2608,936,237,654,730,304,900,887,957,853,697
pncC,289,315,190,293,295,30,16,22,41,7,170,152,180,142,141
pnp,25504,31548,15452,32771,25972,2326,661,1404,1924,779,6474,6299,6718,6911,5619
pntA,3061,4244,2280,4069,3260,529,157,300,329,166,1798,1721,1941,1938,1587
pntB,3421,4888,2275,4174,3615,971,286,645,623,329,1584,1531,1658,1775,1585
pnuC,452,550,293,1369,364,868,245,515,633,310,1999,1979,2067,1921,1150
polA,2238,2588,1330,3159,2019,902,239,587,713,316,531,489,573,614,477
polB,467,548,312,896,376,569,169,334,377,169,1850,1618,1876,2816,2327
potA,681,830,365,348,727,48,17,36,43,22,235,215,236,205,187
potB,395,460,300,196,425,21,12,18,22,20,44,50,75,40,39
potC,343,451,178,164,358,20,3,9,27,14,199,153,209,176,181
potD,1395,1657,869,1254,1380,88,36,58,72,28,545,489,552,383,424
potE,82,54,31,87,39,100,41,59,63,29,167,134,152,164,146
potF,1000,1289,695,2790,1069,536,157,328,447,197,933,864,1027,2067,1324
potG,558,748,425,1245,663,93,32,61,65,20,319,281,271,561,405
potH,221,352,206,474,293,36,14,27,32,13,86,46,69,102,72
potI,372,407,251,578,303,75,37,47,75,36,160,139,149,122,117
poxB,701,853,377,4221,506,2102,551,1051,1162,548,669,743,811,1408,774
ppa,2559,2381,1216,1698,1732,362,92,195,246,112,294,314,360,444,194
ppc,3596,4454,2319,6268,3324,1070,292,655,845,311,233,261,297,275,201
ppdA,64,61,26,15,42,4,2,0,3,0,17,27,16,20,26
ppdB,70,92,46,62,99,8,7,9,21,1,71,52,60,36,26
ppdC,77,98,52,59,61,13,8,25,17,3,62,50,55,17,40
ppdD,3,8,6,6,15,1,0,2,0,2,8,6,3,4,2
pphA,81,54,38,83,54,250,74,147,233,80,872,746,890,2049,1299
pphB,20,11,14,14,7,4,1,1,6,0,12,14,10,13,17
pphC,19,19,17,13,26,4,2,8,1,1,40,31,35,12,14
ppiA,634,611,308,647,452,118,43,100,168,46,160,210,272,232,145
ppiB,1528,1402,750,1491,1194,480,175,369,574,269,349,354,359,468,232
ppiC,204,208,129,133,152,27,13,33,31,18,74,74,89,110,62
ppiD,4348,4957,2486,3542,3900,634,158,409,573,230,954,985,1096,939,1034
ppk1,1255,1837,889,1927,1551,972,225,557,566,245,227,216,256,334,212
ppnN,2243,2420,1357,4917,1650,341,102,201,290,95,310,342,349,531,307
ppnP,408,312,202,847,252,137,28,48,132,59,237,235,252,483,211
pppA,36,45,24,57,38,4,7,2,1,2,49,29,66,36,17
ppsA,15600,20048,9954,24135,17772,1389,426,859,989,413,685,630,726,386,312
ppsR,485,565,292,1124,468,147,32,102,108,52,395,338,401,576,335
pptA,19,25,11,37,14,3,1,1,1,5,37,49,62,96,39
ppx,1107,1498,758,1531,1056,802,211,580,584,276,121,155,148,153,119
pqiA,397,524,230,413,350,495,111,316,330,161,599,632,684,807,651
pqiB,543,675,346,576,435,593,165,326,513,201,601,621,657,461,498
pqiC,212,169,83,192,119,327,95,215,254,102,171,166,163,201,130
pqqL,161,189,114,117,114,40,10,31,37,6,133,159,185,142,86
pqqU,611,726,356,880,414,102,37,66,83,57,1278,1300,1301,1900,1610
prc,9241,10903,5100,8743,7780,456,137,306,448,238,1716,1574,1624,1385,1437
preA,68,71,38,68,67,25,12,13,22,16,57,49,53,53,43
preT,34,92,44,58,43,49,7,17,19,14,44,43,62,60,50
prfA,881,1003,475,617,642,100,20,58,74,47,377,337,413,324,392
prfB,4280,5111,2551,2905,4303,362,84,210,293,139,757,710,856,718,619
prfC,2517,3096,1518,1360,2389,87,34,54,64,30,1385,1289,1376,1059,1066
priA,518,678,347,461,543,60,14,23,18,16,277,281,279,203,207
priB,7160,7169,3503,1654,7282,277,75,186,186,78,894,896,985,427,586
priC,144,95,62,132,58,82,33,61,52,33,148,146,147,106,102
prkB,529,536,286,897,455,131,44,80,102,56,235,190,221,259,175
prlC,1276,1631,810,4099,1021,2633,731,1675,1964,815,2393,2295,2531,4555,3262
prlF,77,59,38,58,39,129,38,63,47,24,190,214,188,369,184
prmA,618,746,294,597,513,185,63,133,130,66,245,235,247,298,228
prmB,960,1283,575,918,944,64,20,40,27,23,263,239,261,228,175
prmC,379,428,261,257,349,26,3,13,19,7,126,150,126,78,120
proA,932,1432,636,1605,1044,1132,335,666,703,386,1264,1260,1340,1223,1116
proB,1094,1546,693,1367,1156,559,171,337,434,210,1376,1232,1400,1028,1243
proC,414,408,208,634,315,558,202,374,353,163,405,462,475,664,401
proK,34,62,26,39,32,53,23,23,42,31,10,18,20,81,23
proL,56,101,55,58,70,8,1,7,7,4,5,6,6,7,8
proM,52,61,33,15,55,7,4,0,16,0,1,4,7,14,1
proP,1667,1810,978,6203,1179,581,158,338,418,155,6571,6004,6946,6004,6053
proQ,5213,5472,2755,4583,4156,551,192,420,533,203,2247,2261,2177,1967,1703
proS,5201,6171,2911,4084,4793,1440,425,944,1139,504,1685,1507,1758,1954,1663
proV,267,263,145,416,239,13,6,7,4,4,489,506,556,528,461
proW,232,273,87,396,180,10,6,10,10,2,310,333,378,275,327
proX,195,206,75,503,144,13,5,2,3,3,104,84,126,86,87
proY,761,953,486,408,617,510,154,294,363,169,330,353,396,378,349
prpB,329,388,233,667,311,1773,439,985,1377,532,48,56,47,5321,4373
prpC,248,339,124,778,245,506,134,298,405,175,35,30,37,1122,1110
prpD,408,543,284,1181,489,594,143,317,501,167,26,42,36,481,497
prpE,402,558,314,1300,505,416,124,217,308,125,58,70,79,299,283
prpR,142,192,65,724,113,193,54,99,118,51,139,142,164,172,176
prs,9806,11186,5119,3805,8639,268,81,147,193,89,974,990,1073,1310,1202
psiB,39,40,20,23,40,41,9,25,22,23,30,24,47,14,22
psiE,8,24,7,45,16,26,6,22,11,10,136,132,147,240,186
psiF,110,137,83,454,102,416,148,243,481,180,240,212,220,616,218
pspA,250,295,113,320,217,2823,2193,5764,2408,1035,110110,105516,115174,331788,215449
pspB,41,77,26,63,51,540,201,712,511,148,23758,24219,25481,58344,39407
pspC,70,65,59,98,65,1238,375,839,808,330,27910,27065,29104,76020,50089
pspD,18,43,9,44,34,544,148,271,315,137,8768,9489,9755,32609,18195
pspE,287,336,207,297,229,825,273,497,754,353,14608,16624,17218,64723,32271
pspF,77,100,39,154,55,12,9,16,7,8,142,132,144,187,134
pspG,8,20,14,13,11,1064,552,1036,799,358,2332,2691,2921,17054,6304
pssA,2649,2941,1463,2695,2324,1474,356,934,1178,511,1547,1449,1494,2074,1455
pstA,254,387,165,247,259,74,20,46,50,34,265,243,340,250,227
pstB,206,292,126,276,237,47,18,42,21,20,116,114,127,131,105
pstC,228,215,151,227,195,80,22,41,48,28,285,245,290,253,299
pstS,407,473,202,456,440,86,33,74,63,47,395,329,360,333,334
psuG,59,74,42,47,70,13,2,2,1,0,56,66,69,45,29
psuK,33,21,29,11,33,5,1,2,2,2,44,35,42,16,11
psuT,175,208,102,141,156,68,16,46,48,37,225,203,208,228,174
pta,3857,5728,2936,4079,4318,1192,292,753,874,345,495,515,523,629,525
pth,238,262,155,148,206,40,9,45,24,7,116,134,120,95,81
ptrA,1927,2120,1147,1051,1537,136,55,92,94,37,765,749,834,336,305
ptrB,483,565,277,1075,362,609,178,429,526,218,736,721,799,700,508
ptsG,3701,4052,1932,4137,2830,4769,1337,3034,3571,1499,1568,1494,1780,3070,2051
ptsH,3310,3480,1805,4591,2862,646,217,431,590,301,1301,1330,1443,2049,1306
ptsI,12710,13294,6672,19705,9711,9081,2690,5678,7777,3323,8316,7726,8797,15161,9562
ptsN,1024,1104,583,1439,884,281,57,127,181,73,199,178,229,196,194
ptsP,3726,4430,2194,4531,3542,451,128,248,364,122,499,438,476,331,331
punC,31,32,25,50,39,38,12,24,20,7,466,443,486,302,341
punR,79,73,53,95,55,51,14,36,53,22,142,122,168,152,93
purA,5656,6778,3285,5480,5605,577,165,329,436,141,639,577,702,431,475
purB,2742,3309,1662,1356,2764,46,12,25,33,16,116,122,141,92,88
purC,2988,3591,1712,1793,2454,18,3,10,10,4,10,26,22,27,10
purD,1278,1690,831,446,1508,72,22,38,29,12,76,65,75,77,83
purE,694,916,451,320,771,0,0,0,7,3,20,20,28,11,5
purF,4031,4915,2595,1470,4689,125,33,73,80,26,278,280,350,323,245
purH,1454,1824,996,621,1828,35,6,21,29,7,55,55,57,55,48
purK,1363,1669,921,617,1469,6,4,8,0,2,20,31,40,35,32
purL,11637,14919,7422,4846,13769,69,14,24,49,12,226,150,191,132,125
purM,5567,6662,3423,2145,5811,3,2,11,3,2,73,66,57,69,62
purN,2560,2848,1388,1045,2556,43,10,40,43,19,90,71,60,58,52
purR,3366,3595,1669,1552,2549,34,4,9,18,4,294,315,408,348,352
purT,1504,1911,826,552,1722,8,2,2,2,3,34,36,38,28,22
purU,854,844,460,997,674,112,44,81,149,33,386,388,460,437,324
putA,51954,78970,39061,68645,63453,39,14,21,20,17,87,82,82,40,37
putP,15903,20523,9820,10449,13313,160,65,96,134,40,315,308,324,178,143
puuA,556,565,367,2316,348,167,39,127,111,47,936,808,977,1389,1006
puuB,88,146,75,1785,85,31,8,18,22,3,182,172,194,210,171
puuC,188,263,81,2058,194,47,15,22,21,7,536,564,545,484,475
puuD,292,304,148,1078,143,222,59,123,143,53,725,752,808,2119,1203
puuE,90,175,56,2031,120,21,6,15,16,6,125,143,123,120,102
puuP,247,367,145,1442,271,128,40,96,105,49,207,193,232,246,187
puuR,254,279,127,944,184,238,65,135,153,66,959,930,1024,2227,1493
pxpA,318,447,181,667,351,49,18,39,41,25,197,220,263,219,223
pxpB,391,474,232,950,420,256,48,99,127,56,458,332,439,549,484
pxpC,749,862,414,1550,568,233,68,131,182,95,691,654,701,739,704
pyk,4137,4741,2454,3534,3787,1865,567,1164,1441,748,1569,1497,1821,2215,1515
pykF,3687,4172,2061,8263,3068,6377,1889,4324,4447,1951,2468,2354,2575,4824,2758
pyrB,418,741,369,106,642,0,3,0,1,0,22,8,12,6,4
pyrC,1727,1942,937,884,1660,26,6,16,18,11,29,46,41,27,20
pyrD,587,714,313,201,590,8,2,8,11,9,48,46,47,18,33
pyrE,228,215,119,86,199,2,0,3,3,1,5,8,17,9,6
pyrF,382,465,275,228,442,18,13,16,15,6,120,162,150,123,127
pyrG,6393,7293,3824,7170,6183,6833,2165,4190,5514,2302,3490,3332,3568,6038,3725
pyrH,1483,2160,996,827,1709,147,40,88,88,34,333,316,329,238,213
pyrI,229,284,159,68,287,11,6,6,7,1,19,24,9,20,13
pyrL,31,37,30,58,18,48,11,20,19,18,13,10,13,32,25
qmcA,161,189,98,282,125,562,169,353,381,141,435,390,480,1159,648
qorA,292,332,155,1382,233,1378,362,716,974,417,596,533,596,1029,578
qorB,61,47,13,67,38,35,10,28,50,18,79,101,102,92,86
qseB,13,48,9,27,25,11,3,15,6,4,57,33,34,25,32
qseC,72,60,35,91,55,33,11,20,44,6,111,102,89,114,74
qseE,412,358,212,436,271,144,36,95,70,35,402,420,441,354,267
qseG,283,310,215,384,245,56,11,33,35,26,203,235,221,210,191
queA,514,515,267,181,451,26,5,12,17,5,250,223,260,116,142
queC,225,244,78,282,171,111,47,64,127,41,39,62,89,98,59
queD,199,194,114,75,161,1,2,1,0,0,45,29,20,38,25
queE,640,751,372,1108,591,588,187,309,548,221,564,538,701,1583,844
queF,466,415,257,465,363,73,22,56,88,32,134,128,135,168,128
queG,211,188,123,282,151,94,35,56,72,33,136,116,147,192,155
quuD,9,9,7,4,14,20,5,3,13,1,11,17,25,22,10
racC,4,6,1,5,2,1,0,5,2,3,11,5,8,13,16
racR,480,533,285,426,417,35,5,38,46,22,98,62,111,81,82
radA,889,1153,582,736,903,141,46,99,100,32,608,521,567,442,505
radC,114,192,69,161,87,23,8,11,25,4,95,86,86,163,76
radD,268,340,178,295,267,85,13,39,56,22,93,57,104,55,83
raiA,1570,1190,621,4707,902,5994,1781,3637,6650,2825,1654,1950,2178,2406,1149
ralR,0,2,3,1,2,0,0,0,1,0,4,9,5,13,1
rapA,988,1313,626,1031,1082,697,230,432,449,178,1358,1315,1479,1047,1062
rapZ,1320,1444,803,1872,1049,292,63,183,191,89,198,169,229,267,157
rarA,1031,1231,614,1230,943,101,20,52,85,39,162,174,229,187,103
rarD,208,253,108,156,184,41,19,27,26,12,261,188,237,214,181
ratA,353,395,169,338,278,73,12,38,61,11,102,108,118,95,77
ravA,288,338,168,793,265,224,58,123,134,78,335,346,375,396,275
rayT,29,40,17,27,22,14,4,5,16,2,14,34,23,43,17
rbbA,285,538,253,723,453,78,19,42,66,19,532,519,550,218,181
rbfA,470,779,322,393,612,132,36,83,150,46,853,984,898,667,647
rbn,233,358,147,249,188,44,14,31,64,30,106,127,151,137,96
rbsA,1271,1669,876,919,1174,435,120,287,397,194,83,57,92,144,58
rbsB,5529,6493,3226,6156,4009,332,104,246,261,110,739,740,801,815,665
rbsC,1638,2082,1026,1378,1314,304,87,188,233,91,371,362,357,389,407
rbsD,902,881,421,644,510,215,70,129,182,95,31,29,37,231,56
rbsK,1212,1425,732,851,971,26,13,22,23,10,180,176,166,178,167
rbsR,361,383,219,246,295,15,1,8,3,0,55,36,49,39,45
rcbA,0,3,0,8,4,0,2,3,0,0,7,7,7,6,6
rcdA,50,48,40,39,44,23,17,44,41,15,44,26,40,80,34
rcdB,35,56,25,47,29,16,2,31,21,5,101,129,146,126,85
rclA,112,140,39,431,71,109,32,57,64,20,123,82,138,132,71
rclB,2,9,1,1,3,0,1,2,4,0,9,8,10,16,9
rclC,16,10,11,26,13,5,3,12,6,2,60,26,49,36,33
rclR,19,13,10,53,18,6,3,3,5,3,50,61,66,60,32
rcnA,37,39,42,27,30,3,3,8,2,0,28,32,41,15,9
rcnB,49,72,17,69,31,47,13,17,17,11,117,134,145,164,82
rcnR,33,23,15,31,17,6,2,1,2,6,28,17,34,36,30
rcsA,358,363,204,277,284,5,1,1,3,0,48,39,28,38,35
rcsB,2559,2471,1350,3518,1990,1106,281,529,897,382,1543,1656,1789,2313,1498
rcsC,1329,1466,786,1348,1079,269,78,126,226,76,894,815,919,638,519
rcsD,2184,2269,1145,2263,1775,372,117,204,267,116,700,721,747,665,491
rcsF,388,432,186,401,341,47,16,42,57,21,237,218,250,202,187
rdcB,602,705,358,879,600,134,32,67,82,22,1306,1343,1473,439,387
rdgB,594,736,339,479,562,34,16,14,24,10,171,203,174,153,119
rdgC,464,507,291,339,397,93,22,82,44,25,106,124,94,122,124
recA,7750,8309,4235,7582,6164,4089,1255,2278,3582,1205,13987,14661,15700,34434,23911
recB,1701,2422,1135,1279,1847,103,36,43,58,39,380,350,353,85,88
recC,1096,1487,704,1349,1114,372,89,186,239,155,382,327,407,230,210
recD,739,909,512,665,810,262,55,167,165,77,364,356,341,202,159
recE,33,34,41,46,38,54,19,42,44,24,79,90,107,71,53
recF,755,750,457,545,605,22,2,7,19,21,197,173,194,88,88
recG,974,1140,577,787,913,45,13,29,38,27,88,78,87,42,38
recJ,1499,2074,1011,1564,1220,260,59,188,243,104,948,965,1006,764,882
recN,2498,2519,1391,3211,2032,2930,755,1793,2509,1006,7666,7476,8129,15841,10652
recO,739,771,512,506,644,316,77,175,293,101,194,140,198,150,166
recQ,924,1104,582,509,833,17,6,12,9,6,122,131,141,88,82
recR,1344,1480,738,1239,1119,232,68,124,148,60,263,241,244,378,231
recT,35,27,15,29,40,29,10,13,33,7,86,45,76,83,38
recX,152,119,64,99,114,52,13,22,50,28,323,344,315,682,513
relA,1703,2211,1106,1611,1543,179,45,102,137,72,707,671,789,470,422
relB,89,84,52,81,45,236,53,128,166,78,218,297,310,507,244
relE,171,252,74,192,120,1097,377,712,888,375,1113,1115,1113,2339,1272
rem,12,23,9,14,4,13,7,8,7,10,70,71,106,101,76
rep,487,514,309,370,457,69,25,23,45,36,206,210,251,132,110
repA,711,787,394,431,504,288,82,130,373,123,181,177,200,457,214
repE,440,417,269,474,277,71,15,57,38,26,279,238,284,283,222
rfaC,718,925,438,823,614,152,37,96,110,42,110,68,109,100,53
rfaD,1073,1367,660,1287,929,909,273,614,772,320,413,406,405,813,512
rfaF,814,1002,545,1120,834,377,90,192,291,99,142,117,160,204,125
rfaG,609,794,389,548,579,399,108,209,327,196,187,156,202,202,191
rfaH,124,126,52,165,101,57,11,49,54,22,128,153,167,241,143
rfaJ,308,333,217,299,289,92,27,69,106,45,27,59,54,80,48
rfaP,256,387,158,209,233,162,37,76,124,50,69,57,79,51,49
rfaQ,776,841,426,643,782,475,121,316,379,153,228,217,232,273,238
rfaS,116,159,74,93,63,49,21,46,61,42,14,28,19,21,15
rfaY,165,172,68,114,111,62,11,15,38,26,16,26,25,46,17
rfbA,2474,3129,1404,1997,2349,365,84,165,218,91,478,476,497,475,403
rfbB,2240,2517,1366,1425,1963,394,113,245,284,96,404,423,416,326,289
rfbC,1009,1068,509,590,785,112,30,64,95,62,153,181,181,133,132
rfbD,2601,2777,1585,1792,2383,389,84,242,258,144,393,426,440,381,393
rffA,592,678,374,791,637,192,50,107,119,49,314,279,312,280,187
rffC,384,554,266,503,400,37,4,25,14,12,119,111,119,88,89
rffG,886,1153,639,861,876,48,15,16,40,8,177,168,171,96,93
rffT,376,455,246,377,435,197,48,134,138,63,273,285,275,250,184
rhaA,1,15,1,8,7,8,1,6,3,1,8,9,4,2,0
rhaB,1,3,3,8,7,1,1,6,2,1,7,14,10,3,8
rhaD,3,2,4,13,8,3,2,1,3,0,0,2,5,1,1
rhaM,2,3,2,1,0,0,0,0,0,0,2,0,6,2,0
rhaR,26,47,19,32,20,7,1,7,5,1,15,6,23,20,13
rhaS,17,33,19,22,20,3,3,1,7,3,11,11,18,12,10
rhaT,56,48,14,67,20,54,18,24,16,12,50,56,46,83,64
rhlB,3725,4196,2121,3265,3095,576,145,332,469,149,849,813,801,936,783
rhlE,335,330,144,264,273,62,13,18,49,14,714,589,690,358,421
rhmD,107,130,64,174,103,88,25,58,51,13,11,11,26,8,12
rho,11096,11467,5905,7542,8080,2400,646,1419,1561,637,4232,4338,4825,7006,6199
rhoL,824,819,475,580,617,88,15,54,71,29,267,375,321,585,302
rhsA,94,123,73,110,93,81,21,50,66,32,139,154,194,142,103
rhsB,137,127,70,114,105,79,23,45,52,28,179,173,194,145,129
rhsC,109,133,55,101,85,80,18,49,52,39,173,156,186,167,156
rhsD,194,206,72,232,126,174,56,117,120,63,452,427,499,366,326
rhtA,91,137,66,99,89,32,6,30,21,8,94,88,86,69,52
rhtB,50,51,35,59,35,16,0,7,9,2,18,19,23,21,11
rhtC,521,638,259,586,400,98,27,67,89,33,59,92,72,104,96
ribA,369,405,199,294,238,202,72,130,214,65,44,38,67,78,56
ribB,2536,2472,1189,1297,1982,3398,1020,2269,2841,1271,818,756,882,1588,1201
ribD,1018,1167,606,969,940,315,72,183,249,114,284,216,270,219,233
ribE,1636,1833,831,1432,1298,288,93,193,293,106,592,523,634,707,538
ribF,1225,1481,721,1338,1166,375,115,252,295,141,447,506,467,459,380
ridA,2126,2048,959,1271,1440,56,28,29,44,21,166,147,189,168,84
rihA,650,694,328,482,542,29,6,15,25,8,20,7,25,21,12
rihB,10,4,11,14,5,9,2,9,4,4,49,58,91,40,26
rihC,412,565,279,526,374,20,2,12,16,3,41,52,55,17,26
rimI,248,257,143,197,192,69,12,42,40,13,231,250,259,244,192
rimJ,198,204,105,317,179,138,41,83,93,42,125,136,137,166,112
rimK,398,443,202,461,300,62,11,29,45,15,212,219,218,163,183
rimL,169,115,56,192,104,16,12,20,15,1,111,93,97,140,112
rimM,13480,13207,6694,4150,10720,1034,327,651,774,340,3290,3176,3326,2453,2414
rimO,697,593,322,244,570,12,2,13,9,13,134,138,148,117,115
rimP,1720,1880,1029,951,1460,271,72,150,239,65,981,1011,1164,1128,1079
rlhA,959,1238,663,515,1023,48,11,16,24,14,271,276,275,201,186
