,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
yffQ,0,0,0,0,3,2,0,3,1,1,2,0,2,4,7
yffR,27,10,5,13,10,53,8,13,7,8,31,26,9,86,33
yffS,293,234,126,403,196,87,26,68,70,30,82,55,103,107,66
yfgG,419,337,219,465,237,82,36,74,70,25,103,115,126,322,122
yfgH,15,13,4,9,8,10,3,8,8,6,49,36,58,31,25
yfgI,19,8,11,32,10,102,40,92,104,55,72,72,79,134,68
yfgJ,175,193,98,161,140,33,15,20,14,7,249,271,227,164,151
yfgM,1887,2232,1150,1489,1698,166,43,104,144,37,669,656,729,564,552
yfgO,432,577,331,460,455,369,121,268,299,89,239,258,282,241,245
yfhH,271,340,121,168,187,100,29,77,81,18,585,597,733,625,493
yfhL,54,53,30,16,56,35,13,16,14,2,101,85,89,70,68
yfhM,1902,2521,1174,2886,1754,2008,568,1246,1545,607,1338,1401,1390,1718,1230
yfhR,50,23,11,8,29,3,0,8,0,4,19,18,16,10,12
yfhb,417,537,272,1143,414,224,84,156,191,68,533,475,500,582,424
yfiB,145,96,82,132,102,8,4,15,3,1,33,43,47,33,24
yfiE,157,160,91,167,133,108,26,80,68,43,201,186,199,233,204
yfiF,1335,1469,711,1194,1206,207,69,156,163,44,860,844,908,674,595
yfiH,989,1106,597,1039,742,220,60,121,109,56,512,442,494,416,450
yfiL,15,24,4,93,11,76,14,38,50,36,76,81,101,237,96
yfiM,54,37,38,70,40,21,2,9,3,5,13,21,15,23,19
yfiR,145,120,69,118,93,52,9,15,51,11,84,75,99,128,74
yfjD,850,956,470,614,642,41,16,39,32,25,246,231,280,180,194
yfjF,172,191,87,141,127,27,7,10,27,7,49,42,51,33,24
yfjH,92,72,35,33,56,8,4,7,9,10,24,22,15,12,16
yfjI,11,25,13,14,13,6,3,8,7,3,31,26,19,20,14
yfjJ,8,13,2,0,3,8,2,6,3,5,4,16,14,19,20
yfjM,8,7,2,10,4,0,3,2,1,0,5,8,4,7,10
yfjP,37,45,17,116,23,91,19,52,58,23,157,218,199,279,211
yfjQ,22,27,6,13,12,9,0,2,1,0,49,39,54,28,45
yfjR,9,3,1,8,3,0,0,0,0,0,19,9,18,12,14
yfjS,3,7,2,9,6,1,0,0,0,0,12,8,10,5,7
yfjT,47,24,10,22,14,10,7,1,7,2,41,54,45,26,15
yfjW,191,225,136,204,161,29,2,14,21,5,14,16,18,37,7
yfjX,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0
yfjY,6,0,3,0,0,0,0,2,0,0,0,1,0,1,4
yfjZ,3,4,1,4,1,3,0,0,0,0,1,3,2,2,3
ygaC,44,64,29,72,15,51,26,40,51,24,154,154,192,334,162
ygaH,294,263,127,205,180,4,2,1,6,0,13,8,20,7,10
ygaM,618,563,289,2675,351,3070,975,1515,1963,980,736,855,885,3753,1154
ygaP,86,63,49,154,58,48,9,29,35,23,70,73,93,105,51
ygaV,15,37,11,26,14,7,5,5,21,7,28,18,17,14,14
ygaZ,725,799,465,647,502,32,5,9,11,1,110,94,89,30,45
ygbA,61,29,26,37,43,16,16,23,22,15,108,143,153,228,145
ygbE,106,194,152,195,101,14,7,16,11,5,129,158,167,102,92
ygbI,202,239,127,213,179,149,49,107,155,76,166,167,172,227,139
ygbJ,25,28,14,45,24,121,33,62,50,19,118,88,140,198,70
ygbK,46,51,47,88,45,74,24,58,48,29,239,235,269,118,78
ygbL,24,26,9,30,13,32,5,10,10,3,69,88,79,37,8
ygbM,36,32,26,54,44,17,1,15,18,3,72,63,70,40,30
ygbN,22,31,16,51,27,61,14,37,49,28,85,96,109,119,67
ygcE,59,69,33,62,53,18,7,16,33,1,16,46,39,36,21
ygcG,8,16,5,4,1,4,0,2,2,1,13,6,13,18,6
ygcN,151,190,49,56,129,11,4,8,4,8,46,52,56,31,31
ygcO,10,12,1,7,5,0,1,0,1,2,4,8,0,3,6
ygcP,22,20,14,18,21,1,4,2,0,0,12,7,17,10,10
ygcQ,17,37,27,49,24,4,4,1,4,0,41,50,54,32,12
ygcR,24,26,8,56,22,1,4,0,2,0,50,43,31,17,18
ygcS,23,23,25,33,16,11,2,3,2,2,66,61,52,38,28
ygcU,46,55,37,71,37,22,0,7,8,13,64,36,43,23,37
ygcW,7,17,5,19,9,0,0,0,3,0,5,7,2,4,3
ygdB,32,67,41,44,51,13,3,6,5,5,40,29,37,22,28
ygdD,164,189,121,152,161,86,24,58,55,20,238,187,222,170,121
ygdI,193,192,125,789,135,249,83,111,198,81,744,841,913,1053,505
ygdQ,311,371,179,196,248,127,49,79,86,43,150,190,216,230,183
ygdR,273,244,165,634,161,285,75,163,236,110,231,248,324,996,286
ygdT,3,0,0,5,3,0,0,0,0,0,0,3,1,1,0
ygeA,136,229,116,209,139,13,6,20,18,6,67,92,75,81,51
ygeG,0,0,0,0,0,0,0,0,0,0,2,3,0,7,0
ygeH,7,0,0,0,1,1,0,2,0,0,1,7,3,3,0
ygeI,3,5,1,3,0,0,0,0,0,0,5,2,3,14,2
ygeQ,70,64,37,62,46,14,4,5,22,8,122,99,99,60,47
ygeV,613,822,386,765,632,1424,383,884,1122,461,155,168,197,230,139
ygeW,9,14,4,12,17,16,2,9,7,9,5,10,9,4,5
ygeY,33,69,18,73,30,14,6,6,6,4,25,22,17,14,8
ygfB,770,784,450,809,756,295,86,158,238,86,186,153,209,232,131
ygfF,909,1114,636,1716,1012,26,3,14,12,0,140,118,129,122,103
ygfI,48,36,29,59,43,24,3,16,18,4,70,70,65,61,56
ygfK,57,66,26,115,54,56,13,24,22,18,46,37,38,32,22
ygfM,17,24,18,35,18,2,4,5,6,2,20,16,31,9,4
ygfS,19,31,13,27,14,18,3,17,13,11,52,40,76,52,30
ygfT,105,125,65,130,117,21,4,26,29,14,115,122,137,66,71
ygfX,365,464,272,459,350,35,12,24,46,8,162,130,158,109,108
ygfZ,1105,1079,590,1454,879,472,120,264,325,128,634,608,818,898,577
yggC,236,320,195,395,248,46,20,26,35,18,231,224,258,350,247
yggE,850,1001,523,2909,561,1666,523,1048,1199,528,1714,1760,1975,2506,1857
yggI,69,79,34,75,69,5,4,1,1,0,41,39,48,47,33
yggL,365,302,174,538,268,178,64,117,151,53,323,390,365,746,402
yggM,18,8,9,11,25,1,2,6,4,1,54,52,43,10,9
yggN,547,554,275,594,311,227,61,117,182,64,705,670,784,539,417
yggP,27,65,19,43,29,26,12,19,14,8,142,161,157,104,112
yggR,36,25,28,33,23,15,6,6,12,3,47,52,56,25,22
yggS,299,360,167,229,281,60,14,40,52,28,119,117,104,97,88
yggT,462,640,288,369,445,71,18,48,59,23,278,213,253,211,166
yggU,170,237,115,138,207,11,4,8,16,9,58,52,62,45,38
yggX,238,220,132,305,186,38,12,16,30,20,83,68,91,56,33
yghA,80,94,46,796,57,1090,408,814,866,361,539,532,575,937,483
