feature,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
yjeO,0.0011960515639565911,0.0,0.0009714540675302715,0.0027051817181660094,0.005477874122444421,0.005638776089135523,0.004577441021650295,0.0018913291114507741,0.005004213905893609,0.003949205417384702,0.0012309464878988504,0.00025959650827000444,0.0010448911752165189,0.0002701254794211571,0.0,0.0009005808655506719,0.013616536794739663,0.02669903761119764,0.028105594009656232,0.02972232583727662,0.03316380934839924,0.03813567424897729,0.056320129192450066,0.04761367768830821
yjeT,0.0009967096366304926,0.0016139341751046606,0.0009714540675302715,0.004637454373998873,0.009129790204074036,0.006151392097238752,0.003269600729750211,0.007565316445803097,0.005719101606735552,0.011847616252154107,0.0008206309919325668,0.0028555615909700493,0.0013931882336220252,0.0013506273971057854,0.00034193520658997047,0.000300193621850224,0.00851033549671229,0.006472493966350943,0.004996550046161108,0.005245116324225286,0.027311372404564084,0.019067837124488646,0.027251675415701646,0.03928128409285427
yjeV,0.0001993419273260985,0.0006455736700418643,0.0003238180225100905,0.0023187271869994364,0.0009129790204074036,0.0020504640324129175,0.0019617604378501263,0.0,0.005004213905893609,0.003949205417384702,0.0002051577479831417,0.0007787895248100135,0.0,0.0,0.0,0.0,0.02553100649013687,0.029126222848579245,0.043095244148139554,0.05419953535032795,0.26335966247258225,0.23834796405610803,0.21165467906194943,0.17021889773570184
yjfC,0.0017940773459348867,0.0012911473400837286,0.001942908135060543,0.005023908905165446,0.0009129790204074036,0.004100928064825835,0.004577441021650295,0.0,0.001429775401683888,0.0,0.0008206309919325668,0.0007787895248100135,0.0006965941168110126,0.0005402509588423142,0.0006838704131799409,0.000300193621850224,0.020424805192109496,0.029126222848579245,0.03435128156735762,0.012238604756525667,0.06242599406757505,0.05584152300743103,0.06540402099768394,0.04999436157272361
yjfF,0.015548670331435682,0.011620326060753557,0.011009812765343076,0.04869327092698817,0.04564895102037018,0.03126957649429699,0.032042087151552066,0.038772246784740866,0.03216994653788748,0.0444285609455779,0.010463045147140226,0.011941439380420206,0.014628476453031265,0.00918426630031934,0.009232250577929204,0.014409293848810751,0.011914469695397206,0.0226537288822283,0.02373361271926526,0.026225581621126426,0.029262184719175802,0.019067837124488646,0.024526507874131482,0.03571025826623115
yjfI,0.0001993419273260985,0.0,0.000647636045020181,0.0023187271869994364,0.004564895102037018,0.0010252320162064588,0.0006539201459500421,0.0,0.000714887700841944,0.0009873013543461756,0.0,0.0005191930165400089,0.0,0.0002701254794211571,0.00034193520658997047,0.0,0.0,0.0008090617457938679,0.005621118801931247,0.00349674421615019,0.011704873887670322,0.01225789529431413,0.016351005249420986,0.015474445248700166
yjfJ,0.0001993419273260985,0.0,0.0003238180225100905,0.001932272655832864,0.0018259580408148072,0.007176624113445211,0.003269600729750211,0.0037826582229015483,0.0035744385042097196,0.005923808126077053,0.001436104235881992,0.00025959650827000444,0.0006965941168110126,0.0002701254794211571,0.0,0.000300193621850224,0.00851033549671229,0.012135926186908019,0.015614218894253462,0.01398697686460076,0.044868683236069566,0.02996374405276787,0.03361039967936536,0.02975854855519263
yjfK,0.0,0.0,0.0,0.001545818124666291,0.004564895102037018,0.0005126160081032294,0.0006539201459500421,0.0018913291114507741,0.000714887700841944,0.0,0.0004103154959662834,0.0012979825413500224,0.0006965941168110126,0.0005402509588423142,0.00034193520658997047,0.0,0.013616536794739663,0.009708740949526415,0.01249137511540277,0.005245116324225286,0.031212997033787524,0.01770584875845374,0.021801340332561318,0.013093761364284756
yjfL,0.000398683854652197,0.0006455736700418643,0.0009714540675302715,0.0,0.0009129790204074036,0.0,0.0,0.0,0.001429775401683888,0.0,0.0,0.0005191930165400089,0.0,0.0005402509588423142,0.0006838704131799409,0.000300193621850224,0.005106201298027374,0.0024271852373816036,0.005621118801931247,0.012238604756525667,0.0195081231461172,0.020429825490523548,0.015442616068897599,0.013093761364284756
yjfM,0.0009967096366304926,0.0,0.000647636045020181,0.0023187271869994364,0.0027389370612222103,0.0005126160081032294,0.0019617604378501263,0.0,0.0,0.0029619040630385267,0.0002051577479831417,0.00025959650827000444,0.0,0.0002701254794211571,0.00034193520658997047,0.000600387243700448,0.006808268397369832,0.009708740949526415,0.013740512626943046,0.008741860540375476,0.025360560089952362,0.02587777895466316,0.019076172790991153,0.02618752272856951
yjfN,0.1465163165846824,0.1287919471733519,0.12434612064387475,0.0483068163958216,0.06025661534688864,0.060488688956181064,0.06735377503285433,0.06430518978932633,0.06291011767409108,0.10366664220634843,0.09929635002384057,0.0931951464689316,0.12329715867554923,0.07806626355271438,0.07590961586297344,0.10056486331982505,0.027233073589479326,0.02184466713643443,0.041846106636599274,0.02972232583727662,0.03316380934839924,0.02587777895466316,0.022709729513084708,0.10594043285648574
yjfP,0.00398683854652197,0.002259507845146525,0.0022667261575706333,0.01391236312199662,0.009129790204074036,0.012302784194477504,0.010462722335200673,0.012293639224430032,0.013582866315996936,0.022707931149962036,0.0038979972116796923,0.0036343511157800623,0.0045278617592715825,0.0029713802736327276,0.0030774168593097344,0.0033021298403524643,0.005106201298027374,0.007281555712144811,0.01686335640579374,0.022728837404976235,0.029262184719175802,0.02587777895466316,0.029068453776748424,0.016664787190907873
yjfY,0.3223358964863013,0.31665388515553444,0.332884927140373,0.007729090623331456,0.005477874122444421,0.008714472137754899,0.003269600729750211,0.005673987334352322,0.0035744385042097196,0.005923808126077053,0.2798351682490053,0.30113194959320516,0.3678016936762147,0.2933562706513766,0.29816750014645427,0.38935112753974055,0.013616536794739663,0.016181234915877356,0.014365081382713186,0.012238604756525667,0.017557310831505482,0.02587777895466316,0.03361039967936536,0.053565387399346735
yjfZ,0.0001993419273260985,0.0,0.0,0.003091636249332582,0.0018259580408148072,0.0025630800405161466,0.0013078402919000842,0.0009456645557253871,0.000714887700841944,0.001974602708692351,0.0,0.00025959650827000444,0.0003482970584055063,0.0002701254794211571,0.0,0.000600387243700448,0.01702067099342458,0.016181234915877356,0.01249137511540277,0.03147069794535171,0.031212997033787524,0.03949766261501219,0.044511069845646026,0.03451991632402345
yjgA,0.04425390786639387,0.04293064905778397,0.04274397897133195,0.11980090466163756,0.13785983208151792,0.10098535359633619,0.07258513620045468,0.10875142390841952,0.07506320858840412,0.11748886116719488,0.03856965662083064,0.0464677749803308,0.04562691465112132,0.042679825748542816,0.046503188096235985,0.040526138949780244,0.15659017313950613,0.15857610217559812,0.21172880820607692,0.26400418831933936,0.21849097923651267,0.19204035961092134,0.21165467906194943,0.21664223348180234
yjgH,0.0023921031279131822,0.001936721010125593,0.000647636045020181,0.005796817967498591,0.010042769224481439,0.0035883120567226055,0.0019617604378501263,0.0,0.002859550803367776,0.0069111094804232285,0.002051577479831417,0.0025959650827000447,0.0010448911752165189,0.0010805019176846284,0.00034193520658997047,0.0015009681092511202,0.001702067099342458,0.005663432220557075,0.0018737062673104153,0.001748372108075095,0.0039016246292234405,0.0,0.009083891805233881,0.005951709711038526
yjgL,0.006578283601761251,0.0061329498653977105,0.006152542427691718,0.01854981749599549,0.016433622367333263,0.019479408307922715,0.022233284962301432,0.014184968335880805,0.015012641717680825,0.01086031489780793,0.007385678927393101,0.00700910572329012,0.008010832343326646,0.005132384109001985,0.0034193520658997046,0.0069044533025551524,0.02553100649013687,0.02184466713643443,0.03684955659043817,0.020980465296901143,0.0390162462922344,0.03949766261501219,0.029068453776748424,0.0226164969019464
yjgM,0.0029901289098914776,0.0035506551852302532,0.002590544180080724,0.015071726715496336,0.021911496489777683,0.017428944275509797,0.014386243210900927,0.015130632891606193,0.016442417119364713,0.02172062979561586,0.0036928394636965506,0.003374754607510058,0.005224455876082595,0.006212886026686612,0.0044451576856696165,0.00450290432775336,0.018722738092767036,0.01860842015325896,0.02560731898657568,0.03321907005342681,0.025360560089952362,0.02315380222259335,0.021801340332561318,0.011903419422077052
yjgN,0.000797367709304394,0.0,0.0016190901125504524,0.00038645453116657275,0.0018259580408148072,0.0025630800405161466,0.0019617604378501263,0.002836993667176161,0.0042893262050516644,0.0,0.0006154732439494252,0.0005191930165400089,0.0003482970584055063,0.0021610038353692567,0.00034193520658997047,0.001200774487400896,0.005106201298027374,0.004045308728969339,0.0031228437788506924,0.008741860540375476,0.0097540615730586,0.013619883660349032,0.008175502624710493,0.008332393595453937
