GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0008655,pyrimidine-containing compound salvage,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0015793,glycerol transmembrane transport,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0019877,diaminopimelate biosynthetic process,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0006413,translational initiation,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0006796,phosphate-containing compound metabolic process,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0034644,cellular response to UV,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0006564,L-serine biosynthetic process,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0019856,pyrimidine nucleobase biosynthetic process,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0006537,glutamate biosynthetic process,BP,0.021483763296722254,0.4409286657565377,e,"(3, 500)","(5, 3597)"
GO:0015031,protein transport,BP,0.023180909815778427,0.46982997791028874,e,"(15, 500)","(61, 3597)"
GO:0051301,cell division,BP,0.02378804167536952,0.46982997791028874,e,"(17, 500)","(72, 3597)"
GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,0.02493464502651509,0.46982997791028874,e,"(7, 500)","(22, 3597)"
GO:0044780,bacterial-type flagellum assembly,BP,0.02493464502651509,0.46982997791028874,e,"(7, 500)","(22, 3597)"
GO:0009086,methionine biosynthetic process,BP,0.025072133391964364,0.46982997791028874,e,"(5, 500)","(13, 3597)"
GO:0006071,glycerol metabolic process,BP,0.025072133391964364,0.46982997791028874,e,"(5, 500)","(13, 3597)"
GO:0019646,aerobic electron transport chain,BP,0.025072133391964364,0.46982997791028874,e,"(5, 500)","(13, 3597)"
GO:0006090,pyruvate metabolic process,BP,0.026098352540036156,0.47865489126619504,e,"(4, 500)","(9, 3597)"
GO:0070207,protein homotrimerization,BP,0.026098352540036156,0.47865489126619504,e,"(4, 500)","(9, 3597)"
GO:0000028,ribosomal small subunit assembly,BP,0.02967607376908028,0.5385426439778358,e,"(6, 500)","(18, 3597)"
GO:0006865,amino acid transport,BP,0.03243817774005261,0.5825356085817781,e,"(18, 500)","(80, 3597)"
GO:0030261,chromosome condensation,BP,0.03857887999722196,0.6786733583184762,e,"(3, 500)","(6, 3597)"
GO:0035999,tetrahydrofolate interconversion,BP,0.03857887999722196,0.6786733583184762,e,"(3, 500)","(6, 3597)"
GO:0090529,cell septum assembly,BP,0.04622736104395812,0.7262826529217016,e,"(5, 500)","(15, 3597)"
GO:0006520,amino acid metabolic process,BP,0.04622736104395812,0.7262826529217016,e,"(5, 500)","(15, 3597)"
GO:0045454,cell redox homeostasis,BP,0.04622736104395812,0.7262826529217016,e,"(5, 500)","(15, 3597)"
GO:0006094,gluconeogenesis,BP,0.04622736104395812,0.7262826529217016,e,"(5, 500)","(15, 3597)"
GO:0017148,negative regulation of translation,BP,0.04622736104395812,0.7262826529217016,e,"(5, 500)","(15, 3597)"
GO:0009058,biosynthetic process,BP,0.04702078855005699,0.7262826529217016,e,"(8, 500)","(28, 3597)"
