position,condition,cell_id,area_px,length_px,width_px,feret_max_px,arc_length_px,width_pa_px,straightness,perimeter_px,solidity,eccentricity,orientation_deg,yfp_mean,yfp_median,yfp_bgsub_median,phase_bgsub_median,above_bg,is_dark,kept,reason,bg_median,bg_std,bg_tilt_x_per1kpx,bg_tilt_y_per1kpx,bg_tilt_range
pos6,SHX,19,698,44.50410119189395,20.10176439964614,43.41658669218482,41.250182404191676,18.750151738263824,1.0525186595968363,103.90540028647922,0.9601100412654745,0.8921782853111095,88.61833675624858,569.729248046875,548.5,430.7288627624512,-237.0,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,20,955,63.25863909081707,19.484764755702432,60.41522986797286,58.96131202257472,17.284429119345713,1.0246588448513745,137.65440134928798,0.9521435692921236,0.9513807071748103,-26.405773570920783,562.8994750976562,567.0,449.3426628112793,-232.0,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,21,762,51.573909845684575,18.970358692886965,50.08991914547278,48.312187442086426,17.066162030879173,1.0367967545563401,116.10698008359758,0.951310861423221,0.9298936101448312,-26.96114172413682,476.073486328125,482.0,364.54243087768555,-238.5,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,22,616,45.11563405832287,17.57672615778996,43.86342439892262,42.838956301454786,15.598278669206948,1.023914403755748,103.48479294032259,0.9476923076923077,0.9209872153606184,-22.97198463683632,595.5503540039062,605.5,488.2013359069824,-213.0,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,23,988,64.8991826276982,19.83143804921446,61.814237842102365,58.8852703534329,17.95302157399153,1.0497402401498648,138.2655782454736,0.9445506692160612,0.9521686513310061,5.506920081662691,491.8461608886719,504.0,387.0700798034668,-224.0,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,24,851,50.6908430436098,21.47632008477776,49.49747468305833,47.473138665336336,19.676014002771193,1.0426417143385573,117.40827036816617,0.9594137542277339,0.905815404923048,-86.69533346119863,473.1045837402344,485.0,367.9796562194824,-228.0,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos6,SHX,25,118,16.152567780568432,9.447296204396395,17.26267650163207,16.223622507406606,8.15250427254812,1.0640457452551735,41.75408400071355,0.9365079365079365,0.8111206217405801,-81.48777619014277,396.8644104003906,386.0,269.32062911987305,-211.5,True,True,True,ok,119.495849609375,7.293523788452148,0.20079872012138367,-1.835729718208313,4.168769836425781
pos7,SHX,1,871,61.92290537268818,18.500336398800904,58.60034129593445,57.782428193348025,16.027877465031924,1.0141550490029525,133.8621635534139,0.9216931216931217,0.9543270182954263,63.62466907192271,536.0011596679688,548.0,427.5648078918457,-227.0,True,True,True,ok,119.6500015258789,7.363167762756348,-0.04404979571700096,-1.8485780954360962,3.87420654296875
pos7,SHX,2,491,34.98661525738309,17.92260788620796,34.92849839314596,32.91319164917536,16.746628448108154,1.0612309728406752,84.94421130710883,0.958984375,0.8588242095024672,81.66984637525937,721.3849487304688,744.0,623.8301277160645,-241.0,True,True,True,ok,119.6500015258789,7.363167762756348,-0.04404979571700096,-1.8485780954360962,3.87420654296875
pos7,SHX,3,953,64.71053606015562,19.028312284633653,61.40032573203501,59.7553288977752,16.984357115841615,1.0275288725642184,138.89987510494072,0.9482587064676616,0.9557891866367864,-32.12911295209055,503.6463928222656,517.0,396.88054275512695,-232.0,True,True,True,ok,119.6500015258789,7.363167762756348,-0.04404979571700096,-1.8485780954360962,3.87420654296875
