position,trench,track_id,event_type,frame,time_h,time_h_post_drug,has_time,G,D,daughters,L_pre,L_products,delta_dip,n_obs,confirmed_by
Pos12,5,r5c2,division,9.0,1.5,-1.5,True,,,r5c6,84.84526647079475,91.11227940833749,0.4705746443046791,,mask+YFP
Pos12,26,r26c4,division,11.0,1.8333333333333333,-1.1666666666666667,True,,,r26c7,92.83559906706256,92.69026826211436,0.2556685776161704,,mask+YFP
Pos12,27,r27c6,division,11.0,1.8333333333333333,-1.1666666666666667,True,,,r27c9,91.49638718003833,99.76501277278464,0.2326637392418489,,mask+YFP
Pos12,26,r26c5,division,12.0,2.0,-1.0,True,,,r26c8,93.03902470564168,95.9153429598326,0.7656717997038989,,mask+YFP
Pos12,27,r27c7,division,12.0,2.0,-1.0,True,,,r27c10,97.43367445654673,98.65144727502576,0.8841325430845088,,mask+YFP
Pos12,27,r27c4,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r27c11,116.95493643037778,123.70407899972948,1.0386724266039964,,mask+YFP
Pos12,26,r26c2,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r26c9,96.11151726163148,103.19158186689565,0.4066202509034572,,mask+YFP
Pos12,3,r3c7,division,16.0,2.6666666666666665,-0.3333333333333333,True,,,r3c13,126.95900938440064,130.4433267155102,0.7825465825746603,,mask+YFP
Pos12,14,r14c12,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r14c14,128.83557508203214,137.7931824348227,0.5699320501829656,,mask+YFP
Pos12,26,r26c7,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r26c10,107.3689438521792,88.74694026163515,0.8132406973972128,,mask+YFP
Pos12,26,r26c8,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r26c11,70.91141950271364,69.70203841213814,0.3307664781680846,,mask+YFP
Pos12,26,r26c5,division,18.0,3.0,0.0,True,,,r26c15,90.58833234771174,81.3247252514115,1.275743584143558,,mask+YFP
Pos12,29,r29c17,division,18.0,3.0,0.0,True,,,r29c22,132.16938915677267,113.81790033790988,0.6895468028225946,,mask+YFP
Pos12,18,r18c19,halt,18.0,3.0,0.0,True,-0.0703387776849964,0.0,,,,,15.0,fate=HALTED
Pos12,2,r2c19,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0749673045145389,0.0,,,,,16.0,fate=HALTED
Pos12,5,r5c1,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0096411680313135,0.0,,,,,16.0,fate=HALTED
Pos12,5,r5c12,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0775766719505313,0.0,,,,,16.0,fate=HALTED
Pos12,26,r26c10,halt,20.0,3.3333333333333335,0.3333333333333333,True,-0.0316337796079335,0.0,,,,,16.0,fate=HALTED
Pos12,5,r5c13,halt,20.0,3.3333333333333335,0.3333333333333333,True,0.0598922939773527,0.0,,,,,16.0,fate=HALTED
Pos12,29,r29c22,halt,21.0,3.5,0.5,True,0.1443010051394022,0.0,,,,,16.0,fate=HALTED
Pos12,7,r7c25,halt,21.0,3.5,0.5,True,-0.0826628522326888,0.0,,,,,16.0,fate=HALTED
Pos12,14,r14c14,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0597849315767247,0.0,,,,,16.0,fate=HALTED
Pos12,14,r14c20,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0054624264859444,0.0,,,,,15.0,fate=HALTED
Pos12,27,r27c10,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.02975696648926,0.0,,,,,16.0,fate=HALTED
Pos12,27,r27c15,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1694542785057398,0.0,,,,,16.0,fate=HALTED
Pos12,27,r27c7,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1575851165575912,0.0,,,,,16.0,fate=HALTED
Pos12,28,r28c24,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1515122199575627,0.0,,,,,16.0,fate=HALTED
Pos12,28,r28c29,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0323070168926822,0.0,,,,,15.0,fate=HALTED
Pos12,29,r29c24,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.1104190773270401,0.0,,,,,16.0,fate=HALTED
Pos12,3,r3c13,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1037219615702209,0.0,,,,,16.0,fate=HALTED
Pos12,3,r3c14,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0392096177230327,0.0,,,,,14.0,fate=HALTED
Pos12,3,r3c17,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0157189682483682,0.0,,,,,16.0,fate=HALTED
Pos12,3,r3c7,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1667193356640393,0.0,,,,,16.0,fate=HALTED
Pos12,7,r7c28,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.1263558841310046,0.0,,,,,16.0,fate=HALTED
Pos12,14,r14c15,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0609345848660636,0.0,,,,,16.0,fate=HALTED
Pos12,2,r2c21,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.2582448993949291,0.0,,,,,16.0,fate=HALTED
Pos12,2,r2c15,halt,24.0,4.0,1.0,True,0.0661640312773168,0.0,,,,,16.0,fate=HALTED
Pos12,14,r14c19,halt,26.0,4.333333333333333,1.3333333333333333,True,0.0305229409474767,0.0,,,,,15.0,fate=HALTED
Pos12,28,r28c22,halt,26.0,4.333333333333333,1.3333333333333333,True,-0.1314154284993498,0.0,,,,,15.0,fate=HALTED
Pos12,18,r18c21,halt,29.0,4.833333333333333,1.8333333333333333,True,0.0014138623957089,0.0,,,,,16.0,fate=HALTED
Pos12,26,r26c14,halt,34.0,5.666666666666667,2.6666666666666665,True,-0.0360702290363197,0.0,,,,,16.0,fate=HALTED
Pos12,18,r18c25,halt,,,,False,0.0670723265046016,0.0,,,,,16.0,fate=HALTED
Pos12,28,r28c28,halt,,,,False,0.1255050676959164,0.0,,,,,16.0,fate=HALTED
Pos13,5,r5c3,division,15.0,2.5,-0.5,True,,,r5c11,118.96928856476416,124.35204050285768,0.3587246007161577,,mask+YFP
Pos13,15,r15c15,division,22.0,3.6666666666666665,0.6666666666666666,True,,,r15c25,198.889471787662,170.62026371093202,0.767577779250331,,mask+YFP
Pos13,11,r11c25,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.1290355372024398,0.0,,,,,16.0,fate=HALTED
Pos13,12,r12c28,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0070488913326132,0.0,,,,,16.0,fate=HALTED
Pos13,15,r15c25,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0400740574628448,0.0,,,,,14.0,fate=HALTED
Pos13,18,r18c16,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0248004768795033,0.0,,,,,16.0,fate=HALTED
